seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,0.986
42,pure_ocs_ksp,0.953
42,eps_ecmp,1.093
42,ocs_eps_large_small,0.791
42,pure_ocs_ksp_greedy,0.939
42,ocs_eps_preset_greedy,0.955
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.932
42,pure_ocs_pruned,0.932
42,ocs_eps_pruned,0.986
43,ocs_eps_global_ksp,1.024
43,pure_ocs_ksp,0.931
43,eps_ecmp,1.070
43,ocs_eps_large_small,0.711
43,pure_ocs_ksp_greedy,0.938
43,ocs_eps_preset_greedy,0.947
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.960
43,pure_ocs_pruned,0.960
43,ocs_eps_pruned,1.036
44,ocs_eps_global_ksp,1.160
44,pure_ocs_ksp,0.966
44,eps_ecmp,1.188
44,ocs_eps_large_small,0.943
44,pure_ocs_ksp_greedy,0.955
44,ocs_eps_preset_greedy,0.978
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,0.954
44,pure_ocs_pruned,0.954
44,ocs_eps_pruned,0.979
45,ocs_eps_global_ksp,1.057
45,pure_ocs_ksp,0.886
45,eps_ecmp,1.079
45,ocs_eps_large_small,0.769
45,pure_ocs_ksp_greedy,0.936
45,ocs_eps_preset_greedy,0.969
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,0.975
45,pure_ocs_pruned,0.975
45,ocs_eps_pruned,0.951
46,ocs_eps_global_ksp,1.125
46,pure_ocs_ksp,0.973
46,eps_ecmp,1.242
46,ocs_eps_large_small,0.760
46,pure_ocs_ksp_greedy,0.923
46,ocs_eps_preset_greedy,0.978
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.968
46,pure_ocs_pruned,0.968
46,ocs_eps_pruned,0.943
47,ocs_eps_global_ksp,1.106
47,pure_ocs_ksp,0.909
47,eps_ecmp,1.074
47,ocs_eps_large_small,0.796
47,pure_ocs_ksp_greedy,0.937
47,ocs_eps_preset_greedy,0.914
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,0.924
47,pure_ocs_pruned,0.924
47,ocs_eps_pruned,0.941
48,ocs_eps_global_ksp,1.227
48,pure_ocs_ksp,0.968
48,eps_ecmp,1.284
48,ocs_eps_large_small,0.823
48,pure_ocs_ksp_greedy,1.024
48,ocs_eps_preset_greedy,0.955
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.142
48,pure_ocs_pruned,1.142
48,ocs_eps_pruned,1.127
49,ocs_eps_global_ksp,1.055
49,pure_ocs_ksp,0.954
49,eps_ecmp,1.115
49,ocs_eps_large_small,0.772
49,pure_ocs_ksp_greedy,0.932
49,ocs_eps_preset_greedy,0.953
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.977
49,pure_ocs_pruned,0.977
49,ocs_eps_pruned,1.048
50,ocs_eps_global_ksp,1.132
50,pure_ocs_ksp,0.889
50,eps_ecmp,1.107
50,ocs_eps_large_small,0.826
50,pure_ocs_ksp_greedy,0.953
50,ocs_eps_preset_greedy,0.969
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,0.982
50,pure_ocs_pruned,0.982
50,ocs_eps_pruned,1.007
51,ocs_eps_global_ksp,1.017
51,pure_ocs_ksp,0.953
51,eps_ecmp,1.086
51,ocs_eps_large_small,0.803
51,pure_ocs_ksp_greedy,0.915
51,ocs_eps_preset_greedy,0.921
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.953
51,pure_ocs_pruned,0.953
51,ocs_eps_pruned,0.966
