scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1997.046019,1.039154,1997.046019,1.039154,80,0
pure_ocs_ksp,100.000000,1946.023577,1.012605,1946.023577,1.012605,80,0
eps_ecmp,100.000000,1728.907992,0.899630,1728.907992,0.899630,80,0
ocs_eps_large_small,100.000000,1532.892956,0.797634,1532.892956,0.797634,80,0
pure_ocs_ksp_greedy,100.000000,2348.721826,1.222147,2348.721826,1.222147,80,0
ocs_eps_preset_greedy,100.000000,1610.746772,0.838145,1610.746772,0.838145,80,0
ocs_eps_preset_dynamic_greedy,100.000000,1921.799439,1.000000,1921.799439,1.000000,80,0
pure_ocs_3hop_preset,100.000000,2185.957417,1.137453,2185.957417,1.137453,80,0
pure_ocs_pruned,100.000000,2185.957417,1.137453,2185.957417,1.137453,80,0
ocs_eps_pruned,100.000000,2560.753194,1.332477,2560.753194,1.332477,80,0
