scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,1024.000000,0.007151,312
eps_ecmp,59114.000000,0.364899,624
eps_ecmp,79641.000000,0.503216,144
eps_ecmp,102961.000000,0.680869,216
eps_ecmp,165101.000000,1.052719,184
eps_ecmp,265083.000000,1.829262,1720
eps_ecmp,358501.000000,2.775393,1112
eps_ecmp,464488.000000,3.415813,1888
eps_ecmp,601754.000000,30.436210,1088
eps_ecmp,684979.000000,34.311966,1888
eps_ecmp,887736.000000,45.590036,1096
eps_ecmp,1150398.000000,39.777160,632
eps_ecmp,1367398.000000,49.323182,2648
eps_ecmp,1932240.000000,55.730485,2192
eps_ecmp,2614938.000000,60.798509,752
eps_ecmp,2977023.000000,56.957539,2368
eps_ecmp,4206969.000000,65.226768,2336
eps_ecmp,4789546.000000,69.898545,1808
eps_ecmp,6768798.000000,68.188667,728
eps_ecmp,8773464.000000,68.229321,1184
eps_ecmp,14116494.000000,75.910032,1192
eps_ecmp,18297863.000000,81.706749,408
eps_ecmp,29441802.000000,85.256380,496
eps_ecmp,36547643.000000,96.864362,2120
eps_ecmp,51607496.000000,98.178562,616
eps_ecmp,112490368.000000,130.120448,456
ocs_eps_global_ksp,1024.000000,0.009529,312
ocs_eps_global_ksp,59114.000000,0.529362,624
ocs_eps_global_ksp,79641.000000,0.799090,144
ocs_eps_global_ksp,102961.000000,0.805662,216
ocs_eps_global_ksp,165101.000000,1.341944,184
ocs_eps_global_ksp,265083.000000,2.041592,1720
ocs_eps_global_ksp,358501.000000,2.800930,1112
ocs_eps_global_ksp,464488.000000,4.682977,1888
ocs_eps_global_ksp,601754.000000,15.391365,1088
ocs_eps_global_ksp,684979.000000,33.885552,1888
ocs_eps_global_ksp,887736.000000,35.976070,1096
ocs_eps_global_ksp,1150398.000000,47.131327,632
ocs_eps_global_ksp,1367398.000000,50.549515,2648
ocs_eps_global_ksp,1932240.000000,54.670608,2192
ocs_eps_global_ksp,2614938.000000,63.533953,752
ocs_eps_global_ksp,2977023.000000,57.642430,2368
ocs_eps_global_ksp,4206969.000000,66.922881,2336
ocs_eps_global_ksp,4789546.000000,70.162356,1808
ocs_eps_global_ksp,6768798.000000,78.809429,728
ocs_eps_global_ksp,8773464.000000,98.571686,1184
ocs_eps_global_ksp,14116494.000000,120.766071,1192
ocs_eps_global_ksp,18297863.000000,145.837316,408
ocs_eps_global_ksp,29441802.000000,142.696572,496
ocs_eps_global_ksp,36547643.000000,167.553450,2120
ocs_eps_global_ksp,51607496.000000,175.712223,616
ocs_eps_global_ksp,112490368.000000,262.847013,456
ocs_eps_large_small,1024.000000,0.010092,312
ocs_eps_large_small,59114.000000,0.549943,624
ocs_eps_large_small,79641.000000,0.760795,144
ocs_eps_large_small,102961.000000,2.034687,216
ocs_eps_large_small,165101.000000,1.432377,184
ocs_eps_large_small,265083.000000,2.299784,1720
ocs_eps_large_small,358501.000000,3.526981,1112
ocs_eps_large_small,464488.000000,19.320091,1888
ocs_eps_large_small,601754.000000,37.140344,1088
ocs_eps_large_small,684979.000000,33.046163,1888
ocs_eps_large_small,887736.000000,40.196070,1096
ocs_eps_large_small,1150398.000000,49.044739,632
ocs_eps_large_small,1367398.000000,50.319788,2648
ocs_eps_large_small,1932240.000000,60.362549,2192
ocs_eps_large_small,2614938.000000,64.555340,752
ocs_eps_large_small,2977023.000000,61.931906,2368
ocs_eps_large_small,4206969.000000,68.432401,2336
ocs_eps_large_small,4789546.000000,69.676950,1808
ocs_eps_large_small,6768798.000000,68.561256,728
ocs_eps_large_small,8773464.000000,73.839611,1184
ocs_eps_large_small,14116494.000000,75.703855,1192
ocs_eps_large_small,18297863.000000,83.420869,408
ocs_eps_large_small,29441802.000000,103.183166,496
ocs_eps_large_small,36547643.000000,107.451294,2120
ocs_eps_large_small,51607496.000000,113.642172,616
ocs_eps_large_small,112490368.000000,177.252733,456
ocs_eps_preset_dynamic_greedy,1024.000000,0.008863,312
ocs_eps_preset_dynamic_greedy,59114.000000,0.417462,624
ocs_eps_preset_dynamic_greedy,79641.000000,0.601133,144
