seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.806
42,pure_ocs_ksp,1.146
42,eps_ecmp,1.067
42,ocs_eps_large_small,1.081
42,pure_ocs_ksp_greedy,1.050
42,ocs_eps_preset_greedy,1.148
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.039
42,pure_ocs_pruned,1.039
42,ocs_eps_pruned,1.076
43,ocs_eps_global_ksp,1.837
43,pure_ocs_ksp,1.291
43,eps_ecmp,1.026
43,ocs_eps_large_small,1.155
43,pure_ocs_ksp_greedy,1.103
43,ocs_eps_preset_greedy,1.035
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,1.071
43,pure_ocs_pruned,1.071
43,ocs_eps_pruned,1.081
44,ocs_eps_global_ksp,2.233
44,pure_ocs_ksp,1.304
44,eps_ecmp,1.068
44,ocs_eps_large_small,1.365
44,pure_ocs_ksp_greedy,1.127
44,ocs_eps_preset_greedy,1.143
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,1.099
44,pure_ocs_pruned,1.099
44,ocs_eps_pruned,0.987
45,ocs_eps_global_ksp,2.120
45,pure_ocs_ksp,1.241
45,eps_ecmp,1.029
45,ocs_eps_large_small,1.208
45,pure_ocs_ksp_greedy,1.134
45,ocs_eps_preset_greedy,1.092
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.147
45,pure_ocs_pruned,1.147
45,ocs_eps_pruned,1.032
46,ocs_eps_global_ksp,2.050
46,pure_ocs_ksp,1.295
46,eps_ecmp,1.073
46,ocs_eps_large_small,1.099
46,pure_ocs_ksp_greedy,1.070
46,ocs_eps_preset_greedy,1.037
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,0.999
46,pure_ocs_pruned,0.999
46,ocs_eps_pruned,1.009
47,ocs_eps_global_ksp,2.077
47,pure_ocs_ksp,1.154
47,eps_ecmp,0.996
47,ocs_eps_large_small,1.022
47,pure_ocs_ksp_greedy,1.038
47,ocs_eps_preset_greedy,1.023
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.002
47,pure_ocs_pruned,1.002
47,ocs_eps_pruned,1.041
48,ocs_eps_global_ksp,1.788
48,pure_ocs_ksp,1.048
48,eps_ecmp,0.941
48,ocs_eps_large_small,1.132
48,pure_ocs_ksp_greedy,1.010
48,ocs_eps_preset_greedy,0.945
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,0.970
48,pure_ocs_pruned,0.970
48,ocs_eps_pruned,0.919
49,ocs_eps_global_ksp,1.747
49,pure_ocs_ksp,1.181
49,eps_ecmp,1.046
49,ocs_eps_large_small,1.080
49,pure_ocs_ksp_greedy,1.121
49,ocs_eps_preset_greedy,1.024
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,0.989
49,pure_ocs_pruned,0.989
49,ocs_eps_pruned,1.038
50,ocs_eps_global_ksp,2.198
50,pure_ocs_ksp,1.211
50,eps_ecmp,1.002
50,ocs_eps_large_small,1.211
50,pure_ocs_ksp_greedy,1.082
50,ocs_eps_preset_greedy,1.028
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.104
50,pure_ocs_pruned,1.104
50,ocs_eps_pruned,1.060
51,ocs_eps_global_ksp,2.016
51,pure_ocs_ksp,1.213
51,eps_ecmp,1.003
51,ocs_eps_large_small,1.155
51,pure_ocs_ksp_greedy,1.186
51,ocs_eps_preset_greedy,1.009
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.094
51,pure_ocs_pruned,1.094
51,ocs_eps_pruned,1.014
