seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.431
42,pure_ocs_ksp,0.972
42,eps_ecmp,0.934
42,ocs_eps_large_small,0.844
42,pure_ocs_ksp_greedy,0.732
42,ocs_eps_preset_greedy,1.096
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,1.103
42,pure_ocs_pruned,1.103
42,ocs_eps_pruned,0.956
43,ocs_eps_global_ksp,1.041
43,pure_ocs_ksp,0.892
43,eps_ecmp,0.836
43,ocs_eps_large_small,0.775
43,pure_ocs_ksp_greedy,0.968
43,ocs_eps_preset_greedy,0.825
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.909
43,pure_ocs_pruned,0.909
43,ocs_eps_pruned,0.986
44,ocs_eps_global_ksp,1.446
44,pure_ocs_ksp,1.003
44,eps_ecmp,1.096
44,ocs_eps_large_small,1.397
44,pure_ocs_ksp_greedy,0.817
44,ocs_eps_preset_greedy,0.952
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,0.944
44,pure_ocs_pruned,0.944
44,ocs_eps_pruned,0.701
45,ocs_eps_global_ksp,2.079
45,pure_ocs_ksp,1.894
45,eps_ecmp,1.483
45,ocs_eps_large_small,1.393
45,pure_ocs_ksp_greedy,1.362
45,ocs_eps_preset_greedy,1.395
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,1.365
45,pure_ocs_pruned,1.365
45,ocs_eps_pruned,1.440
46,ocs_eps_global_ksp,1.792
46,pure_ocs_ksp,1.593
46,eps_ecmp,1.507
46,ocs_eps_large_small,1.165
46,pure_ocs_ksp_greedy,1.340
46,ocs_eps_preset_greedy,1.269
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,1.273
46,pure_ocs_pruned,1.273
46,ocs_eps_pruned,1.303
47,ocs_eps_global_ksp,1.291
47,pure_ocs_ksp,0.750
47,eps_ecmp,0.769
47,ocs_eps_large_small,0.555
47,pure_ocs_ksp_greedy,0.642
47,ocs_eps_preset_greedy,0.593
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,0.575
47,pure_ocs_pruned,0.575
47,ocs_eps_pruned,0.547
48,ocs_eps_global_ksp,1.026
48,pure_ocs_ksp,0.720
48,eps_ecmp,0.917
48,ocs_eps_large_small,0.875
48,pure_ocs_ksp_greedy,0.826
48,ocs_eps_preset_greedy,0.773
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,0.723
48,pure_ocs_pruned,0.723
48,ocs_eps_pruned,0.855
49,ocs_eps_global_ksp,2.570
49,pure_ocs_ksp,1.295
49,eps_ecmp,1.297
49,ocs_eps_large_small,1.179
49,pure_ocs_ksp_greedy,1.410
49,ocs_eps_preset_greedy,1.223
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.023
49,pure_ocs_pruned,1.023
49,ocs_eps_pruned,1.225
50,ocs_eps_global_ksp,2.107
50,pure_ocs_ksp,1.320
50,eps_ecmp,1.271
50,ocs_eps_large_small,1.506
50,pure_ocs_ksp_greedy,1.209
50,ocs_eps_preset_greedy,1.163
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,1.286
50,pure_ocs_pruned,1.286
50,ocs_eps_pruned,1.190
51,ocs_eps_global_ksp,1.518
51,pure_ocs_ksp,1.064
51,eps_ecmp,1.142
51,ocs_eps_large_small,1.153
51,pure_ocs_ksp_greedy,1.111
51,ocs_eps_preset_greedy,0.900
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,0.987
51,pure_ocs_pruned,0.987
51,ocs_eps_pruned,1.569
