seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.228
42,pure_ocs_ksp,1.009
42,eps_ecmp,1.061
42,ocs_eps_large_small,0.999
42,pure_ocs_ksp_greedy,0.961
42,ocs_eps_preset_greedy,0.964
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_3hop_preset,0.986
42,pure_ocs_pruned,0.986
42,ocs_eps_pruned,0.992
43,ocs_eps_global_ksp,1.281
43,pure_ocs_ksp,1.087
43,eps_ecmp,1.098
43,ocs_eps_large_small,0.933
43,pure_ocs_ksp_greedy,1.050
43,ocs_eps_preset_greedy,1.019
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_3hop_preset,0.970
43,pure_ocs_pruned,0.970
43,ocs_eps_pruned,1.032
44,ocs_eps_global_ksp,1.322
44,pure_ocs_ksp,1.075
44,eps_ecmp,1.016
44,ocs_eps_large_small,1.871
44,pure_ocs_ksp_greedy,1.003
44,ocs_eps_preset_greedy,0.957
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_3hop_preset,0.984
44,pure_ocs_pruned,0.984
44,ocs_eps_pruned,0.961
45,ocs_eps_global_ksp,1.306
45,pure_ocs_ksp,1.029
45,eps_ecmp,1.083
45,ocs_eps_large_small,1.040
45,pure_ocs_ksp_greedy,0.983
45,ocs_eps_preset_greedy,0.985
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_3hop_preset,0.998
45,pure_ocs_pruned,0.998
45,ocs_eps_pruned,0.983
46,ocs_eps_global_ksp,1.441
46,pure_ocs_ksp,1.068
46,eps_ecmp,1.100
46,ocs_eps_large_small,1.167
46,pure_ocs_ksp_greedy,1.029
46,ocs_eps_preset_greedy,0.991
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_3hop_preset,1.026
46,pure_ocs_pruned,1.026
46,ocs_eps_pruned,1.016
47,ocs_eps_global_ksp,1.422
47,pure_ocs_ksp,1.115
47,eps_ecmp,1.237
47,ocs_eps_large_small,1.342
47,pure_ocs_ksp_greedy,1.039
47,ocs_eps_preset_greedy,1.043
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_3hop_preset,1.123
47,pure_ocs_pruned,1.123
47,ocs_eps_pruned,1.022
48,ocs_eps_global_ksp,1.296
48,pure_ocs_ksp,1.072
48,eps_ecmp,1.110
48,ocs_eps_large_small,1.172
48,pure_ocs_ksp_greedy,1.005
48,ocs_eps_preset_greedy,0.995
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_3hop_preset,1.013
48,pure_ocs_pruned,1.013
48,ocs_eps_pruned,1.025
49,ocs_eps_global_ksp,1.386
49,pure_ocs_ksp,1.159
49,eps_ecmp,1.144
49,ocs_eps_large_small,1.086
49,pure_ocs_ksp_greedy,1.099
49,ocs_eps_preset_greedy,1.167
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_3hop_preset,1.122
49,pure_ocs_pruned,1.122
49,ocs_eps_pruned,1.131
50,ocs_eps_global_ksp,1.306
50,pure_ocs_ksp,1.001
50,eps_ecmp,1.075
50,ocs_eps_large_small,1.406
50,pure_ocs_ksp_greedy,0.967
50,ocs_eps_preset_greedy,1.013
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_3hop_preset,0.970
50,pure_ocs_pruned,0.970
50,ocs_eps_pruned,1.008
51,ocs_eps_global_ksp,1.379
51,pure_ocs_ksp,1.149
51,eps_ecmp,1.243
51,ocs_eps_large_small,1.682
51,pure_ocs_ksp_greedy,1.017
51,ocs_eps_preset_greedy,1.016
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_3hop_preset,1.022
51,pure_ocs_pruned,1.022
51,ocs_eps_pruned,1.189
