case_base,seed,scheduler,avg_relative_cct_vs_dynamic
cdf_fbcoco,42,ocs_eps_global_ksp,1.746
cdf_fbcoco,42,pure_ocs_ksp,1.138
cdf_fbcoco,42,eps_ecmp,1.022
cdf_fbcoco,42,ocs_eps_large_small,1.074
cdf_fbcoco,42,pure_ocs_ksp_greedy,1.170
cdf_fbcoco,42,ocs_eps_preset_greedy,1.056
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,42,pure_ocs_3hop_preset,0.994
cdf_fbcoco,42,pure_ocs_pruned,0.994
cdf_fbcoco,42,ocs_eps_pruned,1.003
cdf_fbcoco,43,ocs_eps_global_ksp,1.917
cdf_fbcoco,43,pure_ocs_ksp,1.176
cdf_fbcoco,43,eps_ecmp,1.083
cdf_fbcoco,43,ocs_eps_large_small,1.056
cdf_fbcoco,43,pure_ocs_ksp_greedy,1.047
cdf_fbcoco,43,ocs_eps_preset_greedy,1.064
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,43,pure_ocs_3hop_preset,1.046
cdf_fbcoco,43,pure_ocs_pruned,1.046
cdf_fbcoco,43,ocs_eps_pruned,1.061
cdf_fbcoco,44,ocs_eps_global_ksp,2.013
cdf_fbcoco,44,pure_ocs_ksp,1.192
cdf_fbcoco,44,eps_ecmp,0.900
cdf_fbcoco,44,ocs_eps_large_small,1.189
cdf_fbcoco,44,pure_ocs_ksp_greedy,1.084
cdf_fbcoco,44,ocs_eps_preset_greedy,1.019
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,44,pure_ocs_3hop_preset,0.998
cdf_fbcoco,44,pure_ocs_pruned,0.998
cdf_fbcoco,44,ocs_eps_pruned,0.958
cdf_fbcoco,45,ocs_eps_global_ksp,1.782
cdf_fbcoco,45,pure_ocs_ksp,1.100
cdf_fbcoco,45,eps_ecmp,0.948
cdf_fbcoco,45,ocs_eps_large_small,1.043
cdf_fbcoco,45,pure_ocs_ksp_greedy,1.057
cdf_fbcoco,45,ocs_eps_preset_greedy,1.035
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,45,pure_ocs_3hop_preset,0.974
cdf_fbcoco,45,pure_ocs_pruned,0.974
cdf_fbcoco,45,ocs_eps_pruned,0.902
cdf_fbcoco,46,ocs_eps_global_ksp,2.024
cdf_fbcoco,46,pure_ocs_ksp,1.151
cdf_fbcoco,46,eps_ecmp,1.072
cdf_fbcoco,46,ocs_eps_large_small,1.061
cdf_fbcoco,46,pure_ocs_ksp_greedy,1.042
cdf_fbcoco,46,ocs_eps_preset_greedy,1.126
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,46,pure_ocs_3hop_preset,1.100
cdf_fbcoco,46,pure_ocs_pruned,1.100
cdf_fbcoco,46,ocs_eps_pruned,0.981
cdf_fbcoco,47,ocs_eps_global_ksp,2.213
cdf_fbcoco,47,pure_ocs_ksp,1.231
cdf_fbcoco,47,eps_ecmp,1.026
cdf_fbcoco,47,ocs_eps_large_small,1.057
cdf_fbcoco,47,pure_ocs_ksp_greedy,1.137
cdf_fbcoco,47,ocs_eps_preset_greedy,1.039
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,47,pure_ocs_3hop_preset,1.054
cdf_fbcoco,47,pure_ocs_pruned,1.054
cdf_fbcoco,47,ocs_eps_pruned,1.037
cdf_fbcoco,48,ocs_eps_global_ksp,1.937
cdf_fbcoco,48,pure_ocs_ksp,1.170
cdf_fbcoco,48,eps_ecmp,0.991
cdf_fbcoco,48,ocs_eps_large_small,1.135
cdf_fbcoco,48,pure_ocs_ksp_greedy,1.097
cdf_fbcoco,48,ocs_eps_preset_greedy,1.029
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,48,pure_ocs_3hop_preset,0.986
cdf_fbcoco,48,pure_ocs_pruned,0.986
cdf_fbcoco,48,ocs_eps_pruned,1.014
cdf_fbcoco,49,ocs_eps_global_ksp,1.547
cdf_fbcoco,49,pure_ocs_ksp,1.124
cdf_fbcoco,49,eps_ecmp,0.958
cdf_fbcoco,49,ocs_eps_large_small,1.037
cdf_fbcoco,49,pure_ocs_ksp_greedy,1.014
cdf_fbcoco,49,ocs_eps_preset_greedy,1.007
cdf_fbcoco,49,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,49,pure_ocs_3hop_preset,0.993
cdf_fbcoco,49,pure_ocs_pruned,0.993
cdf_fbcoco,49,ocs_eps_pruned,0.973
cdf_fbcoco,50,ocs_eps_global_ksp,2.240
cdf_fbcoco,50,pure_ocs_ksp,1.259
cdf_fbcoco,50,eps_ecmp,1.068
cdf_fbcoco,50,ocs_eps_large_small,1.213
cdf_fbcoco,50,pure_ocs_ksp_greedy,1.172
cdf_fbcoco,50,ocs_eps_preset_greedy,1.111
cdf_fbcoco,50,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,50,pure_ocs_3hop_preset,1.089
cdf_fbcoco,50,pure_ocs_pruned,1.089
cdf_fbcoco,50,ocs_eps_pruned,1.092
cdf_fbcoco,51,ocs_eps_global_ksp,1.992
cdf_fbcoco,51,pure_ocs_ksp,1.166
cdf_fbcoco,51,eps_ecmp,0.979
cdf_fbcoco,51,ocs_eps_large_small,1.100
cdf_fbcoco,51,pure_ocs_ksp_greedy,1.045
cdf_fbcoco,51,ocs_eps_preset_greedy,1.007
cdf_fbcoco,51,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,51,pure_ocs_3hop_preset,0.994
cdf_fbcoco,51,pure_ocs_pruned,0.994
cdf_fbcoco,51,ocs_eps_pruned,0.991
cdf_fbcoco_february_2024,42,ocs_eps_global_ksp,1.742
cdf_fbcoco_february_2024,42,pure_ocs_ksp,1.137
cdf_fbcoco_february_2024,42,eps_ecmp,1.098
cdf_fbcoco_february_2024,42,ocs_eps_large_small,1.055
cdf_fbcoco_february_2024,42,pure_ocs_ksp_greedy,1.045
cdf_fbcoco_february_2024,42,ocs_eps_preset_greedy,1.024
cdf_fbcoco_february_2024,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,42,pure_ocs_3hop_preset,1.008
cdf_fbcoco_february_2024,42,pure_ocs_pruned,1.008
cdf_fbcoco_february_2024,42,ocs_eps_pruned,1.056
cdf_fbcoco_february_2024,43,ocs_eps_global_ksp,1.818
cdf_fbcoco_february_2024,43,pure_ocs_ksp,1.308
cdf_fbcoco_february_2024,43,eps_ecmp,1.097
cdf_fbcoco_february_2024,43,ocs_eps_large_small,1.032
cdf_fbcoco_february_2024,43,pure_ocs_ksp_greedy,1.085
cdf_fbcoco_february_2024,43,ocs_eps_preset_greedy,1.066
cdf_fbcoco_february_2024,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,43,pure_ocs_3hop_preset,1.054
cdf_fbcoco_february_2024,43,pure_ocs_pruned,1.054
cdf_fbcoco_february_2024,43,ocs_eps_pruned,0.972
cdf_fbcoco_february_2024,44,ocs_eps_global_ksp,1.981
cdf_fbcoco_february_2024,44,pure_ocs_ksp,1.234
cdf_fbcoco_february_2024,44,eps_ecmp,0.997
cdf_fbcoco_february_2024,44,ocs_eps_large_small,1.279
cdf_fbcoco_february_2024,44,pure_ocs_ksp_greedy,1.200
cdf_fbcoco_february_2024,44,ocs_eps_preset_greedy,1.107
cdf_fbcoco_february_2024,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,44,pure_ocs_3hop_preset,1.034
cdf_fbcoco_february_2024,44,pure_ocs_pruned,1.034
cdf_fbcoco_february_2024,44,ocs_eps_pruned,0.960
cdf_fbcoco_february_2024,45,ocs_eps_global_ksp,1.927
cdf_fbcoco_february_2024,45,pure_ocs_ksp,1.185
cdf_fbcoco_february_2024,45,eps_ecmp,1.008
cdf_fbcoco_february_2024,45,ocs_eps_large_small,1.063
cdf_fbcoco_february_2024,45,pure_ocs_ksp_greedy,1.059
cdf_fbcoco_february_2024,45,ocs_eps_preset_greedy,0.965
cdf_fbcoco_february_2024,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,45,pure_ocs_3hop_preset,1.004
cdf_fbcoco_february_2024,45,pure_ocs_pruned,1.004
cdf_fbcoco_february_2024,45,ocs_eps_pruned,0.976
cdf_fbcoco_february_2024,46,ocs_eps_global_ksp,1.822
cdf_fbcoco_february_2024,46,pure_ocs_ksp,1.154
cdf_fbcoco_february_2024,46,eps_ecmp,1.016
cdf_fbcoco_february_2024,46,ocs_eps_large_small,0.952
cdf_fbcoco_february_2024,46,pure_ocs_ksp_greedy,1.091
cdf_fbcoco_february_2024,46,ocs_eps_preset_greedy,0.905
cdf_fbcoco_february_2024,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,46,pure_ocs_3hop_preset,0.958
cdf_fbcoco_february_2024,46,pure_ocs_pruned,0.958
cdf_fbcoco_february_2024,46,ocs_eps_pruned,0.980
cdf_fbcoco_february_2024,47,ocs_eps_global_ksp,1.958
cdf_fbcoco_february_2024,47,pure_ocs_ksp,1.198
cdf_fbcoco_february_2024,47,eps_ecmp,1.082
cdf_fbcoco_february_2024,47,ocs_eps_large_small,1.126
cdf_fbcoco_february_2024,47,pure_ocs_ksp_greedy,1.010
cdf_fbcoco_february_2024,47,ocs_eps_preset_greedy,1.097
cdf_fbcoco_february_2024,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,47,pure_ocs_3hop_preset,1.055
cdf_fbcoco_february_2024,47,pure_ocs_pruned,1.055
cdf_fbcoco_february_2024,47,ocs_eps_pruned,1.032
cdf_fbcoco_february_2024,48,ocs_eps_global_ksp,1.897
cdf_fbcoco_february_2024,48,pure_ocs_ksp,1.201
cdf_fbcoco_february_2024,48,eps_ecmp,1.008
cdf_fbcoco_february_2024,48,ocs_eps_large_small,1.100
cdf_fbcoco_february_2024,48,pure_ocs_ksp_greedy,1.026
cdf_fbcoco_february_2024,48,ocs_eps_preset_greedy,1.063
cdf_fbcoco_february_2024,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,48,pure_ocs_3hop_preset,0.991
cdf_fbcoco_february_2024,48,pure_ocs_pruned,0.991
cdf_fbcoco_february_2024,48,ocs_eps_pruned,0.978
cdf_fbcoco_february_2024,49,ocs_eps_global_ksp,1.628
cdf_fbcoco_february_2024,49,pure_ocs_ksp,1.137
cdf_fbcoco_february_2024,49,eps_ecmp,0.987
cdf_fbcoco_february_2024,49,ocs_eps_large_small,0.957
cdf_fbcoco_february_2024,49,pure_ocs_ksp_greedy,1.032
cdf_fbcoco_february_2024,49,ocs_eps_preset_greedy,1.002
cdf_fbcoco_february_2024,49,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,49,pure_ocs_3hop_preset,0.914
cdf_fbcoco_february_2024,49,pure_ocs_pruned,0.914
cdf_fbcoco_february_2024,49,ocs_eps_pruned,0.981
cdf_fbcoco_february_2024,50,ocs_eps_global_ksp,2.021
cdf_fbcoco_february_2024,50,pure_ocs_ksp,1.169
cdf_fbcoco_february_2024,50,eps_ecmp,1.017
cdf_fbcoco_february_2024,50,ocs_eps_large_small,1.182
cdf_fbcoco_february_2024,50,pure_ocs_ksp_greedy,1.192
cdf_fbcoco_february_2024,50,ocs_eps_preset_greedy,1.102
cdf_fbcoco_february_2024,50,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,50,pure_ocs_3hop_preset,1.156
cdf_fbcoco_february_2024,50,pure_ocs_pruned,1.156
cdf_fbcoco_february_2024,50,ocs_eps_pruned,1.034
cdf_fbcoco_february_2024,51,ocs_eps_global_ksp,1.949
cdf_fbcoco_february_2024,51,pure_ocs_ksp,1.201
cdf_fbcoco_february_2024,51,eps_ecmp,1.088
cdf_fbcoco_february_2024,51,ocs_eps_large_small,1.111
cdf_fbcoco_february_2024,51,pure_ocs_ksp_greedy,1.192
cdf_fbcoco_february_2024,51,ocs_eps_preset_greedy,1.040
cdf_fbcoco_february_2024,51,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,51,pure_ocs_3hop_preset,1.015
cdf_fbcoco_february_2024,51,pure_ocs_pruned,1.015
cdf_fbcoco_february_2024,51,ocs_eps_pruned,0.956
cdf_fbcoco_january_2024,42,ocs_eps_global_ksp,1.279
cdf_fbcoco_january_2024,42,pure_ocs_ksp,0.991
cdf_fbcoco_january_2024,42,eps_ecmp,1.076
cdf_fbcoco_january_2024,42,ocs_eps_large_small,0.977
cdf_fbcoco_january_2024,42,pure_ocs_ksp_greedy,0.958
cdf_fbcoco_january_2024,42,ocs_eps_preset_greedy,1.030
cdf_fbcoco_january_2024,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_january_2024,42,pure_ocs_3hop_preset,0.949
cdf_fbcoco_january_2024,42,pure_ocs_pruned,0.949
cdf_fbcoco_january_2024,42,ocs_eps_pruned,1.017
cdf_fbcoco_january_2024,43,ocs_eps_global_ksp,1.362
cdf_fbcoco_january_2024,43,pure_ocs_ksp,0.995
cdf_fbcoco_january_2024,43,eps_ecmp,1.044
cdf_fbcoco_january_2024,43,ocs_eps_large_small,0.956
cdf_fbcoco_january_2024,43,pure_ocs_ksp_greedy,0.985
cdf_fbcoco_january_2024,43,ocs_eps_preset_greedy,1.071
cdf_fbcoco_january_2024,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_january_2024,43,pure_ocs_3hop_preset,1.045
cdf_fbcoco_january_2024,43,pure_ocs_pruned,1.045
cdf_fbcoco_january_2024,43,ocs_eps_pruned,1.090
cdf_fbcoco_january_2024,44,ocs_eps_global_ksp,1.596
cdf_fbcoco_january_2024,44,pure_ocs_ksp,1.126
cdf_fbcoco_january_2024,44,eps_ecmp,1.033
cdf_fbcoco_january_2024,44,ocs_eps_large_small,1.006
cdf_fbcoco_january_2024,44,pure_ocs_ksp_greedy,1.066
cdf_fbcoco_january_2024,44,ocs_eps_preset_greedy,1.057
cdf_fbcoco_january_2024,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_january_2024,44,pure_ocs_3hop_preset,0.995
cdf_fbcoco_january_2024,44,pure_ocs_pruned,0.995
cdf_fbcoco_january_2024,44,ocs_eps_pruned,0.987
cdf_fbcoco_january_2024,45,ocs_eps_global_ksp,1.388
cdf_fbcoco_january_2024,45,pure_ocs_ksp,1.053
cdf_fbcoco_january_2024,45,eps_ecmp,1.064
cdf_fbcoco_january_2024,45,ocs_eps_large_small,0.970
cdf_fbcoco_january_2024,45,pure_ocs_ksp_greedy,1.028
cdf_fbcoco_january_2024,45,ocs_eps_preset_greedy,1.009
cdf_fbcoco_january_2024,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_january_2024,45,pure_ocs_3hop_preset,1.035
cdf_fbcoco_january_2024,45,pure_ocs_pruned,1.035
cdf_fbcoco_january_2024,45,ocs_eps_pruned,0.990
cdf_fbcoco_january_2024,46,ocs_eps_global_ksp,1.397
cdf_fbcoco_january_2024,46,pure_ocs_ksp,1.010
cdf_fbcoco_january_2024,46,eps_ecmp,1.026
cdf_fbcoco_january_2024,46,ocs_eps_large_small,0.884
cdf_fbcoco_january_2024,46,pure_ocs_ksp_greedy,0.968
cdf_fbcoco_january_2024,46,ocs_eps_preset_greedy,1.004
cdf_fbcoco_january_2024,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_january_2024,46,pure_ocs_3hop_preset,0.945
cdf_fbcoco_january_2024,46,pure_ocs_pruned,0.945
cdf_fbcoco_january_2024,46,ocs_eps_pruned,0.983
cdf_fbcoco_january_2024,47,ocs_eps_global_ksp,1.480
cdf_fbcoco_january_2024,47,pure_ocs_ksp,0.978
cdf_fbcoco_january_2024,47,eps_ecmp,1.049
cdf_fbcoco_january_2024,47,ocs_eps_large_small,0.964
cdf_fbcoco_january_2024,47,pure_ocs_ksp_greedy,0.959
cdf_fbcoco_january_2024,47,ocs_eps_preset_greedy,1.002
