case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
cdf_fbcoco,ocs_eps_global_ksp,10,1.941,0.199
cdf_fbcoco,pure_ocs_ksp,10,1.171,0.045
cdf_fbcoco,eps_ecmp,10,1.005,0.057
cdf_fbcoco,ocs_eps_large_small,10,1.097,0.059
cdf_fbcoco,pure_ocs_ksp_greedy,10,1.086,0.053
cdf_fbcoco,ocs_eps_preset_greedy,10,1.049,0.039
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco,pure_ocs_3hop_preset,10,1.023,0.043
cdf_fbcoco,pure_ocs_pruned,10,1.023,0.043
cdf_fbcoco,ocs_eps_pruned,10,1.001,0.051
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,1.874,0.115
cdf_fbcoco_february_2024,pure_ocs_ksp,10,1.192,0.048
cdf_fbcoco_february_2024,eps_ecmp,10,1.040,0.043
cdf_fbcoco_february_2024,ocs_eps_large_small,10,1.086,0.094
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,1.093,0.070
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,1.037,0.062
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,1.019,0.061
cdf_fbcoco_february_2024,pure_ocs_pruned,10,1.019,0.061
cdf_fbcoco_february_2024,ocs_eps_pruned,10,0.992,0.033
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,1.403,0.125
cdf_fbcoco_january_2024,pure_ocs_ksp,10,1.034,0.052
cdf_fbcoco_january_2024,eps_ecmp,10,1.053,0.034
cdf_fbcoco_january_2024,ocs_eps_large_small,10,0.970,0.044
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,0.994,0.035
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,0.997,0.048
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,0.987,0.041
cdf_fbcoco_january_2024,pure_ocs_pruned,10,0.987,0.041
cdf_fbcoco_january_2024,ocs_eps_pruned,10,0.995,0.042
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,1.987,0.170
cdf_fbcoco_march_2024,pure_ocs_ksp,10,1.208,0.076
cdf_fbcoco_march_2024,eps_ecmp,10,1.025,0.039
cdf_fbcoco_march_2024,ocs_eps_large_small,10,1.151,0.091
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,1.092,0.050
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,1.048,0.059
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,1.051,0.057
cdf_fbcoco_march_2024,pure_ocs_pruned,10,1.051,0.057
cdf_fbcoco_march_2024,ocs_eps_pruned,10,1.026,0.045
