case_base,seed,scheduler,avg_relative_cct_vs_dynamic
cdf_fbcoco,42,ocs_eps_global_ksp,1.572
cdf_fbcoco,42,pure_ocs_ksp,1.588
cdf_fbcoco,42,eps_ecmp,1.068
cdf_fbcoco,42,ocs_eps_large_small,1.177
cdf_fbcoco,42,pure_ocs_ksp_greedy,1.275
cdf_fbcoco,42,ocs_eps_preset_greedy,1.716
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,42,pure_ocs_3hop_preset,1.124
cdf_fbcoco,42,pure_ocs_pruned,1.124
cdf_fbcoco,42,ocs_eps_pruned,1.142
cdf_fbcoco,43,ocs_eps_global_ksp,1.534
cdf_fbcoco,43,pure_ocs_ksp,1.077
cdf_fbcoco,43,eps_ecmp,1.390
cdf_fbcoco,43,ocs_eps_large_small,1.076
cdf_fbcoco,43,pure_ocs_ksp_greedy,1.392
cdf_fbcoco,43,ocs_eps_preset_greedy,0.925
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,43,pure_ocs_3hop_preset,1.258
cdf_fbcoco,43,pure_ocs_pruned,1.258
cdf_fbcoco,43,ocs_eps_pruned,1.272
cdf_fbcoco,44,ocs_eps_global_ksp,1.285
cdf_fbcoco,44,pure_ocs_ksp,0.724
cdf_fbcoco,44,eps_ecmp,0.693
cdf_fbcoco,44,ocs_eps_large_small,0.830
cdf_fbcoco,44,pure_ocs_ksp_greedy,0.694
cdf_fbcoco,44,ocs_eps_preset_greedy,0.927
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,44,pure_ocs_3hop_preset,0.700
cdf_fbcoco,44,pure_ocs_pruned,0.700
cdf_fbcoco,44,ocs_eps_pruned,1.091
cdf_fbcoco,45,ocs_eps_global_ksp,1.488
cdf_fbcoco,45,pure_ocs_ksp,1.017
cdf_fbcoco,45,eps_ecmp,1.071
cdf_fbcoco,45,ocs_eps_large_small,1.065
cdf_fbcoco,45,pure_ocs_ksp_greedy,1.014
cdf_fbcoco,45,ocs_eps_preset_greedy,1.004
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,45,pure_ocs_3hop_preset,1.121
cdf_fbcoco,45,pure_ocs_pruned,1.121
cdf_fbcoco,45,ocs_eps_pruned,0.982
cdf_fbcoco,46,ocs_eps_global_ksp,1.557
cdf_fbcoco,46,pure_ocs_ksp,1.083
cdf_fbcoco,46,eps_ecmp,1.188
cdf_fbcoco,46,ocs_eps_large_small,1.133
cdf_fbcoco,46,pure_ocs_ksp_greedy,0.947
cdf_fbcoco,46,ocs_eps_preset_greedy,1.168
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,46,pure_ocs_3hop_preset,1.649
cdf_fbcoco,46,pure_ocs_pruned,1.649
cdf_fbcoco,46,ocs_eps_pruned,1.218
cdf_fbcoco,47,ocs_eps_global_ksp,2.231
cdf_fbcoco,47,pure_ocs_ksp,1.261
cdf_fbcoco,47,eps_ecmp,1.424
cdf_fbcoco,47,ocs_eps_large_small,1.104
cdf_fbcoco,47,pure_ocs_ksp_greedy,1.119
cdf_fbcoco,47,ocs_eps_preset_greedy,1.031
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,47,pure_ocs_3hop_preset,1.182
cdf_fbcoco,47,pure_ocs_pruned,1.182
cdf_fbcoco,47,ocs_eps_pruned,1.244
cdf_fbcoco,48,ocs_eps_global_ksp,1.435
cdf_fbcoco,48,pure_ocs_ksp,0.691
cdf_fbcoco,48,eps_ecmp,1.290
cdf_fbcoco,48,ocs_eps_large_small,0.749
cdf_fbcoco,48,pure_ocs_ksp_greedy,0.781
cdf_fbcoco,48,ocs_eps_preset_greedy,0.679
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,48,pure_ocs_3hop_preset,0.719
cdf_fbcoco,48,pure_ocs_pruned,0.719
cdf_fbcoco,48,ocs_eps_pruned,0.789
cdf_fbcoco,49,ocs_eps_global_ksp,1.083
cdf_fbcoco,49,pure_ocs_ksp,1.569
cdf_fbcoco,49,eps_ecmp,1.056
