case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
cdf_fbcoco,ocs_eps_global_ksp,10,1.584,0.325
cdf_fbcoco,pure_ocs_ksp,10,1.110,0.288
cdf_fbcoco,eps_ecmp,10,1.140,0.237
cdf_fbcoco,ocs_eps_large_small,10,1.051,0.251
cdf_fbcoco,pure_ocs_ksp_greedy,10,1.037,0.200
cdf_fbcoco,ocs_eps_preset_greedy,10,1.044,0.259
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco,pure_ocs_3hop_preset,10,1.078,0.266
cdf_fbcoco,pure_ocs_pruned,10,1.078,0.266
cdf_fbcoco,ocs_eps_pruned,10,1.042,0.170
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,1.499,0.356
cdf_fbcoco_february_2024,pure_ocs_ksp,10,1.157,0.280
cdf_fbcoco_february_2024,eps_ecmp,10,1.255,0.194
cdf_fbcoco_february_2024,ocs_eps_large_small,10,1.020,0.176
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,1.011,0.245
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,1.084,0.254
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,0.939,0.166
cdf_fbcoco_february_2024,pure_ocs_pruned,10,0.939,0.166
cdf_fbcoco_february_2024,ocs_eps_pruned,10,0.951,0.247
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,0.965,0.217
cdf_fbcoco_january_2024,pure_ocs_ksp,10,0.958,0.151
cdf_fbcoco_january_2024,eps_ecmp,10,1.019,0.254
cdf_fbcoco_january_2024,ocs_eps_large_small,10,0.985,0.248
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,0.900,0.140
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,0.965,0.283
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,0.987,0.151
cdf_fbcoco_january_2024,pure_ocs_pruned,10,0.987,0.151
cdf_fbcoco_january_2024,ocs_eps_pruned,10,0.921,0.228
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,1.557,0.480
cdf_fbcoco_march_2024,pure_ocs_ksp,10,1.179,0.365
cdf_fbcoco_march_2024,eps_ecmp,10,1.217,0.352
cdf_fbcoco_march_2024,ocs_eps_large_small,10,1.055,0.281
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,1.042,0.286
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,0.976,0.310
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,1.044,0.294
cdf_fbcoco_march_2024,pure_ocs_pruned,10,1.044,0.294
cdf_fbcoco_march_2024,ocs_eps_pruned,10,1.072,0.383
