case_base,seed,scheduler,avg_relative_fct_vs_dynamic
cdf_fbcoco,42,ocs_eps_global_ksp,1.174
cdf_fbcoco,42,pure_ocs_ksp,1.032
cdf_fbcoco,42,eps_ecmp,1.003
cdf_fbcoco,42,ocs_eps_large_small,1.079
cdf_fbcoco,42,pure_ocs_ksp_greedy,1.019
cdf_fbcoco,42,ocs_eps_preset_greedy,0.999
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,42,pure_ocs_3hop_preset,0.999
cdf_fbcoco,42,pure_ocs_pruned,0.999
cdf_fbcoco,42,ocs_eps_pruned,0.999
cdf_fbcoco,43,ocs_eps_global_ksp,1.239
cdf_fbcoco,43,pure_ocs_ksp,1.061
cdf_fbcoco,43,eps_ecmp,1.000
cdf_fbcoco,43,ocs_eps_large_small,1.126
cdf_fbcoco,43,pure_ocs_ksp_greedy,1.037
cdf_fbcoco,43,ocs_eps_preset_greedy,1.015
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,43,pure_ocs_3hop_preset,0.994
cdf_fbcoco,43,pure_ocs_pruned,0.994
cdf_fbcoco,43,ocs_eps_pruned,1.015
cdf_fbcoco,44,ocs_eps_global_ksp,1.324
cdf_fbcoco,44,pure_ocs_ksp,1.034
cdf_fbcoco,44,eps_ecmp,0.948
cdf_fbcoco,44,ocs_eps_large_small,1.441
cdf_fbcoco,44,pure_ocs_ksp_greedy,1.003
cdf_fbcoco,44,ocs_eps_preset_greedy,1.039
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,44,pure_ocs_3hop_preset,1.020
cdf_fbcoco,44,pure_ocs_pruned,1.020
cdf_fbcoco,44,ocs_eps_pruned,0.969
cdf_fbcoco,45,ocs_eps_global_ksp,1.207
cdf_fbcoco,45,pure_ocs_ksp,1.055
cdf_fbcoco,45,eps_ecmp,0.980
cdf_fbcoco,45,ocs_eps_large_small,1.082
cdf_fbcoco,45,pure_ocs_ksp_greedy,1.012
cdf_fbcoco,45,ocs_eps_preset_greedy,1.001
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,45,pure_ocs_3hop_preset,0.986
cdf_fbcoco,45,pure_ocs_pruned,0.986
cdf_fbcoco,45,ocs_eps_pruned,0.972
cdf_fbcoco,46,ocs_eps_global_ksp,1.360
cdf_fbcoco,46,pure_ocs_ksp,1.066
cdf_fbcoco,46,eps_ecmp,1.029
cdf_fbcoco,46,ocs_eps_large_small,1.206
cdf_fbcoco,46,pure_ocs_ksp_greedy,1.032
cdf_fbcoco,46,ocs_eps_preset_greedy,1.021
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,46,pure_ocs_3hop_preset,1.043
cdf_fbcoco,46,pure_ocs_pruned,1.043
cdf_fbcoco,46,ocs_eps_pruned,1.029
cdf_fbcoco,47,ocs_eps_global_ksp,1.277
cdf_fbcoco,47,pure_ocs_ksp,1.064
cdf_fbcoco,47,eps_ecmp,0.986
cdf_fbcoco,47,ocs_eps_large_small,1.179
cdf_fbcoco,47,pure_ocs_ksp_greedy,1.064
