case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
cdf_fbcoco,ocs_eps_global_ksp,10,1.277,0.058
cdf_fbcoco,pure_ocs_ksp,10,1.051,0.015
cdf_fbcoco,eps_ecmp,10,0.993,0.022
cdf_fbcoco,ocs_eps_large_small,10,1.274,0.272
cdf_fbcoco,pure_ocs_ksp_greedy,10,1.015,0.026
cdf_fbcoco,ocs_eps_preset_greedy,10,1.017,0.016
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco,pure_ocs_3hop_preset,10,1.010,0.020
cdf_fbcoco,pure_ocs_pruned,10,1.010,0.020
cdf_fbcoco,ocs_eps_pruned,10,1.001,0.021
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,1.382,0.142
cdf_fbcoco_february_2024,pure_ocs_ksp,10,1.041,0.054
cdf_fbcoco_february_2024,eps_ecmp,10,1.168,0.086
cdf_fbcoco_february_2024,ocs_eps_large_small,10,1.386,0.380
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,1.024,0.069
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,1.016,0.040
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,0.994,0.038
cdf_fbcoco_february_2024,pure_ocs_pruned,10,0.994,0.038
cdf_fbcoco_february_2024,ocs_eps_pruned,10,0.995,0.039
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,1.089,0.070
cdf_fbcoco_january_2024,pure_ocs_ksp,10,0.938,0.031
cdf_fbcoco_january_2024,eps_ecmp,10,1.134,0.073
cdf_fbcoco_january_2024,ocs_eps_large_small,10,0.799,0.057
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,0.945,0.029
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,0.954,0.021
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,0.977,0.058
cdf_fbcoco_january_2024,pure_ocs_pruned,10,0.977,0.058
cdf_fbcoco_january_2024,ocs_eps_pruned,10,0.998,0.055
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,1.337,0.064
cdf_fbcoco_march_2024,pure_ocs_ksp,10,1.076,0.051
cdf_fbcoco_march_2024,eps_ecmp,10,1.117,0.069
cdf_fbcoco_march_2024,ocs_eps_large_small,10,1.270,0.291
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,1.015,0.039
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,1.015,0.056
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,1.021,0.054
cdf_fbcoco_march_2024,pure_ocs_pruned,10,1.021,0.054
cdf_fbcoco_march_2024,ocs_eps_pruned,10,1.036,0.066
