case_base,seed,scheduler,avg_solve_time_ms
cdf_fbcoco,42,ocs_eps_global_ksp,0.000
cdf_fbcoco,42,pure_ocs_ksp,0.000
cdf_fbcoco,42,eps_ecmp,0.000
cdf_fbcoco,42,ocs_eps_large_small,0.000
cdf_fbcoco,42,pure_ocs_ksp_greedy,0.126
cdf_fbcoco,42,ocs_eps_preset_greedy,0.119
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,0.217
cdf_fbcoco,42,pure_ocs_3hop_preset,0.731
cdf_fbcoco,42,pure_ocs_pruned,0.734
cdf_fbcoco,42,ocs_eps_pruned,0.474
cdf_fbcoco,43,ocs_eps_global_ksp,0.000
cdf_fbcoco,43,pure_ocs_ksp,0.000
cdf_fbcoco,43,eps_ecmp,0.000
cdf_fbcoco,43,ocs_eps_large_small,0.000
cdf_fbcoco,43,pure_ocs_ksp_greedy,0.121
cdf_fbcoco,43,ocs_eps_preset_greedy,0.119
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,0.303
cdf_fbcoco,43,pure_ocs_3hop_preset,0.448
cdf_fbcoco,43,pure_ocs_pruned,0.730
cdf_fbcoco,43,ocs_eps_pruned,0.801
cdf_fbcoco,44,ocs_eps_global_ksp,0.000
cdf_fbcoco,44,pure_ocs_ksp,0.000
cdf_fbcoco,44,eps_ecmp,0.000
cdf_fbcoco,44,ocs_eps_large_small,0.000
cdf_fbcoco,44,pure_ocs_ksp_greedy,0.102
cdf_fbcoco,44,ocs_eps_preset_greedy,0.140
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,0.218
cdf_fbcoco,44,pure_ocs_3hop_preset,0.439
cdf_fbcoco,44,pure_ocs_pruned,0.416
cdf_fbcoco,44,ocs_eps_pruned,0.503
cdf_fbcoco,45,ocs_eps_global_ksp,0.000
cdf_fbcoco,45,pure_ocs_ksp,0.000
cdf_fbcoco,45,eps_ecmp,0.000
cdf_fbcoco,45,ocs_eps_large_small,0.000
cdf_fbcoco,45,pure_ocs_ksp_greedy,0.125
cdf_fbcoco,45,ocs_eps_preset_greedy,0.116
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,0.279
cdf_fbcoco,45,pure_ocs_3hop_preset,0.665
cdf_fbcoco,45,pure_ocs_pruned,0.702
cdf_fbcoco,45,ocs_eps_pruned,0.455
cdf_fbcoco,46,ocs_eps_global_ksp,0.000
cdf_fbcoco,46,pure_ocs_ksp,0.000
cdf_fbcoco,46,eps_ecmp,0.000
cdf_fbcoco,46,ocs_eps_large_small,0.000
cdf_fbcoco,46,pure_ocs_ksp_greedy,0.125
cdf_fbcoco,46,ocs_eps_preset_greedy,0.140
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,0.212
cdf_fbcoco,46,pure_ocs_3hop_preset,0.762
cdf_fbcoco,46,pure_ocs_pruned,0.743
cdf_fbcoco,46,ocs_eps_pruned,0.457
cdf_fbcoco,47,ocs_eps_global_ksp,0.000
cdf_fbcoco,47,pure_ocs_ksp,0.000
cdf_fbcoco,47,eps_ecmp,0.000
cdf_fbcoco,47,ocs_eps_large_small,0.000
cdf_fbcoco,47,pure_ocs_ksp_greedy,0.125
cdf_fbcoco,47,ocs_eps_preset_greedy,0.118
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,0.276
cdf_fbcoco,47,pure_ocs_3hop_preset,0.743
cdf_fbcoco,47,pure_ocs_pruned,0.643
cdf_fbcoco,47,ocs_eps_pruned,1.066
cdf_fbcoco,48,ocs_eps_global_ksp,0.000
cdf_fbcoco,48,pure_ocs_ksp,0.000
cdf_fbcoco,48,eps_ecmp,0.000
cdf_fbcoco,48,ocs_eps_large_small,0.000
cdf_fbcoco,48,pure_ocs_ksp_greedy,0.127
cdf_fbcoco,48,ocs_eps_preset_greedy,0.143
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,0.303
cdf_fbcoco,48,pure_ocs_3hop_preset,0.452
cdf_fbcoco,48,pure_ocs_pruned,0.439
cdf_fbcoco,48,ocs_eps_pruned,0.803
cdf_fbcoco,49,ocs_eps_global_ksp,0.000
cdf_fbcoco,49,pure_ocs_ksp,0.000
cdf_fbcoco,49,eps_ecmp,0.000
cdf_fbcoco,49,ocs_eps_large_small,0.000
cdf_fbcoco,49,pure_ocs_ksp_greedy,0.125
cdf_fbcoco,49,ocs_eps_preset_greedy,0.145
cdf_fbcoco,49,ocs_eps_preset_dynamic_greedy,0.309
cdf_fbcoco,49,pure_ocs_3hop_preset,0.453
cdf_fbcoco,49,pure_ocs_pruned,0.720
cdf_fbcoco,49,ocs_eps_pruned,0.833
cdf_fbcoco,50,ocs_eps_global_ksp,0.000
cdf_fbcoco,50,pure_ocs_ksp,0.000
cdf_fbcoco,50,eps_ecmp,0.000
cdf_fbcoco,50,ocs_eps_large_small,0.000
cdf_fbcoco,50,pure_ocs_ksp_greedy,0.132
cdf_fbcoco,50,ocs_eps_preset_greedy,0.155
cdf_fbcoco,50,ocs_eps_preset_dynamic_greedy,0.221
cdf_fbcoco,50,pure_ocs_3hop_preset,0.777
cdf_fbcoco,50,pure_ocs_pruned,0.440
cdf_fbcoco,50,ocs_eps_pruned,0.492
cdf_fbcoco,51,ocs_eps_global_ksp,0.000
cdf_fbcoco,51,pure_ocs_ksp,0.000
cdf_fbcoco,51,eps_ecmp,0.000
cdf_fbcoco,51,ocs_eps_large_small,0.000
cdf_fbcoco,51,pure_ocs_ksp_greedy,0.124
cdf_fbcoco,51,ocs_eps_preset_greedy,0.153
cdf_fbcoco,51,ocs_eps_preset_dynamic_greedy,0.221
cdf_fbcoco,51,pure_ocs_3hop_preset,0.460
cdf_fbcoco,51,pure_ocs_pruned,0.749
cdf_fbcoco,51,ocs_eps_pruned,0.838
cdf_fbcoco_february_2024,42,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,42,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,42,eps_ecmp,0.000
cdf_fbcoco_february_2024,42,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,42,pure_ocs_ksp_greedy,0.099
cdf_fbcoco_february_2024,42,ocs_eps_preset_greedy,0.121
cdf_fbcoco_february_2024,42,ocs_eps_preset_dynamic_greedy,0.219
cdf_fbcoco_february_2024,42,pure_ocs_3hop_preset,0.445
cdf_fbcoco_february_2024,42,pure_ocs_pruned,0.417
cdf_fbcoco_february_2024,42,ocs_eps_pruned,0.626
cdf_fbcoco_february_2024,43,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,43,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,43,eps_ecmp,0.000
cdf_fbcoco_february_2024,43,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,43,pure_ocs_ksp_greedy,0.100
cdf_fbcoco_february_2024,43,ocs_eps_preset_greedy,0.159
cdf_fbcoco_february_2024,43,ocs_eps_preset_dynamic_greedy,0.221
cdf_fbcoco_february_2024,43,pure_ocs_3hop_preset,0.441
cdf_fbcoco_february_2024,43,pure_ocs_pruned,0.640
cdf_fbcoco_february_2024,43,ocs_eps_pruned,0.572
cdf_fbcoco_february_2024,44,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,44,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,44,eps_ecmp,0.000
cdf_fbcoco_february_2024,44,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,44,pure_ocs_ksp_greedy,0.100
cdf_fbcoco_february_2024,44,ocs_eps_preset_greedy,0.117
cdf_fbcoco_february_2024,44,ocs_eps_preset_dynamic_greedy,0.219
cdf_fbcoco_february_2024,44,pure_ocs_3hop_preset,0.438
cdf_fbcoco_february_2024,44,pure_ocs_pruned,0.723
cdf_fbcoco_february_2024,44,ocs_eps_pruned,0.641
cdf_fbcoco_february_2024,45,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,45,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,45,eps_ecmp,0.000
cdf_fbcoco_february_2024,45,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,45,pure_ocs_ksp_greedy,0.124
cdf_fbcoco_february_2024,45,ocs_eps_preset_greedy,0.120
cdf_fbcoco_february_2024,45,ocs_eps_preset_dynamic_greedy,0.300
cdf_fbcoco_february_2024,45,pure_ocs_3hop_preset,0.457
cdf_fbcoco_february_2024,45,pure_ocs_pruned,0.642
cdf_fbcoco_february_2024,45,ocs_eps_pruned,0.562
cdf_fbcoco_february_2024,46,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,46,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,46,eps_ecmp,0.000
cdf_fbcoco_february_2024,46,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,46,pure_ocs_ksp_greedy,0.124
cdf_fbcoco_february_2024,46,ocs_eps_preset_greedy,0.117
cdf_fbcoco_february_2024,46,ocs_eps_preset_dynamic_greedy,0.215
cdf_fbcoco_february_2024,46,pure_ocs_3hop_preset,0.446
cdf_fbcoco_february_2024,46,pure_ocs_pruned,0.429
cdf_fbcoco_february_2024,46,ocs_eps_pruned,0.633
cdf_fbcoco_february_2024,47,ocs_eps_global_ksp,0.000
