seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.101
42,ocs_eps_preset_dynamic_greedy,0.253
42,pure_ocs_pruned,0.378
42,ocs_eps_pruned,0.348
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.128
42,pure_ocs_3hop_preset,0.806
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.162
43,ocs_eps_preset_dynamic_greedy,0.366
43,pure_ocs_pruned,1.062
43,ocs_eps_pruned,0.339
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.176
43,pure_ocs_3hop_preset,0.246
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.116
44,ocs_eps_preset_dynamic_greedy,0.502
44,pure_ocs_pruned,0.257
44,ocs_eps_pruned,0.342
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.161
44,pure_ocs_3hop_preset,0.628
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.147
45,ocs_eps_preset_dynamic_greedy,0.378
45,pure_ocs_pruned,0.275
45,ocs_eps_pruned,0.328
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.172
45,pure_ocs_3hop_preset,0.249
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.130
46,ocs_eps_preset_dynamic_greedy,0.518
46,pure_ocs_pruned,0.217
46,ocs_eps_pruned,0.310
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.136
46,pure_ocs_3hop_preset,0.350
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.156
47,ocs_eps_preset_dynamic_greedy,0.236
47,pure_ocs_pruned,0.303
47,ocs_eps_pruned,0.329
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.362
47,pure_ocs_3hop_preset,0.244
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.159
48,ocs_eps_preset_dynamic_greedy,0.379
48,pure_ocs_pruned,2.389
48,ocs_eps_pruned,0.690
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.145
48,pure_ocs_3hop_preset,0.302
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.112
49,ocs_eps_preset_dynamic_greedy,0.214
49,pure_ocs_pruned,0.272
49,ocs_eps_pruned,0.346
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.146
49,pure_ocs_3hop_preset,0.235
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.135
50,ocs_eps_preset_dynamic_greedy,0.474
50,pure_ocs_pruned,0.249
50,ocs_eps_pruned,0.359
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.170
50,pure_ocs_3hop_preset,0.308
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.148
51,ocs_eps_preset_dynamic_greedy,0.526
51,pure_ocs_pruned,0.349
51,ocs_eps_pruned,0.365
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.152
51,pure_ocs_3hop_preset,0.449
