scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.008359,104
eps_ecmp,1000.000000,0.008000,48
eps_ecmp,10000.000000,0.065489,48
eps_ecmp,20000.000000,0.115086,120
eps_ecmp,30000.000000,0.185272,40
eps_ecmp,100000.000000,0.664114,304
eps_ecmp,200000.000000,1.387695,384
eps_ecmp,300000.000000,2.054933,416
eps_ecmp,400000.000000,2.780018,744
eps_ecmp,800000.000000,31.695642,2000
eps_ecmp,1000000.000000,50.102849,1144
eps_ecmp,2000000.000000,59.553134,3368
eps_ecmp,3000000.000000,64.950636,2152
eps_ecmp,10000000.000000,95.033834,4032
eps_ecmp,20000000.000000,133.307916,2488
eps_ecmp,30000000.000000,170.091388,1384
eps_ecmp,100000000.000000,221.621419,680
ocs_eps_global_ksp,100.000000,0.015700,104
ocs_eps_global_ksp,1000.000000,0.015383,48
ocs_eps_global_ksp,10000.000000,0.143775,48
ocs_eps_global_ksp,20000.000000,0.177173,120
ocs_eps_global_ksp,30000.000000,0.281385,40
ocs_eps_global_ksp,100000.000000,0.929002,304
ocs_eps_global_ksp,200000.000000,1.948784,384
ocs_eps_global_ksp,300000.000000,2.698696,416
ocs_eps_global_ksp,400000.000000,23.928585,744
ocs_eps_global_ksp,800000.000000,58.394421,2000
ocs_eps_global_ksp,1000000.000000,63.316789,1144
ocs_eps_global_ksp,2000000.000000,87.677020,3368
ocs_eps_global_ksp,3000000.000000,107.937064,2152
ocs_eps_global_ksp,10000000.000000,213.589181,4032
ocs_eps_global_ksp,20000000.000000,288.531939,2488
ocs_eps_global_ksp,30000000.000000,382.121935,1384
ocs_eps_global_ksp,100000000.000000,548.213741,680
ocs_eps_large_small,100.000000,0.011998,104
ocs_eps_large_small,1000.000000,0.013542,48
ocs_eps_large_small,10000.000000,0.147068,48
ocs_eps_large_small,20000.000000,0.135178,120
ocs_eps_large_small,30000.000000,0.196985,40
ocs_eps_large_small,100000.000000,2.782177,304
ocs_eps_large_small,200000.000000,1.546842,384
ocs_eps_large_small,300000.000000,3.153315,416
ocs_eps_large_small,400000.000000,16.863323,744
ocs_eps_large_small,800000.000000,50.219372,2000
ocs_eps_large_small,1000000.000000,52.342728,1144
ocs_eps_large_small,2000000.000000,64.305414,3368
ocs_eps_large_small,3000000.000000,71.529320,2152
ocs_eps_large_small,10000000.000000,165.441490,4032
ocs_eps_large_small,20000000.000000,476.089232,2488
ocs_eps_large_small,30000000.000000,621.761853,1384
ocs_eps_large_small,100000000.000000,1030.024392,680
ocs_eps_preset_dynamic_greedy,100.000000,0.022393,104
ocs_eps_preset_dynamic_greedy,1000.000000,0.020155,48
ocs_eps_preset_dynamic_greedy,10000.000000,0.078203,48
ocs_eps_preset_dynamic_greedy,20000.000000,0.157107,120
ocs_eps_preset_dynamic_greedy,30000.000000,0.302896,40
ocs_eps_preset_dynamic_greedy,100000.000000,0.892829,304
ocs_eps_preset_dynamic_greedy,200000.000000,1.561609,384
