seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.180
42,pure_ocs_ksp,1.409
42,eps_ecmp,0.553
42,pure_ocs_ksp_greedy,1.216
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.183
42,ocs_eps_pruned,0.859
42,ocs_eps_large_small,1.839
42,ocs_eps_preset_greedy,1.534
42,pure_ocs_3hop_preset,1.183
43,ocs_eps_global_ksp,1.149
43,pure_ocs_ksp,1.314
43,eps_ecmp,0.659
43,pure_ocs_ksp_greedy,1.251
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.093
43,ocs_eps_pruned,0.917
43,ocs_eps_large_small,1.793
43,ocs_eps_preset_greedy,1.474
43,pure_ocs_3hop_preset,1.093
44,ocs_eps_global_ksp,1.131
44,pure_ocs_ksp,1.269
44,eps_ecmp,0.600
44,pure_ocs_ksp_greedy,1.266
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.034
44,ocs_eps_pruned,0.874
44,ocs_eps_large_small,1.820
44,ocs_eps_preset_greedy,1.459
44,pure_ocs_3hop_preset,1.034
45,ocs_eps_global_ksp,1.087
45,pure_ocs_ksp,1.215
45,eps_ecmp,0.542
45,pure_ocs_ksp_greedy,1.082
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.038
45,ocs_eps_pruned,0.832
45,ocs_eps_large_small,1.505
45,ocs_eps_preset_greedy,1.280
45,pure_ocs_3hop_preset,1.038
46,ocs_eps_global_ksp,1.247
46,pure_ocs_ksp,1.394
46,eps_ecmp,0.663
46,pure_ocs_ksp_greedy,1.276
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.246
46,ocs_eps_pruned,0.919
46,ocs_eps_large_small,1.885
46,ocs_eps_preset_greedy,1.586
46,pure_ocs_3hop_preset,1.246
47,ocs_eps_global_ksp,1.080
47,pure_ocs_ksp,1.320
47,eps_ecmp,0.605
47,pure_ocs_ksp_greedy,1.189
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.048
47,ocs_eps_pruned,0.956
47,ocs_eps_large_small,1.799
47,ocs_eps_preset_greedy,1.414
47,pure_ocs_3hop_preset,1.048
48,ocs_eps_global_ksp,1.146
48,pure_ocs_ksp,1.365
48,eps_ecmp,0.584
48,pure_ocs_ksp_greedy,1.283
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.162
48,ocs_eps_pruned,0.937
48,ocs_eps_large_small,1.870
48,ocs_eps_preset_greedy,1.419
48,pure_ocs_3hop_preset,1.162
49,ocs_eps_global_ksp,1.024
49,pure_ocs_ksp,1.327
49,eps_ecmp,0.502
49,pure_ocs_ksp_greedy,1.138
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.018
49,ocs_eps_pruned,0.713
49,ocs_eps_large_small,1.593
49,ocs_eps_preset_greedy,1.337
49,pure_ocs_3hop_preset,1.018
50,ocs_eps_global_ksp,1.288
50,pure_ocs_ksp,1.331
50,eps_ecmp,0.624
50,pure_ocs_ksp_greedy,1.151
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.221
50,ocs_eps_pruned,0.911
50,ocs_eps_large_small,1.947
50,ocs_eps_preset_greedy,1.366
50,pure_ocs_3hop_preset,1.221
51,ocs_eps_global_ksp,1.102
51,pure_ocs_ksp,1.301
51,eps_ecmp,0.532
51,pure_ocs_ksp_greedy,1.179
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.118
51,ocs_eps_pruned,0.849
51,ocs_eps_large_small,1.679
51,ocs_eps_preset_greedy,1.455
51,pure_ocs_3hop_preset,1.118
