seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.278
42,pure_ocs_ksp,1.219
42,eps_ecmp,0.624
42,pure_ocs_ksp_greedy,1.225
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.070
42,ocs_eps_pruned,0.844
42,ocs_eps_large_small,1.151
42,ocs_eps_preset_greedy,1.672
42,pure_ocs_3hop_preset,1.070
43,ocs_eps_global_ksp,1.238
43,pure_ocs_ksp,1.162
43,eps_ecmp,0.705
43,pure_ocs_ksp_greedy,1.139
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.032
43,ocs_eps_pruned,0.811
43,ocs_eps_large_small,0.988
43,ocs_eps_preset_greedy,1.320
43,pure_ocs_3hop_preset,1.032
44,ocs_eps_global_ksp,2.194
44,pure_ocs_ksp,1.453
44,eps_ecmp,0.702
44,pure_ocs_ksp_greedy,1.390
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.208
44,ocs_eps_pruned,0.927
44,ocs_eps_large_small,1.291
44,ocs_eps_preset_greedy,1.715
44,pure_ocs_3hop_preset,1.208
45,ocs_eps_global_ksp,1.614
45,pure_ocs_ksp,1.181
45,eps_ecmp,0.776
45,pure_ocs_ksp_greedy,1.101
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.063
45,ocs_eps_pruned,0.911
45,ocs_eps_large_small,0.997
45,ocs_eps_preset_greedy,1.860
45,pure_ocs_3hop_preset,1.063
46,ocs_eps_global_ksp,2.033
46,pure_ocs_ksp,2.094
46,eps_ecmp,0.726
46,pure_ocs_ksp_greedy,1.937
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.744
46,ocs_eps_pruned,0.839
46,ocs_eps_large_small,2.052
46,ocs_eps_preset_greedy,2.272
46,pure_ocs_3hop_preset,1.744
47,ocs_eps_global_ksp,1.790
47,pure_ocs_ksp,1.495
47,eps_ecmp,0.653
47,pure_ocs_ksp_greedy,1.311
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.178
47,ocs_eps_pruned,0.827
47,ocs_eps_large_small,1.000
47,ocs_eps_preset_greedy,21.410
47,pure_ocs_3hop_preset,1.178
48,ocs_eps_global_ksp,2.704
48,pure_ocs_ksp,1.311
48,eps_ecmp,0.735
48,pure_ocs_ksp_greedy,1.296
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.047
48,ocs_eps_pruned,1.091
48,ocs_eps_large_small,1.089
48,ocs_eps_preset_greedy,2.951
48,pure_ocs_3hop_preset,1.047
49,ocs_eps_global_ksp,2.436
49,pure_ocs_ksp,1.188
49,eps_ecmp,0.654
49,pure_ocs_ksp_greedy,1.100
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.302
49,ocs_eps_pruned,0.841
49,ocs_eps_large_small,2.270
49,ocs_eps_preset_greedy,3.214
49,pure_ocs_3hop_preset,1.302
50,ocs_eps_global_ksp,3.120
50,pure_ocs_ksp,1.130
50,eps_ecmp,0.594
50,pure_ocs_ksp_greedy,1.127
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.008
50,ocs_eps_pruned,0.828
50,ocs_eps_large_small,1.554
50,ocs_eps_preset_greedy,2.223
50,pure_ocs_3hop_preset,1.008
51,ocs_eps_global_ksp,1.093
51,pure_ocs_ksp,1.220
51,eps_ecmp,0.577
51,pure_ocs_ksp_greedy,1.093
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.073
51,ocs_eps_pruned,0.792
51,ocs_eps_large_small,1.080
51,ocs_eps_preset_greedy,2.180
51,pure_ocs_3hop_preset,1.073
