case_base,seed,scheduler,avg_relative_cct_vs_dynamic
frag0p1,42,ocs_eps_global_ksp,1.105
frag0p1,42,pure_ocs_ksp,1.226
frag0p1,42,eps_ecmp,0.586
frag0p1,42,pure_ocs_ksp_greedy,1.093
frag0p1,42,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,42,pure_ocs_pruned,1.051
frag0p1,42,ocs_eps_pruned,0.830
frag0p1,42,ocs_eps_large_small,1.626
frag0p1,42,ocs_eps_preset_greedy,1.369
frag0p1,42,pure_ocs_3hop_preset,1.051
frag0p1,43,ocs_eps_global_ksp,1.001
frag0p1,43,pure_ocs_ksp,1.166
frag0p1,43,eps_ecmp,0.519
frag0p1,43,pure_ocs_ksp_greedy,1.166
frag0p1,43,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,43,pure_ocs_pruned,1.108
frag0p1,43,ocs_eps_pruned,0.900
frag0p1,43,ocs_eps_large_small,1.577
frag0p1,43,ocs_eps_preset_greedy,1.313
frag0p1,43,pure_ocs_3hop_preset,1.108
frag0p1,44,ocs_eps_global_ksp,1.024
frag0p1,44,pure_ocs_ksp,1.137
frag0p1,44,eps_ecmp,0.515
frag0p1,44,pure_ocs_ksp_greedy,1.129
frag0p1,44,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,44,pure_ocs_pruned,1.227
frag0p1,44,ocs_eps_pruned,0.842
frag0p1,44,ocs_eps_large_small,1.564
frag0p1,44,ocs_eps_preset_greedy,1.394
frag0p1,44,pure_ocs_3hop_preset,1.227
frag0p1,45,ocs_eps_global_ksp,1.216
frag0p1,45,pure_ocs_ksp,1.244
frag0p1,45,eps_ecmp,0.668
frag0p1,45,pure_ocs_ksp_greedy,1.031
frag0p1,45,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,45,pure_ocs_pruned,1.144
frag0p1,45,ocs_eps_pruned,1.022
frag0p1,45,ocs_eps_large_small,1.461
frag0p1,45,ocs_eps_preset_greedy,1.479
frag0p1,45,pure_ocs_3hop_preset,1.144
frag0p1,46,ocs_eps_global_ksp,1.053
frag0p1,46,pure_ocs_ksp,1.179
frag0p1,46,eps_ecmp,0.614
frag0p1,46,pure_ocs_ksp_greedy,1.089
frag0p1,46,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,46,pure_ocs_pruned,1.116
frag0p1,46,ocs_eps_pruned,0.956
frag0p1,46,ocs_eps_large_small,1.502
frag0p1,46,ocs_eps_preset_greedy,1.284
frag0p1,46,pure_ocs_3hop_preset,1.116
frag0p1,47,ocs_eps_global_ksp,1.041
frag0p1,47,pure_ocs_ksp,1.352
frag0p1,47,eps_ecmp,0.532
frag0p1,47,pure_ocs_ksp_greedy,1.288
frag0p1,47,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,47,pure_ocs_pruned,1.135
frag0p1,47,ocs_eps_pruned,0.886
frag0p1,47,ocs_eps_large_small,1.633
frag0p1,47,ocs_eps_preset_greedy,1.389
frag0p1,47,pure_ocs_3hop_preset,1.135
frag0p1,48,ocs_eps_global_ksp,1.013
frag0p1,48,pure_ocs_ksp,1.205
frag0p1,48,eps_ecmp,0.644
frag0p1,48,pure_ocs_ksp_greedy,1.171
frag0p1,48,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,48,pure_ocs_pruned,1.143
frag0p1,48,ocs_eps_pruned,0.981
frag0p1,48,ocs_eps_large_small,1.551
frag0p1,48,ocs_eps_preset_greedy,1.317
frag0p1,48,pure_ocs_3hop_preset,1.143
frag0p1,49,ocs_eps_global_ksp,1.112
frag0p1,49,pure_ocs_ksp,1.237
frag0p1,49,eps_ecmp,0.619
frag0p1,49,pure_ocs_ksp_greedy,1.071
frag0p1,49,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,49,pure_ocs_pruned,1.153
frag0p1,49,ocs_eps_pruned,1.113
frag0p1,49,ocs_eps_large_small,1.533
frag0p1,49,ocs_eps_preset_greedy,1.332
frag0p1,49,pure_ocs_3hop_preset,1.153
frag0p1,50,ocs_eps_global_ksp,1.036
frag0p1,50,pure_ocs_ksp,1.080
frag0p1,50,eps_ecmp,0.620
frag0p1,50,pure_ocs_ksp_greedy,1.120
frag0p1,50,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,50,pure_ocs_pruned,1.163
frag0p1,50,ocs_eps_pruned,0.826
frag0p1,50,ocs_eps_large_small,1.480
frag0p1,50,ocs_eps_preset_greedy,1.412
frag0p1,50,pure_ocs_3hop_preset,1.163
frag0p1,51,ocs_eps_global_ksp,1.134
