case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
frag0p1,ocs_eps_global_ksp,10,1.073,0.064
frag0p1,pure_ocs_ksp,10,1.192,0.075
frag0p1,eps_ecmp,10,0.594,0.051
frag0p1,pure_ocs_ksp_greedy,10,1.141,0.075
frag0p1,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p1,pure_ocs_pruned,10,1.141,0.044
frag0p1,ocs_eps_pruned,10,0.934,0.089
frag0p1,ocs_eps_large_small,10,1.558,0.063
frag0p1,ocs_eps_preset_greedy,10,1.365,0.054
frag0p1,pure_ocs_3hop_preset,10,1.141,0.044
frag0p3,ocs_eps_global_ksp,10,1.143,0.068
frag0p3,pure_ocs_ksp,10,1.281,0.070
frag0p3,eps_ecmp,10,0.585,0.036
frag0p3,pure_ocs_ksp_greedy,10,1.141,0.072
frag0p3,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p3,pure_ocs_pruned,10,1.159,0.070
frag0p3,ocs_eps_pruned,10,0.922,0.054
frag0p3,ocs_eps_large_small,10,1.688,0.112
frag0p3,ocs_eps_preset_greedy,10,1.437,0.107
frag0p3,pure_ocs_3hop_preset,10,1.159,0.070
frag0p5,ocs_eps_global_ksp,10,1.135,0.039
frag0p5,pure_ocs_ksp,10,1.277,0.096
frag0p5,eps_ecmp,10,0.581,0.055
frag0p5,pure_ocs_ksp_greedy,10,1.174,0.087
frag0p5,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p5,pure_ocs_pruned,10,1.145,0.065
frag0p5,ocs_eps_pruned,10,0.919,0.072
frag0p5,ocs_eps_large_small,10,1.692,0.110
frag0p5,ocs_eps_preset_greedy,10,1.478,0.126
frag0p5,pure_ocs_3hop_preset,10,1.145,0.065
frag0p7,ocs_eps_global_ksp,10,1.143,0.075
frag0p7,pure_ocs_ksp,10,1.325,0.054
frag0p7,eps_ecmp,10,0.586,0.051
frag0p7,pure_ocs_ksp_greedy,10,1.203,0.064
frag0p7,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p7,pure_ocs_pruned,10,1.116,0.079
frag0p7,ocs_eps_pruned,10,0.877,0.067
frag0p7,ocs_eps_large_small,10,1.773,0.132
frag0p7,ocs_eps_preset_greedy,10,1.432,0.086
frag0p7,pure_ocs_3hop_preset,10,1.116,0.079
frag0p9,ocs_eps_global_ksp,10,1.131,0.078
frag0p9,pure_ocs_ksp,10,1.297,0.090
frag0p9,eps_ecmp,10,0.592,0.057
frag0p9,pure_ocs_ksp_greedy,10,1.221,0.081
frag0p9,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p9,pure_ocs_pruned,10,1.159,0.079
frag0p9,ocs_eps_pruned,10,0.889,0.055
frag0p9,ocs_eps_large_small,10,1.720,0.109
frag0p9,ocs_eps_preset_greedy,10,1.461,0.102
frag0p9,pure_ocs_3hop_preset,10,1.159,0.079
