case_base,seed,scheduler,avg_relative_cct_vs_dynamic
frag0p1,42,ocs_eps_global_ksp,1.148
frag0p1,42,pure_ocs_ksp,1.198
frag0p1,42,eps_ecmp,0.607
frag0p1,42,pure_ocs_ksp_greedy,0.940
frag0p1,42,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,42,pure_ocs_pruned,1.052
frag0p1,42,ocs_eps_pruned,0.868
frag0p1,42,ocs_eps_large_small,2.052
frag0p1,42,ocs_eps_preset_greedy,1.214
frag0p1,42,pure_ocs_3hop_preset,1.052
frag0p1,43,ocs_eps_global_ksp,1.055
frag0p1,43,pure_ocs_ksp,1.107
frag0p1,43,eps_ecmp,0.729
frag0p1,43,pure_ocs_ksp_greedy,1.295
frag0p1,43,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,43,pure_ocs_pruned,1.221
frag0p1,43,ocs_eps_pruned,1.036
frag0p1,43,ocs_eps_large_small,1.684
frag0p1,43,ocs_eps_preset_greedy,1.244
frag0p1,43,pure_ocs_3hop_preset,1.221
frag0p1,44,ocs_eps_global_ksp,1.052
frag0p1,44,pure_ocs_ksp,1.059
frag0p1,44,eps_ecmp,0.638
frag0p1,44,pure_ocs_ksp_greedy,1.106
frag0p1,44,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,44,pure_ocs_pruned,1.182
frag0p1,44,ocs_eps_pruned,0.759
frag0p1,44,ocs_eps_large_small,1.408
frag0p1,44,ocs_eps_preset_greedy,1.079
frag0p1,44,pure_ocs_3hop_preset,1.182
frag0p1,45,ocs_eps_global_ksp,1.448
frag0p1,45,pure_ocs_ksp,1.197
frag0p1,45,eps_ecmp,0.876
frag0p1,45,pure_ocs_ksp_greedy,1.010
frag0p1,45,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,45,pure_ocs_pruned,1.123
frag0p1,45,ocs_eps_pruned,1.142
frag0p1,45,ocs_eps_large_small,1.124
frag0p1,45,ocs_eps_preset_greedy,1.525
frag0p1,45,pure_ocs_3hop_preset,1.123
frag0p1,46,ocs_eps_global_ksp,0.896
frag0p1,46,pure_ocs_ksp,0.914
frag0p1,46,eps_ecmp,0.562
frag0p1,46,pure_ocs_ksp_greedy,0.802
frag0p1,46,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,46,pure_ocs_pruned,0.895
frag0p1,46,ocs_eps_pruned,0.890
frag0p1,46,ocs_eps_large_small,1.010
frag0p1,46,ocs_eps_preset_greedy,0.947
frag0p1,46,pure_ocs_3hop_preset,0.895
frag0p1,47,ocs_eps_global_ksp,1.212
frag0p1,47,pure_ocs_ksp,1.226
frag0p1,47,eps_ecmp,0.591
frag0p1,47,pure_ocs_ksp_greedy,1.581
frag0p1,47,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,47,pure_ocs_pruned,1.197
frag0p1,47,ocs_eps_pruned,1.059
frag0p1,47,ocs_eps_large_small,1.717
frag0p1,47,ocs_eps_preset_greedy,1.181
frag0p1,47,pure_ocs_3hop_preset,1.197
frag0p1,48,ocs_eps_global_ksp,0.926
frag0p1,48,pure_ocs_ksp,1.176
frag0p1,48,eps_ecmp,0.761
frag0p1,48,pure_ocs_ksp_greedy,1.349
frag0p1,48,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,48,pure_ocs_pruned,1.235
frag0p1,48,ocs_eps_pruned,1.080
frag0p1,48,ocs_eps_large_small,1.788
