case_base,seed,scheduler,avg_relative_fct_vs_dynamic
frag0p1,42,ocs_eps_global_ksp,2.241
frag0p1,42,pure_ocs_ksp,1.141
frag0p1,42,eps_ecmp,0.635
frag0p1,42,pure_ocs_ksp_greedy,1.096
frag0p1,42,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,42,pure_ocs_pruned,1.160
frag0p1,42,ocs_eps_pruned,0.959
frag0p1,42,ocs_eps_large_small,2.024
frag0p1,42,ocs_eps_preset_greedy,2.034
frag0p1,42,pure_ocs_3hop_preset,1.160
frag0p1,43,ocs_eps_global_ksp,1.783
frag0p1,43,pure_ocs_ksp,1.352
frag0p1,43,eps_ecmp,0.702
frag0p1,43,pure_ocs_ksp_greedy,1.326
frag0p1,43,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,43,pure_ocs_pruned,1.336
frag0p1,43,ocs_eps_pruned,1.127
frag0p1,43,ocs_eps_large_small,1.957
frag0p1,43,ocs_eps_preset_greedy,1.557
frag0p1,43,pure_ocs_3hop_preset,1.336
frag0p1,44,ocs_eps_global_ksp,2.429
frag0p1,44,pure_ocs_ksp,1.464
frag0p1,44,eps_ecmp,0.673
frag0p1,44,pure_ocs_ksp_greedy,1.310
frag0p1,44,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,44,pure_ocs_pruned,1.395
frag0p1,44,ocs_eps_pruned,1.394
frag0p1,44,ocs_eps_large_small,1.741
frag0p1,44,ocs_eps_preset_greedy,1.957
frag0p1,44,pure_ocs_3hop_preset,1.395
frag0p1,45,ocs_eps_global_ksp,2.013
frag0p1,45,pure_ocs_ksp,1.135
frag0p1,45,eps_ecmp,0.643
frag0p1,45,pure_ocs_ksp_greedy,1.445
frag0p1,45,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,45,pure_ocs_pruned,1.318
frag0p1,45,ocs_eps_pruned,1.439
frag0p1,45,ocs_eps_large_small,1.581
frag0p1,45,ocs_eps_preset_greedy,1.780
frag0p1,45,pure_ocs_3hop_preset,1.318
frag0p1,46,ocs_eps_global_ksp,8.221
frag0p1,46,pure_ocs_ksp,2.090
frag0p1,46,eps_ecmp,0.692
frag0p1,46,pure_ocs_ksp_greedy,1.681
frag0p1,46,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,46,pure_ocs_pruned,1.710
frag0p1,46,ocs_eps_pruned,0.993
frag0p1,46,ocs_eps_large_small,10.081
frag0p1,46,ocs_eps_preset_greedy,4.979
frag0p1,46,pure_ocs_3hop_preset,1.710
frag0p1,47,ocs_eps_global_ksp,1.810
frag0p1,47,pure_ocs_ksp,1.228
frag0p1,47,eps_ecmp,0.685
frag0p1,47,pure_ocs_ksp_greedy,1.573
frag0p1,47,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,47,pure_ocs_pruned,1.112
frag0p1,47,ocs_eps_pruned,1.413
frag0p1,47,ocs_eps_large_small,8.772
frag0p1,47,ocs_eps_preset_greedy,1.816
frag0p1,47,pure_ocs_3hop_preset,1.112
frag0p1,48,ocs_eps_global_ksp,1.819
frag0p1,48,pure_ocs_ksp,1.104
frag0p1,48,eps_ecmp,0.686
frag0p1,48,pure_ocs_ksp_greedy,1.539
frag0p1,48,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,48,pure_ocs_pruned,1.920
frag0p1,48,ocs_eps_pruned,0.928
frag0p1,48,ocs_eps_large_small,2.056
frag0p1,48,ocs_eps_preset_greedy,2.051
frag0p1,48,pure_ocs_3hop_preset,1.920
frag0p1,49,ocs_eps_global_ksp,1.259
frag0p1,49,pure_ocs_ksp,1.169
frag0p1,49,eps_ecmp,0.713
frag0p1,49,pure_ocs_ksp_greedy,1.206
frag0p1,49,ocs_eps_preset_dynamic_greedy,1.000
frag0p1,49,pure_ocs_pruned,2.088
frag0p1,49,ocs_eps_pruned,1.994
frag0p1,49,ocs_eps_large_small,1.253
