case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
frag0p1,ocs_eps_global_ksp,10,2.752,1.894
frag0p1,pure_ocs_ksp,10,1.331,0.280
frag0p1,eps_ecmp,10,0.691,0.034
frag0p1,pure_ocs_ksp_greedy,10,1.399,0.166
frag0p1,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p1,pure_ocs_pruned,10,1.477,0.318
frag0p1,ocs_eps_pruned,10,1.341,0.405
frag0p1,ocs_eps_large_small,10,3.365,3.059
frag0p1,ocs_eps_preset_greedy,10,2.242,0.940
frag0p1,pure_ocs_3hop_preset,10,1.477,0.318
frag0p3,ocs_eps_global_ksp,10,2.601,0.844
frag0p3,pure_ocs_ksp,10,1.415,0.341
frag0p3,eps_ecmp,10,0.669,0.060
frag0p3,pure_ocs_ksp_greedy,10,1.295,0.237
frag0p3,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p3,pure_ocs_pruned,10,1.342,0.315
frag0p3,ocs_eps_pruned,10,1.033,0.173
frag0p3,ocs_eps_large_small,10,2.336,1.289
frag0p3,ocs_eps_preset_greedy,10,2.447,1.059
frag0p3,pure_ocs_3hop_preset,10,1.342,0.315
frag0p5,ocs_eps_global_ksp,10,2.306,0.991
frag0p5,pure_ocs_ksp,10,1.368,0.239
frag0p5,eps_ecmp,10,0.669,0.071
frag0p5,pure_ocs_ksp_greedy,10,1.152,0.086
frag0p5,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p5,pure_ocs_pruned,10,1.118,0.129
frag0p5,ocs_eps_pruned,10,1.028,0.184
frag0p5,ocs_eps_large_small,10,5.646,8.769
frag0p5,ocs_eps_preset_greedy,10,3.197,3.032
frag0p5,pure_ocs_3hop_preset,10,1.118,0.129
frag0p7,ocs_eps_global_ksp,10,1.886,0.660
frag0p7,pure_ocs_ksp,10,1.285,0.108
frag0p7,eps_ecmp,10,0.663,0.075
frag0p7,pure_ocs_ksp_greedy,10,1.152,0.056
frag0p7,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p7,pure_ocs_pruned,10,2.218,2.957
frag0p7,ocs_eps_pruned,10,0.929,0.119
frag0p7,ocs_eps_large_small,10,5.359,8.047
frag0p7,ocs_eps_preset_greedy,10,2.188,0.578
frag0p7,pure_ocs_3hop_preset,10,2.218,2.957
frag0p9,ocs_eps_global_ksp,10,1.950,0.638
frag0p9,pure_ocs_ksp,10,1.345,0.276
frag0p9,eps_ecmp,10,0.675,0.061
frag0p9,pure_ocs_ksp_greedy,10,1.272,0.243
frag0p9,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p9,pure_ocs_pruned,10,1.172,0.210
frag0p9,ocs_eps_pruned,10,0.871,0.083
frag0p9,ocs_eps_large_small,10,1.347,0.441
frag0p9,ocs_eps_preset_greedy,10,4.082,5.802
frag0p9,pure_ocs_3hop_preset,10,1.172,0.210
