case_base,seed,scheduler,avg_solve_time_ms
frag0p1,42,ocs_eps_global_ksp,0.000
frag0p1,42,pure_ocs_ksp,0.000
frag0p1,42,eps_ecmp,0.000
frag0p1,42,pure_ocs_ksp_greedy,0.136
frag0p1,42,ocs_eps_preset_dynamic_greedy,0.485
frag0p1,42,pure_ocs_pruned,0.336
frag0p1,42,ocs_eps_pruned,1.308
frag0p1,42,ocs_eps_large_small,0.000
frag0p1,42,ocs_eps_preset_greedy,0.128
frag0p1,42,pure_ocs_3hop_preset,0.268
frag0p1,43,ocs_eps_global_ksp,0.000
frag0p1,43,pure_ocs_ksp,0.000
frag0p1,43,eps_ecmp,0.000
frag0p1,43,pure_ocs_ksp_greedy,0.096
frag0p1,43,ocs_eps_preset_dynamic_greedy,0.269
frag0p1,43,pure_ocs_pruned,0.229
frag0p1,43,ocs_eps_pruned,0.290
frag0p1,43,ocs_eps_large_small,0.000
frag0p1,43,ocs_eps_preset_greedy,0.275
frag0p1,43,pure_ocs_3hop_preset,0.862
frag0p1,44,ocs_eps_global_ksp,0.000
frag0p1,44,pure_ocs_ksp,0.000
frag0p1,44,eps_ecmp,0.000
frag0p1,44,pure_ocs_ksp_greedy,0.142
frag0p1,44,ocs_eps_preset_dynamic_greedy,0.211
frag0p1,44,pure_ocs_pruned,0.497
frag0p1,44,ocs_eps_pruned,0.317
frag0p1,44,ocs_eps_large_small,0.000
frag0p1,44,ocs_eps_preset_greedy,0.115
frag0p1,44,pure_ocs_3hop_preset,0.227
frag0p1,45,ocs_eps_global_ksp,0.000
frag0p1,45,pure_ocs_ksp,0.000
frag0p1,45,eps_ecmp,0.000
frag0p1,45,pure_ocs_ksp_greedy,0.139
frag0p1,45,ocs_eps_preset_dynamic_greedy,0.212
frag0p1,45,pure_ocs_pruned,2.638
frag0p1,45,ocs_eps_pruned,0.291
frag0p1,45,ocs_eps_large_small,0.000
frag0p1,45,ocs_eps_preset_greedy,0.138
frag0p1,45,pure_ocs_3hop_preset,0.356
frag0p1,46,ocs_eps_global_ksp,0.000
frag0p1,46,pure_ocs_ksp,0.000
frag0p1,46,eps_ecmp,0.000
frag0p1,46,pure_ocs_ksp_greedy,0.150
frag0p1,46,ocs_eps_preset_dynamic_greedy,0.253
frag0p1,46,pure_ocs_pruned,0.298
frag0p1,46,ocs_eps_pruned,0.353
frag0p1,46,ocs_eps_large_small,0.000
frag0p1,46,ocs_eps_preset_greedy,0.292
frag0p1,46,pure_ocs_3hop_preset,2.564
frag0p1,47,ocs_eps_global_ksp,0.000
frag0p1,47,pure_ocs_ksp,0.000
frag0p1,47,eps_ecmp,0.000
frag0p1,47,pure_ocs_ksp_greedy,0.132
frag0p1,47,ocs_eps_preset_dynamic_greedy,0.202
frag0p1,47,pure_ocs_pruned,2.499
frag0p1,47,ocs_eps_pruned,0.524
frag0p1,47,ocs_eps_large_small,0.000
frag0p1,47,ocs_eps_preset_greedy,0.166
frag0p1,47,pure_ocs_3hop_preset,0.537
frag0p1,48,ocs_eps_global_ksp,0.000
frag0p1,48,pure_ocs_ksp,0.000
frag0p1,48,eps_ecmp,0.000
frag0p1,48,pure_ocs_ksp_greedy,0.121
frag0p1,48,ocs_eps_preset_dynamic_greedy,0.244
frag0p1,48,pure_ocs_pruned,0.236
frag0p1,48,ocs_eps_pruned,0.291
frag0p1,48,ocs_eps_large_small,0.000
frag0p1,48,ocs_eps_preset_greedy,0.123
frag0p1,48,pure_ocs_3hop_preset,0.282
frag0p1,49,ocs_eps_global_ksp,0.000
frag0p1,49,pure_ocs_ksp,0.000
frag0p1,49,eps_ecmp,0.000
frag0p1,49,pure_ocs_ksp_greedy,0.137
frag0p1,49,ocs_eps_preset_dynamic_greedy,0.213
frag0p1,49,pure_ocs_pruned,0.185
frag0p1,49,ocs_eps_pruned,0.313
frag0p1,49,ocs_eps_large_small,0.000
frag0p1,49,ocs_eps_preset_greedy,0.125
frag0p1,49,pure_ocs_3hop_preset,0.245
frag0p1,50,ocs_eps_global_ksp,0.000
frag0p1,50,pure_ocs_ksp,0.000
frag0p1,50,eps_ecmp,0.000
frag0p1,50,pure_ocs_ksp_greedy,0.143
frag0p1,50,ocs_eps_preset_dynamic_greedy,0.227
frag0p1,50,pure_ocs_pruned,0.325
frag0p1,50,ocs_eps_pruned,0.324
frag0p1,50,ocs_eps_large_small,0.000
frag0p1,50,ocs_eps_preset_greedy,0.138
frag0p1,50,pure_ocs_3hop_preset,0.259
frag0p1,51,ocs_eps_global_ksp,0.000
frag0p1,51,pure_ocs_ksp,0.000
frag0p1,51,eps_ecmp,0.000
frag0p1,51,pure_ocs_ksp_greedy,0.136
frag0p1,51,ocs_eps_preset_dynamic_greedy,0.207
frag0p1,51,pure_ocs_pruned,0.546
frag0p1,51,ocs_eps_pruned,0.329
frag0p1,51,ocs_eps_large_small,0.000
frag0p1,51,ocs_eps_preset_greedy,0.124
frag0p1,51,pure_ocs_3hop_preset,0.646
frag0p3,42,ocs_eps_global_ksp,0.000
frag0p3,42,pure_ocs_ksp,0.000
frag0p3,42,eps_ecmp,0.000
frag0p3,42,pure_ocs_ksp_greedy,0.101
frag0p3,42,ocs_eps_preset_dynamic_greedy,0.253
frag0p3,42,pure_ocs_pruned,0.378
frag0p3,42,ocs_eps_pruned,0.348
frag0p3,42,ocs_eps_large_small,0.000
frag0p3,42,ocs_eps_preset_greedy,0.128
frag0p3,42,pure_ocs_3hop_preset,0.806
frag0p3,43,ocs_eps_global_ksp,0.000
frag0p3,43,pure_ocs_ksp,0.000
frag0p3,43,eps_ecmp,0.000
frag0p3,43,pure_ocs_ksp_greedy,0.162
frag0p3,43,ocs_eps_preset_dynamic_greedy,0.366
frag0p3,43,pure_ocs_pruned,1.062
frag0p3,43,ocs_eps_pruned,0.339
frag0p3,43,ocs_eps_large_small,0.000
frag0p3,43,ocs_eps_preset_greedy,0.176
frag0p3,43,pure_ocs_3hop_preset,0.246
frag0p3,44,ocs_eps_global_ksp,0.000
frag0p3,44,pure_ocs_ksp,0.000
frag0p3,44,eps_ecmp,0.000
frag0p3,44,pure_ocs_ksp_greedy,0.116
frag0p3,44,ocs_eps_preset_dynamic_greedy,0.502
frag0p3,44,pure_ocs_pruned,0.257
frag0p3,44,ocs_eps_pruned,0.342
frag0p3,44,ocs_eps_large_small,0.000
frag0p3,44,ocs_eps_preset_greedy,0.161
frag0p3,44,pure_ocs_3hop_preset,0.628
frag0p3,45,ocs_eps_global_ksp,0.000
frag0p3,45,pure_ocs_ksp,0.000
frag0p3,45,eps_ecmp,0.000
frag0p3,45,pure_ocs_ksp_greedy,0.147
frag0p3,45,ocs_eps_preset_dynamic_greedy,0.378
frag0p3,45,pure_ocs_pruned,0.275
frag0p3,45,ocs_eps_pruned,0.328
frag0p3,45,ocs_eps_large_small,0.000
frag0p3,45,ocs_eps_preset_greedy,0.172
frag0p3,45,pure_ocs_3hop_preset,0.249
frag0p3,46,ocs_eps_global_ksp,0.000
frag0p3,46,pure_ocs_ksp,0.000
frag0p3,46,eps_ecmp,0.000
frag0p3,46,pure_ocs_ksp_greedy,0.130
frag0p3,46,ocs_eps_preset_dynamic_greedy,0.518
frag0p3,46,pure_ocs_pruned,0.217
frag0p3,46,ocs_eps_pruned,0.310
frag0p3,46,ocs_eps_large_small,0.000
frag0p3,46,ocs_eps_preset_greedy,0.136
frag0p3,46,pure_ocs_3hop_preset,0.350
frag0p3,47,ocs_eps_global_ksp,0.000
frag0p3,47,pure_ocs_ksp,0.000
frag0p3,47,eps_ecmp,0.000
frag0p3,47,pure_ocs_ksp_greedy,0.156
frag0p3,47,ocs_eps_preset_dynamic_greedy,0.236
frag0p3,47,pure_ocs_pruned,0.303
frag0p3,47,ocs_eps_pruned,0.329
frag0p3,47,ocs_eps_large_small,0.000
frag0p3,47,ocs_eps_preset_greedy,0.362
frag0p3,47,pure_ocs_3hop_preset,0.244
frag0p3,48,ocs_eps_global_ksp,0.000
frag0p3,48,pure_ocs_ksp,0.000
frag0p3,48,eps_ecmp,0.000
frag0p3,48,pure_ocs_ksp_greedy,0.159
frag0p3,48,ocs_eps_preset_dynamic_greedy,0.379
frag0p3,48,pure_ocs_pruned,2.389
frag0p3,48,ocs_eps_pruned,0.690
frag0p3,48,ocs_eps_large_small,0.000
frag0p3,48,ocs_eps_preset_greedy,0.145
frag0p3,48,pure_ocs_3hop_preset,0.302
frag0p3,49,ocs_eps_global_ksp,0.000
frag0p3,49,pure_ocs_ksp,0.000
frag0p3,49,eps_ecmp,0.000
frag0p3,49,pure_ocs_ksp_greedy,0.112
frag0p3,49,ocs_eps_preset_dynamic_greedy,0.214
frag0p3,49,pure_ocs_pruned,0.272
frag0p3,49,ocs_eps_pruned,0.346
frag0p3,49,ocs_eps_large_small,0.000
frag0p3,49,ocs_eps_preset_greedy,0.146
frag0p3,49,pure_ocs_3hop_preset,0.235
frag0p3,50,ocs_eps_global_ksp,0.000
frag0p3,50,pure_ocs_ksp,0.000
frag0p3,50,eps_ecmp,0.000
frag0p3,50,pure_ocs_ksp_greedy,0.135
frag0p3,50,ocs_eps_preset_dynamic_greedy,0.474
frag0p3,50,pure_ocs_pruned,0.249
frag0p3,50,ocs_eps_pruned,0.359
frag0p3,50,ocs_eps_large_small,0.000
frag0p3,50,ocs_eps_preset_greedy,0.170
frag0p3,50,pure_ocs_3hop_preset,0.308
frag0p3,51,ocs_eps_global_ksp,0.000
frag0p3,51,pure_ocs_ksp,0.000
frag0p3,51,eps_ecmp,0.000
frag0p3,51,pure_ocs_ksp_greedy,0.148
frag0p3,51,ocs_eps_preset_dynamic_greedy,0.526
frag0p3,51,pure_ocs_pruned,0.349
