case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
frag0p1,ocs_eps_global_ksp,10,0.000,0.000
frag0p1,pure_ocs_ksp,10,0.000,0.000
frag0p1,eps_ecmp,10,0.000,0.000
frag0p1,pure_ocs_ksp_greedy,10,0.133,0.014
frag0p1,ocs_eps_preset_dynamic_greedy,10,0.252,0.080
frag0p1,pure_ocs_pruned,10,0.779,0.902
frag0p1,ocs_eps_pruned,10,0.434,0.299
frag0p1,ocs_eps_large_small,10,0.000,0.000
frag0p1,ocs_eps_preset_greedy,10,0.162,0.062
frag0p1,pure_ocs_3hop_preset,10,0.624,0.677
frag0p3,ocs_eps_global_ksp,10,0.000,0.000
frag0p3,pure_ocs_ksp,10,0.000,0.000
frag0p3,eps_ecmp,10,0.000,0.000
frag0p3,pure_ocs_ksp_greedy,10,0.136,0.020
frag0p3,ocs_eps_preset_dynamic_greedy,10,0.385,0.113
frag0p3,pure_ocs_pruned,10,0.575,0.649
frag0p3,ocs_eps_pruned,10,0.376,0.106
frag0p3,ocs_eps_large_small,10,0.000,0.000
frag0p3,ocs_eps_preset_greedy,10,0.175,0.064
frag0p3,pure_ocs_3hop_preset,10,0.382,0.183
frag0p5,ocs_eps_global_ksp,10,0.000,0.000
frag0p5,pure_ocs_ksp,10,0.000,0.000
frag0p5,eps_ecmp,10,0.000,0.000
frag0p5,pure_ocs_ksp_greedy,10,0.155,0.036
frag0p5,ocs_eps_preset_dynamic_greedy,10,0.243,0.066
frag0p5,pure_ocs_pruned,10,0.478,0.343
frag0p5,ocs_eps_pruned,10,0.356,0.126
frag0p5,ocs_eps_large_small,10,0.000,0.000
frag0p5,ocs_eps_preset_greedy,10,0.156,0.027
frag0p5,pure_ocs_3hop_preset,10,0.360,0.192
frag0p7,ocs_eps_global_ksp,10,0.000,0.000
frag0p7,pure_ocs_ksp,10,0.000,0.000
frag0p7,eps_ecmp,10,0.000,0.000
frag0p7,pure_ocs_ksp_greedy,10,0.137,0.048
frag0p7,ocs_eps_preset_dynamic_greedy,10,0.232,0.026
frag0p7,pure_ocs_pruned,10,0.314,0.052
frag0p7,ocs_eps_pruned,10,0.310,0.154
frag0p7,ocs_eps_large_small,10,0.000,0.000
frag0p7,ocs_eps_preset_greedy,10,0.151,0.009
frag0p7,pure_ocs_3hop_preset,10,0.318,0.133
frag0p9,ocs_eps_global_ksp,10,0.000,0.000
frag0p9,pure_ocs_ksp,10,0.000,0.000
frag0p9,eps_ecmp,10,0.000,0.000
frag0p9,pure_ocs_ksp_greedy,10,0.132,0.045
frag0p9,ocs_eps_preset_dynamic_greedy,10,0.243,0.110
frag0p9,pure_ocs_pruned,10,0.345,0.143
frag0p9,ocs_eps_pruned,10,0.289,0.069
frag0p9,ocs_eps_large_small,10,0.000,0.000
frag0p9,ocs_eps_preset_greedy,10,0.136,0.027
frag0p9,pure_ocs_3hop_preset,10,0.246,0.057
