case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
mix3L2M1S_seed42,42,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed43,43,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed44,44,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed45,45,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed46,46,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed47,47,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed48,48,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed49,49,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed50,50,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix3L2M1S_seed51,51,3L,2M,1S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed42,42,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed43,43,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed44,44,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed45,45,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed46,46,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed47,47,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed48,48,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed49,49,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed50,50,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix5L_seed51,51,5L,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed42,42,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed43,43,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed44,44,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed45,45,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed46,46,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed47,47,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed48,48,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed49,49,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed50,50,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
mix10S_seed51,51,10S,0.5,0.5,40,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,failed,
