scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007261,96
eps_ecmp,1000.000000,0.007227,64
eps_ecmp,10000.000000,0.073033,24
eps_ecmp,20000.000000,0.126029,160
eps_ecmp,30000.000000,0.181677,56
eps_ecmp,100000.000000,0.775954,256
eps_ecmp,200000.000000,1.419442,392
eps_ecmp,300000.000000,2.188770,552
eps_ecmp,400000.000000,2.764046,680
eps_ecmp,800000.000000,23.597046,2072
eps_ecmp,1000000.000000,29.819743,1040
eps_ecmp,2000000.000000,54.832224,3416
eps_ecmp,3000000.000000,64.153824,2528
eps_ecmp,10000000.000000,98.040450,4168
eps_ecmp,20000000.000000,119.457019,2840
eps_ecmp,30000000.000000,156.215981,1456
eps_ecmp,100000000.000000,237.365881,680
ocs_eps_global_ksp,100.000000,0.014698,96
ocs_eps_global_ksp,1000.000000,0.012744,64
ocs_eps_global_ksp,10000.000000,0.162972,24
ocs_eps_global_ksp,20000.000000,0.219395,160
ocs_eps_global_ksp,30000.000000,0.342865,56
ocs_eps_global_ksp,100000.000000,1.057284,256
ocs_eps_global_ksp,200000.000000,2.067171,392
ocs_eps_global_ksp,300000.000000,19.461873,552
ocs_eps_global_ksp,400000.000000,18.227837,680
ocs_eps_global_ksp,800000.000000,51.507264,2072
ocs_eps_global_ksp,1000000.000000,62.160302,1040
ocs_eps_global_ksp,2000000.000000,80.630051,3416
ocs_eps_global_ksp,3000000.000000,101.019064,2528
ocs_eps_global_ksp,10000000.000000,215.558503,4168
ocs_eps_global_ksp,20000000.000000,306.609798,2840
ocs_eps_global_ksp,30000000.000000,369.034957,1456
ocs_eps_global_ksp,100000000.000000,631.157860,680
ocs_eps_large_small,100.000000,0.018238,96
ocs_eps_large_small,1000.000000,0.011333,64
ocs_eps_large_small,10000.000000,0.187473,24
ocs_eps_large_small,20000.000000,0.175706,160
ocs_eps_large_small,30000.000000,0.374486,56
ocs_eps_large_small,100000.000000,0.869897,256
ocs_eps_large_small,200000.000000,1.453236,392
ocs_eps_large_small,300000.000000,2.588745,552
ocs_eps_large_small,400000.000000,7.523563,680
ocs_eps_large_small,800000.000000,32.708500,2072
ocs_eps_large_small,1000000.000000,47.992760,1040
ocs_eps_large_small,2000000.000000,63.398771,3416
ocs_eps_large_small,3000000.000000,71.890487,2528
ocs_eps_large_small,10000000.000000,173.693696,4168
ocs_eps_large_small,20000000.000000,478.764175,2840
ocs_eps_large_small,30000000.000000,630.081321,1456
ocs_eps_large_small,100000000.000000,1095.169129,680
ocs_eps_preset_dynamic_greedy,100.000000,0.013853,96
ocs_eps_preset_dynamic_greedy,1000.000000,0.022234,64
ocs_eps_preset_dynamic_greedy,10000.000000,0.178049,24
ocs_eps_preset_dynamic_greedy,20000.000000,0.169226,160
ocs_eps_preset_dynamic_greedy,30000.000000,0.455506,56
ocs_eps_preset_dynamic_greedy,100000.000000,0.980484,256
ocs_eps_preset_dynamic_greedy,200000.000000,1.521730,392
ocs_eps_preset_dynamic_greedy,300000.000000,3.375167,552
ocs_eps_preset_dynamic_greedy,400000.000000,5.743374,680
ocs_eps_preset_dynamic_greedy,800000.000000,29.696416,2072
ocs_eps_preset_dynamic_greedy,1000000.000000,49.023910,1040
ocs_eps_preset_dynamic_greedy,2000000.000000,67.126930,3416
ocs_eps_preset_dynamic_greedy,3000000.000000,87.871372,2528
ocs_eps_preset_dynamic_greedy,10000000.000000,204.438733,4168
ocs_eps_preset_dynamic_greedy,20000000.000000,277.300698,2840
ocs_eps_preset_dynamic_greedy,30000000.000000,354.553043,1456
ocs_eps_preset_dynamic_greedy,100000000.000000,549.860594,680
ocs_eps_preset_greedy,100.000000,0.026337,96
ocs_eps_preset_greedy,1000.000000,0.026405,64
ocs_eps_preset_greedy,10000.000000,0.390865,24
ocs_eps_preset_greedy,20000.000000,0.287471,160
ocs_eps_preset_greedy,30000.000000,0.637687,56
ocs_eps_preset_greedy,100000.000000,1.580188,256
ocs_eps_preset_greedy,200000.000000,2.463383,392
ocs_eps_preset_greedy,300000.000000,23.636267,552
ocs_eps_preset_greedy,400000.000000,28.955882,680
ocs_eps_preset_greedy,800000.000000,63.397975,2072
ocs_eps_preset_greedy,1000000.000000,66.668390,1040
ocs_eps_preset_greedy,2000000.000000,100.558684,3416
ocs_eps_preset_greedy,3000000.000000,140.570062,2528
ocs_eps_preset_greedy,10000000.000000,339.767096,4168
ocs_eps_preset_greedy,20000000.000000,431.039874,2840
ocs_eps_preset_greedy,30000000.000000,472.037386,1456
ocs_eps_preset_greedy,100000000.000000,650.530088,680
ocs_eps_pruned,100.000000,0.010948,96
ocs_eps_pruned,1000.000000,0.013468,64
ocs_eps_pruned,10000.000000,0.136363,24
ocs_eps_pruned,20000.000000,0.186213,160
ocs_eps_pruned,30000.000000,0.199778,56
ocs_eps_pruned,100000.000000,0.916399,256
ocs_eps_pruned,200000.000000,1.677224,392
ocs_eps_pruned,300000.000000,3.214843,552
ocs_eps_pruned,400000.000000,8.905620,680
ocs_eps_pruned,800000.000000,34.640982,2072
ocs_eps_pruned,1000000.000000,44.083883,1040
ocs_eps_pruned,2000000.000000,66.273325,3416
ocs_eps_pruned,3000000.000000,73.902032,2528
ocs_eps_pruned,10000000.000000,151.749413,4168
ocs_eps_pruned,20000000.000000,199.756090,2840
ocs_eps_pruned,30000000.000000,248.569895,1456
ocs_eps_pruned,100000000.000000,407.960906,680
pure_ocs_3hop_preset,100.000000,0.021312,96
pure_ocs_3hop_preset,1000.000000,0.010257,64
pure_ocs_3hop_preset,10000.000000,0.144996,24
pure_ocs_3hop_preset,20000.000000,0.186893,160
pure_ocs_3hop_preset,30000.000000,0.264702,56
pure_ocs_3hop_preset,100000.000000,1.066971,256
pure_ocs_3hop_preset,200000.000000,1.816861,392
pure_ocs_3hop_preset,300000.000000,18.969979,552
pure_ocs_3hop_preset,400000.000000,12.896809,680
pure_ocs_3hop_preset,800000.000000,50.155896,2072
pure_ocs_3hop_preset,1000000.000000,60.357419,1040
pure_ocs_3hop_preset,2000000.000000,82.905455,3416
pure_ocs_3hop_preset,3000000.000000,109.494254,2528
pure_ocs_3hop_preset,10000000.000000,223.458273,4168
pure_ocs_3hop_preset,20000000.000000,324.798821,2840
pure_ocs_3hop_preset,30000000.000000,387.670730,1456
pure_ocs_3hop_preset,100000000.000000,630.781125,680
pure_ocs_ksp,100.000000,0.023919,96
pure_ocs_ksp,1000.000000,0.024023,64
pure_ocs_ksp,10000.000000,0.117924,24
pure_ocs_ksp,20000.000000,0.211670,160
pure_ocs_ksp,30000.000000,0.323755,56
pure_ocs_ksp,100000.000000,1.056337,256
pure_ocs_ksp,200000.000000,1.683114,392
pure_ocs_ksp,300000.000000,3.771533,552
pure_ocs_ksp,400000.000000,4.592224,680
pure_ocs_ksp,800000.000000,28.496954,2072
