seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.088
42,pure_ocs_ksp,1.232
42,eps_ecmp,0.571
42,pure_ocs_ksp_greedy,1.103
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.271
42,ocs_eps_pruned,0.865
42,ocs_eps_large_small,1.648
42,ocs_eps_preset_greedy,1.457
42,pure_ocs_3hop_preset,1.271
43,ocs_eps_global_ksp,1.118
43,pure_ocs_ksp,1.364
43,eps_ecmp,0.572
43,pure_ocs_ksp_greedy,1.190
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.193
43,ocs_eps_pruned,0.901
43,ocs_eps_large_small,1.633
43,ocs_eps_preset_greedy,1.540
43,pure_ocs_3hop_preset,1.193
44,ocs_eps_global_ksp,1.102
44,pure_ocs_ksp,1.320
44,eps_ecmp,0.545
44,pure_ocs_ksp_greedy,1.183
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.225
44,ocs_eps_pruned,0.821
44,ocs_eps_large_small,1.809
44,ocs_eps_preset_greedy,1.444
44,pure_ocs_3hop_preset,1.225
45,ocs_eps_global_ksp,1.038
45,pure_ocs_ksp,1.172
45,eps_ecmp,0.511
45,pure_ocs_ksp_greedy,1.170
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.104
45,ocs_eps_pruned,0.951
45,ocs_eps_large_small,1.647
45,ocs_eps_preset_greedy,1.398
45,pure_ocs_3hop_preset,1.104
46,ocs_eps_global_ksp,0.975
46,pure_ocs_ksp,1.234
46,eps_ecmp,0.519
46,pure_ocs_ksp_greedy,1.154
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.110
46,ocs_eps_pruned,0.873
46,ocs_eps_large_small,1.610
46,ocs_eps_preset_greedy,1.411
46,pure_ocs_3hop_preset,1.110
47,ocs_eps_global_ksp,1.018
47,pure_ocs_ksp,1.123
47,eps_ecmp,0.528
47,pure_ocs_ksp_greedy,1.134
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.035
47,ocs_eps_pruned,0.786
47,ocs_eps_large_small,1.622
47,ocs_eps_preset_greedy,1.354
47,pure_ocs_3hop_preset,1.035
48,ocs_eps_global_ksp,1.046
48,pure_ocs_ksp,1.203
48,eps_ecmp,0.438
48,pure_ocs_ksp_greedy,1.185
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.164
48,ocs_eps_pruned,0.763
48,ocs_eps_large_small,1.668
48,ocs_eps_preset_greedy,1.384
48,pure_ocs_3hop_preset,1.164
49,ocs_eps_global_ksp,1.035
49,pure_ocs_ksp,1.202
49,eps_ecmp,0.495
49,pure_ocs_ksp_greedy,1.143
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.148
49,ocs_eps_pruned,0.797
49,ocs_eps_large_small,1.718
49,ocs_eps_preset_greedy,1.453
49,pure_ocs_3hop_preset,1.148
50,ocs_eps_global_ksp,0.914
50,pure_ocs_ksp,1.114
50,eps_ecmp,0.469
50,pure_ocs_ksp_greedy,1.032
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,0.957
50,ocs_eps_pruned,0.762
50,ocs_eps_large_small,1.448
50,ocs_eps_preset_greedy,1.206
50,pure_ocs_3hop_preset,0.957
51,ocs_eps_global_ksp,1.036
51,pure_ocs_ksp,1.201
51,eps_ecmp,0.554
51,pure_ocs_ksp_greedy,1.083
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.033
51,ocs_eps_pruned,0.851
51,ocs_eps_large_small,1.610
51,ocs_eps_preset_greedy,1.350
51,pure_ocs_3hop_preset,1.033
