scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.0,4339.031,1.557,4339.031,1.557,48,0
pure_ocs_ksp,100.0,4626.250,1.660,4626.250,1.660,48,0
eps_ecmp,100.0,1771.451,0.636,1771.451,0.636,48,0
ocs_eps_large_small,100.0,6617.816,2.375,6617.816,2.375,48,0
pure_ocs_ksp_greedy,100.0,4153.714,1.491,4153.714,1.491,48,0
ocs_eps_preset_greedy,100.0,4450.578,1.597,4450.578,1.597,48,0
ocs_eps_preset_dynamic_greedy,100.0,2786.235,1.000,2786.235,1.000,48,0
pure_ocs_3hop_preset,100.0,4773.616,1.713,4773.616,1.713,48,0
pure_ocs_pruned,100.0,4773.616,1.713,4773.616,1.713,48,0
ocs_eps_pruned,100.0,3296.663,1.183,3296.663,1.183,48,0
