seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.161
42,ocs_eps_preset_dynamic_greedy,0.274
42,pure_ocs_pruned,0.281
42,ocs_eps_pruned,0.315
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.151
42,pure_ocs_3hop_preset,0.652
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.120
43,ocs_eps_preset_dynamic_greedy,0.271
43,pure_ocs_pruned,0.319
43,ocs_eps_pruned,0.406
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.205
43,pure_ocs_3hop_preset,0.365
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.163
44,ocs_eps_preset_dynamic_greedy,0.252
44,pure_ocs_pruned,0.371
44,ocs_eps_pruned,0.356
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.162
44,pure_ocs_3hop_preset,0.400
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.163
45,ocs_eps_preset_dynamic_greedy,0.205
45,pure_ocs_pruned,0.275
45,ocs_eps_pruned,0.387
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,2.102
45,pure_ocs_3hop_preset,0.310
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.160
46,ocs_eps_preset_dynamic_greedy,0.303
46,pure_ocs_pruned,0.248
46,ocs_eps_pruned,0.366
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.163
46,pure_ocs_3hop_preset,0.309
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.137
47,ocs_eps_preset_dynamic_greedy,0.270
47,pure_ocs_pruned,0.554
47,ocs_eps_pruned,0.362
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.169
47,pure_ocs_3hop_preset,0.324
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.108
48,ocs_eps_preset_dynamic_greedy,0.665
48,pure_ocs_pruned,0.302
48,ocs_eps_pruned,0.255
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.154
48,pure_ocs_3hop_preset,0.309
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.178
49,ocs_eps_preset_dynamic_greedy,0.267
49,pure_ocs_pruned,0.309
49,ocs_eps_pruned,0.250
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.141
49,pure_ocs_3hop_preset,0.225
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.120
50,ocs_eps_preset_dynamic_greedy,0.288
50,pure_ocs_pruned,0.273
50,ocs_eps_pruned,0.387
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.148
50,pure_ocs_3hop_preset,0.400
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.112
51,ocs_eps_preset_dynamic_greedy,0.797
51,pure_ocs_pruned,0.295
51,ocs_eps_pruned,1.706
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.173
51,pure_ocs_3hop_preset,0.262
