scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.0,2492.348,1.129,2492.348,1.129,40,0
pure_ocs_ksp,100.0,2838.124,1.286,2838.124,1.286,40,0
eps_ecmp,100.0,1486.332,0.673,1486.332,0.673,40,0
ocs_eps_large_small,100.0,3736.635,1.693,3736.635,1.693,40,0
pure_ocs_ksp_greedy,100.0,2488.341,1.127,2488.341,1.127,40,0
ocs_eps_preset_greedy,100.0,3077.903,1.394,3077.903,1.394,40,0
ocs_eps_preset_dynamic_greedy,100.0,2207.178,1.000,2207.178,1.000,40,0
pure_ocs_3hop_preset,100.0,2526.497,1.145,2526.497,1.145,40,0
pure_ocs_pruned,100.0,2526.497,1.145,2526.497,1.145,40,0
ocs_eps_pruned,100.0,1928.960,0.874,1928.960,0.874,40,0
