scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.005919,72
eps_ecmp,1000.000000,0.006203,64
eps_ecmp,20000.000000,0.124010,184
eps_ecmp,100000.000000,0.789097,344
eps_ecmp,200000.000000,1.464953,368
eps_ecmp,300000.000000,2.073754,480
eps_ecmp,400000.000000,2.854675,704
eps_ecmp,800000.000000,18.387053,2056
eps_ecmp,1000000.000000,30.481423,1320
eps_ecmp,2000000.000000,60.054726,3464
eps_ecmp,3000000.000000,76.178752,2352
eps_ecmp,10000000.000000,108.262516,4136
eps_ecmp,20000000.000000,121.422178,2720
eps_ecmp,30000000.000000,151.045797,1432
eps_ecmp,100000000.000000,219.122608,760
ocs_eps_global_ksp,100.000000,0.013391,72
ocs_eps_global_ksp,1000.000000,0.024907,64
ocs_eps_global_ksp,20000.000000,0.233316,184
ocs_eps_global_ksp,100000.000000,1.042357,344
ocs_eps_global_ksp,200000.000000,2.046003,368
ocs_eps_global_ksp,300000.000000,18.082142,480
ocs_eps_global_ksp,400000.000000,18.025704,704
ocs_eps_global_ksp,800000.000000,52.082553,2056
ocs_eps_global_ksp,1000000.000000,70.859368,1320
ocs_eps_global_ksp,2000000.000000,102.966370,3464
ocs_eps_global_ksp,3000000.000000,112.094741,2352
ocs_eps_global_ksp,10000000.000000,239.212241,4136
ocs_eps_global_ksp,20000000.000000,305.100977,2720
ocs_eps_global_ksp,30000000.000000,361.176278,1432
ocs_eps_global_ksp,100000000.000000,581.833873,760
ocs_eps_large_small,100.000000,0.009693,72
ocs_eps_large_small,1000.000000,0.010445,64
ocs_eps_large_small,20000.000000,0.175986,184
ocs_eps_large_small,100000.000000,1.184820,344
ocs_eps_large_small,200000.000000,1.710739,368
ocs_eps_large_small,300000.000000,2.410590,480
ocs_eps_large_small,400000.000000,10.980332,704
ocs_eps_large_small,800000.000000,28.447297,2056
ocs_eps_large_small,1000000.000000,37.341098,1320
ocs_eps_large_small,2000000.000000,74.975285,3464
ocs_eps_large_small,3000000.000000,80.102117,2352
ocs_eps_large_small,10000000.000000,159.199421,4136
ocs_eps_large_small,20000000.000000,503.934153,2720
ocs_eps_large_small,30000000.000000,663.956152,1432
ocs_eps_large_small,100000000.000000,1070.532759,760
ocs_eps_preset_dynamic_greedy,100.000000,0.015040,72
ocs_eps_preset_dynamic_greedy,1000.000000,0.018753,64
ocs_eps_preset_dynamic_greedy,20000.000000,0.193512,184
ocs_eps_preset_dynamic_greedy,100000.000000,0.901465,344
ocs_eps_preset_dynamic_greedy,200000.000000,1.790065,368
ocs_eps_preset_dynamic_greedy,300000.000000,2.346014,480
ocs_eps_preset_dynamic_greedy,400000.000000,4.079862,704
ocs_eps_preset_dynamic_greedy,800000.000000,24.058219,2056
ocs_eps_preset_dynamic_greedy,1000000.000000,33.878371,1320
ocs_eps_preset_dynamic_greedy,2000000.000000,77.313939,3464
ocs_eps_preset_dynamic_greedy,3000000.000000,101.791668,2352
ocs_eps_preset_dynamic_greedy,10000000.000000,198.780545,4136
ocs_eps_preset_dynamic_greedy,20000000.000000,273.555552,2720
ocs_eps_preset_dynamic_greedy,30000000.000000,328.357269,1432
ocs_eps_preset_dynamic_greedy,100000000.000000,526.891210,760
ocs_eps_preset_greedy,100.000000,0.033341,72
ocs_eps_preset_greedy,1000.000000,0.032198,64
ocs_eps_preset_greedy,20000.000000,0.279988,184
ocs_eps_preset_greedy,100000.000000,1.420981,344
ocs_eps_preset_greedy,200000.000000,2.321935,368
ocs_eps_preset_greedy,300000.000000,17.398094,480
