seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.129
42,pure_ocs_ksp,1.286
42,eps_ecmp,0.673
42,pure_ocs_ksp_greedy,1.127
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.145
42,ocs_eps_pruned,0.874
42,ocs_eps_large_small,1.693
42,ocs_eps_preset_greedy,1.394
42,pure_ocs_3hop_preset,1.145
43,ocs_eps_global_ksp,1.154
43,pure_ocs_ksp,1.348
43,eps_ecmp,0.659
43,pure_ocs_ksp_greedy,1.259
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.249
43,ocs_eps_pruned,1.078
43,ocs_eps_large_small,1.819
43,ocs_eps_preset_greedy,1.694
43,pure_ocs_3hop_preset,1.249
44,ocs_eps_global_ksp,1.115
44,pure_ocs_ksp,1.155
44,eps_ecmp,0.496
44,pure_ocs_ksp_greedy,1.105
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.059
44,ocs_eps_pruned,0.823
44,ocs_eps_large_small,1.583
44,ocs_eps_preset_greedy,1.436
44,pure_ocs_3hop_preset,1.059
45,ocs_eps_global_ksp,1.156
45,pure_ocs_ksp,1.285
45,eps_ecmp,0.565
45,pure_ocs_ksp_greedy,1.140
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.123
45,ocs_eps_pruned,0.913
45,ocs_eps_large_small,1.753
45,ocs_eps_preset_greedy,1.619
45,pure_ocs_3hop_preset,1.123
46,ocs_eps_global_ksp,1.054
46,pure_ocs_ksp,1.226
46,eps_ecmp,0.593
46,pure_ocs_ksp_greedy,1.123
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.199
46,ocs_eps_pruned,0.894
46,ocs_eps_large_small,1.501
46,ocs_eps_preset_greedy,1.369
46,pure_ocs_3hop_preset,1.199
47,ocs_eps_global_ksp,1.121
47,pure_ocs_ksp,1.394
47,eps_ecmp,0.565
47,pure_ocs_ksp_greedy,1.107
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.063
47,ocs_eps_pruned,0.865
47,ocs_eps_large_small,1.717
47,ocs_eps_preset_greedy,1.376
47,pure_ocs_3hop_preset,1.063
48,ocs_eps_global_ksp,1.062
48,pure_ocs_ksp,1.223
48,eps_ecmp,0.534
48,pure_ocs_ksp_greedy,1.173
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.009
48,ocs_eps_pruned,0.810
48,ocs_eps_large_small,1.782
48,ocs_eps_preset_greedy,1.440
48,pure_ocs_3hop_preset,1.009
49,ocs_eps_global_ksp,1.214
49,pure_ocs_ksp,1.349
49,eps_ecmp,0.653
49,pure_ocs_ksp_greedy,1.223
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.196
49,ocs_eps_pruned,0.972
49,ocs_eps_large_small,1.748
49,ocs_eps_preset_greedy,1.553
49,pure_ocs_3hop_preset,1.196
50,ocs_eps_global_ksp,1.124
50,pure_ocs_ksp,1.332
50,eps_ecmp,0.622
50,pure_ocs_ksp_greedy,1.079
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.047
50,ocs_eps_pruned,0.929
50,ocs_eps_large_small,1.696
50,ocs_eps_preset_greedy,1.470
50,pure_ocs_3hop_preset,1.047
51,ocs_eps_global_ksp,1.035
51,pure_ocs_ksp,1.293
51,eps_ecmp,0.621
51,pure_ocs_ksp_greedy,1.128
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.153
51,ocs_eps_pruned,0.839
51,ocs_eps_large_small,1.734
51,ocs_eps_preset_greedy,1.380
51,pure_ocs_3hop_preset,1.153
