seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.805
42,pure_ocs_ksp,1.807
42,eps_ecmp,0.722
42,pure_ocs_ksp_greedy,1.420
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.766
42,ocs_eps_pruned,1.605
42,ocs_eps_large_small,4.269
42,ocs_eps_preset_greedy,1.953
42,pure_ocs_3hop_preset,1.766
43,ocs_eps_global_ksp,1.686
43,pure_ocs_ksp,1.240
43,eps_ecmp,0.725
43,pure_ocs_ksp_greedy,1.130
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.121
43,ocs_eps_pruned,0.910
43,ocs_eps_large_small,1.305
43,ocs_eps_preset_greedy,1.521
43,pure_ocs_3hop_preset,1.121
44,ocs_eps_global_ksp,2.078
44,pure_ocs_ksp,1.274
44,eps_ecmp,0.660
44,pure_ocs_ksp_greedy,1.145
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.003
44,ocs_eps_pruned,0.932
44,ocs_eps_large_small,1.265
44,ocs_eps_preset_greedy,2.405
44,pure_ocs_3hop_preset,1.003
45,ocs_eps_global_ksp,2.141
45,pure_ocs_ksp,1.843
45,eps_ecmp,0.630
45,pure_ocs_ksp_greedy,1.763
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.627
45,ocs_eps_pruned,1.100
45,ocs_eps_large_small,1.913
45,ocs_eps_preset_greedy,3.185
45,pure_ocs_3hop_preset,1.627
46,ocs_eps_global_ksp,3.188
46,pure_ocs_ksp,1.235
46,eps_ecmp,0.741
46,pure_ocs_ksp_greedy,1.685
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.730
46,ocs_eps_pruned,0.914
46,ocs_eps_large_small,2.395
46,ocs_eps_preset_greedy,2.700
46,pure_ocs_3hop_preset,1.730
47,ocs_eps_global_ksp,2.273
47,pure_ocs_ksp,1.433
47,eps_ecmp,0.712
47,pure_ocs_ksp_greedy,1.367
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.383
47,ocs_eps_pruned,1.427
47,ocs_eps_large_small,2.248
47,ocs_eps_preset_greedy,2.011
47,pure_ocs_3hop_preset,1.383
48,ocs_eps_global_ksp,2.140
48,pure_ocs_ksp,1.416
48,eps_ecmp,0.639
48,pure_ocs_ksp_greedy,1.331
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.135
48,ocs_eps_pruned,12.009
48,ocs_eps_large_small,37.889
48,ocs_eps_preset_greedy,2.636
48,pure_ocs_3hop_preset,1.135
49,ocs_eps_global_ksp,2.776
49,pure_ocs_ksp,1.641
49,eps_ecmp,0.745
49,pure_ocs_ksp_greedy,1.167
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.032
49,ocs_eps_pruned,0.897
49,ocs_eps_large_small,35.992
49,ocs_eps_preset_greedy,2.223
49,pure_ocs_3hop_preset,1.032
50,ocs_eps_global_ksp,1.797
50,pure_ocs_ksp,1.147
50,eps_ecmp,0.690
50,pure_ocs_ksp_greedy,1.056
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.015
50,ocs_eps_pruned,0.844
50,ocs_eps_large_small,7.745
50,ocs_eps_preset_greedy,1.813
50,pure_ocs_3hop_preset,1.015
51,ocs_eps_global_ksp,1.937
51,pure_ocs_ksp,1.413
51,eps_ecmp,0.646
51,pure_ocs_ksp_greedy,1.189
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.249
51,ocs_eps_pruned,0.897
51,ocs_eps_large_small,1.256
51,ocs_eps_preset_greedy,2.243
51,pure_ocs_3hop_preset,1.249
