seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.221
42,ocs_eps_preset_dynamic_greedy,0.328
42,pure_ocs_pruned,0.340
42,ocs_eps_pruned,0.454
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.209
42,pure_ocs_3hop_preset,0.544
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.190
43,ocs_eps_preset_dynamic_greedy,0.384
43,pure_ocs_pruned,1.062
43,ocs_eps_pruned,2.236
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.207
43,pure_ocs_3hop_preset,0.379
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.174
44,ocs_eps_preset_dynamic_greedy,0.349
44,pure_ocs_pruned,0.376
44,ocs_eps_pruned,0.417
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.224
44,pure_ocs_3hop_preset,0.862
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.217
45,ocs_eps_preset_dynamic_greedy,0.391
45,pure_ocs_pruned,0.303
45,ocs_eps_pruned,0.442
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.218
45,pure_ocs_3hop_preset,0.377
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.198
46,ocs_eps_preset_dynamic_greedy,0.549
46,pure_ocs_pruned,1.317
46,ocs_eps_pruned,0.498
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.195
46,pure_ocs_3hop_preset,0.328
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.204
47,ocs_eps_preset_dynamic_greedy,0.300
47,pure_ocs_pruned,0.474
47,ocs_eps_pruned,0.441
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.216
47,pure_ocs_3hop_preset,0.342
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.207
48,ocs_eps_preset_dynamic_greedy,0.338
48,pure_ocs_pruned,0.445
48,ocs_eps_pruned,0.315
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.214
48,pure_ocs_3hop_preset,0.523
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.230
49,ocs_eps_preset_dynamic_greedy,0.472
49,pure_ocs_pruned,0.376
49,ocs_eps_pruned,0.460
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,1.783
49,pure_ocs_3hop_preset,0.344
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.205
50,ocs_eps_preset_dynamic_greedy,5.513
50,pure_ocs_pruned,0.544
50,ocs_eps_pruned,0.463
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.215
50,pure_ocs_3hop_preset,0.517
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.184
51,ocs_eps_preset_dynamic_greedy,0.327
51,pure_ocs_pruned,0.719
51,ocs_eps_pruned,0.457
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.221
51,pure_ocs_3hop_preset,0.506
