case_base,seed,scheduler,avg_relative_cct_vs_dynamic
mix10S,42,ocs_eps_global_ksp,1.088
mix10S,42,pure_ocs_ksp,1.232
mix10S,42,eps_ecmp,0.571
mix10S,42,pure_ocs_ksp_greedy,1.103
mix10S,42,ocs_eps_preset_dynamic_greedy,1.000
mix10S,42,pure_ocs_pruned,1.271
mix10S,42,ocs_eps_pruned,0.865
mix10S,42,ocs_eps_large_small,1.648
mix10S,42,ocs_eps_preset_greedy,1.457
mix10S,42,pure_ocs_3hop_preset,1.271
mix10S,43,ocs_eps_global_ksp,1.118
mix10S,43,pure_ocs_ksp,1.364
mix10S,43,eps_ecmp,0.572
mix10S,43,pure_ocs_ksp_greedy,1.190
mix10S,43,ocs_eps_preset_dynamic_greedy,1.000
mix10S,43,pure_ocs_pruned,1.193
mix10S,43,ocs_eps_pruned,0.901
mix10S,43,ocs_eps_large_small,1.633
mix10S,43,ocs_eps_preset_greedy,1.540
mix10S,43,pure_ocs_3hop_preset,1.193
mix10S,44,ocs_eps_global_ksp,1.102
mix10S,44,pure_ocs_ksp,1.320
mix10S,44,eps_ecmp,0.545
mix10S,44,pure_ocs_ksp_greedy,1.183
mix10S,44,ocs_eps_preset_dynamic_greedy,1.000
mix10S,44,pure_ocs_pruned,1.225
mix10S,44,ocs_eps_pruned,0.821
mix10S,44,ocs_eps_large_small,1.809
mix10S,44,ocs_eps_preset_greedy,1.444
mix10S,44,pure_ocs_3hop_preset,1.225
mix10S,45,ocs_eps_global_ksp,1.038
mix10S,45,pure_ocs_ksp,1.172
mix10S,45,eps_ecmp,0.511
mix10S,45,pure_ocs_ksp_greedy,1.170
mix10S,45,ocs_eps_preset_dynamic_greedy,1.000
mix10S,45,pure_ocs_pruned,1.104
mix10S,45,ocs_eps_pruned,0.951
mix10S,45,ocs_eps_large_small,1.647
mix10S,45,ocs_eps_preset_greedy,1.398
mix10S,45,pure_ocs_3hop_preset,1.104
mix10S,46,ocs_eps_global_ksp,0.975
mix10S,46,pure_ocs_ksp,1.234
mix10S,46,eps_ecmp,0.519
mix10S,46,pure_ocs_ksp_greedy,1.154
mix10S,46,ocs_eps_preset_dynamic_greedy,1.000
mix10S,46,pure_ocs_pruned,1.110
mix10S,46,ocs_eps_pruned,0.873
mix10S,46,ocs_eps_large_small,1.610
mix10S,46,ocs_eps_preset_greedy,1.411
mix10S,46,pure_ocs_3hop_preset,1.110
mix10S,47,ocs_eps_global_ksp,1.018
mix10S,47,pure_ocs_ksp,1.123
mix10S,47,eps_ecmp,0.528
mix10S,47,pure_ocs_ksp_greedy,1.134
mix10S,47,ocs_eps_preset_dynamic_greedy,1.000
mix10S,47,pure_ocs_pruned,1.035
mix10S,47,ocs_eps_pruned,0.786
mix10S,47,ocs_eps_large_small,1.622
mix10S,47,ocs_eps_preset_greedy,1.354
mix10S,47,pure_ocs_3hop_preset,1.035
mix10S,48,ocs_eps_global_ksp,1.046
mix10S,48,pure_ocs_ksp,1.203
mix10S,48,eps_ecmp,0.438
mix10S,48,pure_ocs_ksp_greedy,1.185
mix10S,48,ocs_eps_preset_dynamic_greedy,1.000
mix10S,48,pure_ocs_pruned,1.164
mix10S,48,ocs_eps_pruned,0.763
