case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
mix10S,ocs_eps_global_ksp,10,1.037,0.057
mix10S,pure_ocs_ksp,10,1.216,0.074
mix10S,eps_ecmp,10,0.520,0.041
mix10S,pure_ocs_ksp_greedy,10,1.138,0.049
mix10S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix10S,pure_ocs_pruned,10,1.124,0.091
mix10S,ocs_eps_pruned,10,0.837,0.059
mix10S,ocs_eps_large_small,10,1.641,0.086
mix10S,ocs_eps_preset_greedy,10,1.400,0.084
mix10S,pure_ocs_3hop_preset,10,1.124,0.091
mix3L2M1S,ocs_eps_global_ksp,10,1.135,0.039
mix3L2M1S,pure_ocs_ksp,10,1.277,0.096
mix3L2M1S,eps_ecmp,10,0.581,0.055
mix3L2M1S,pure_ocs_ksp_greedy,10,1.174,0.087
mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix3L2M1S,pure_ocs_pruned,10,1.145,0.065
mix3L2M1S,ocs_eps_pruned,10,0.919,0.072
mix3L2M1S,ocs_eps_large_small,10,1.692,0.110
mix3L2M1S,ocs_eps_preset_greedy,10,1.478,0.126
mix3L2M1S,pure_ocs_3hop_preset,10,1.145,0.065
mix5L,ocs_eps_global_ksp,10,1.116,0.051
mix5L,pure_ocs_ksp,10,1.289,0.068
mix5L,eps_ecmp,10,0.598,0.055
mix5L,pure_ocs_ksp_greedy,10,1.146,0.053
mix5L,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix5L,pure_ocs_pruned,10,1.124,0.074
mix5L,ocs_eps_pruned,10,0.900,0.076
mix5L,ocs_eps_large_small,10,1.703,0.090
mix5L,ocs_eps_preset_greedy,10,1.473,0.107
mix5L,pure_ocs_3hop_preset,10,1.124,0.074
