case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
mix10S,ocs_eps_global_ksp,10,1.103,0.210
mix10S,pure_ocs_ksp,10,1.257,0.184
mix10S,eps_ecmp,10,0.658,0.128
mix10S,pure_ocs_ksp_greedy,10,1.218,0.160
mix10S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix10S,pure_ocs_pruned,10,1.167,0.235
mix10S,ocs_eps_pruned,10,0.925,0.216
mix10S,ocs_eps_large_small,10,1.587,0.258
mix10S,ocs_eps_preset_greedy,10,1.325,0.169
mix10S,pure_ocs_3hop_preset,10,1.167,0.235
mix3L2M1S,ocs_eps_global_ksp,10,1.236,0.174
mix3L2M1S,pure_ocs_ksp,10,1.312,0.239
mix3L2M1S,eps_ecmp,10,0.720,0.123
mix3L2M1S,pure_ocs_ksp_greedy,10,1.210,0.187
mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix3L2M1S,pure_ocs_pruned,10,1.191,0.185
mix3L2M1S,ocs_eps_pruned,10,1.041,0.174
mix3L2M1S,ocs_eps_large_small,10,1.655,0.256
mix3L2M1S,ocs_eps_preset_greedy,10,1.416,0.230
mix3L2M1S,pure_ocs_3hop_preset,10,1.191,0.185
mix5L,ocs_eps_global_ksp,10,1.133,0.153
mix5L,pure_ocs_ksp,10,1.278,0.100
mix5L,eps_ecmp,10,0.648,0.099
mix5L,pure_ocs_ksp_greedy,10,1.157,0.161
mix5L,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix5L,pure_ocs_pruned,10,1.100,0.103
mix5L,ocs_eps_pruned,10,0.989,0.138
mix5L,ocs_eps_large_small,10,1.643,0.210
mix5L,ocs_eps_preset_greedy,10,1.446,0.214
mix5L,pure_ocs_3hop_preset,10,1.100,0.103
