case_base,seed,scheduler,avg_relative_cct_vs_dynamic
mix10S,42,ocs_eps_global_ksp,1.014
mix10S,42,pure_ocs_ksp,1.266
mix10S,42,eps_ecmp,0.956
mix10S,42,pure_ocs_ksp_greedy,1.120
mix10S,42,ocs_eps_preset_dynamic_greedy,1.000
mix10S,42,pure_ocs_pruned,1.249
mix10S,42,ocs_eps_pruned,0.941
mix10S,42,ocs_eps_large_small,2.318
mix10S,42,ocs_eps_preset_greedy,1.250
mix10S,42,pure_ocs_3hop_preset,1.249
mix10S,43,ocs_eps_global_ksp,1.276
mix10S,43,pure_ocs_ksp,1.479
mix10S,43,eps_ecmp,0.754
mix10S,43,pure_ocs_ksp_greedy,1.333
mix10S,43,ocs_eps_preset_dynamic_greedy,1.000
mix10S,43,pure_ocs_pruned,1.313
mix10S,43,ocs_eps_pruned,1.058
mix10S,43,ocs_eps_large_small,1.446
mix10S,43,ocs_eps_preset_greedy,1.999
mix10S,43,pure_ocs_3hop_preset,1.313
mix10S,44,ocs_eps_global_ksp,1.426
mix10S,44,pure_ocs_ksp,1.479
mix10S,44,eps_ecmp,0.807
mix10S,44,pure_ocs_ksp_greedy,1.349
mix10S,44,ocs_eps_preset_dynamic_greedy,1.000
mix10S,44,pure_ocs_pruned,1.612
mix10S,44,ocs_eps_pruned,0.874
mix10S,44,ocs_eps_large_small,2.251
mix10S,44,ocs_eps_preset_greedy,1.487
mix10S,44,pure_ocs_3hop_preset,1.612
mix10S,45,ocs_eps_global_ksp,1.214
mix10S,45,pure_ocs_ksp,1.222
mix10S,45,eps_ecmp,0.954
mix10S,45,pure_ocs_ksp_greedy,1.552
mix10S,45,ocs_eps_preset_dynamic_greedy,1.000
mix10S,45,pure_ocs_pruned,1.166
mix10S,45,ocs_eps_pruned,2.504
mix10S,45,ocs_eps_large_small,1.717
mix10S,45,ocs_eps_preset_greedy,1.656
mix10S,45,pure_ocs_3hop_preset,1.166
mix10S,46,ocs_eps_global_ksp,0.975
mix10S,46,pure_ocs_ksp,1.342
mix10S,46,eps_ecmp,0.574
mix10S,46,pure_ocs_ksp_greedy,1.131
mix10S,46,ocs_eps_preset_dynamic_greedy,1.000
mix10S,46,pure_ocs_pruned,1.088
mix10S,46,ocs_eps_pruned,1.098
mix10S,46,ocs_eps_large_small,1.423
mix10S,46,ocs_eps_preset_greedy,1.456
mix10S,46,pure_ocs_3hop_preset,1.088
mix10S,47,ocs_eps_global_ksp,1.113
mix10S,47,pure_ocs_ksp,0.999
mix10S,47,eps_ecmp,0.706
mix10S,47,pure_ocs_ksp_greedy,1.062
mix10S,47,ocs_eps_preset_dynamic_greedy,1.000
mix10S,47,pure_ocs_pruned,0.952
mix10S,47,ocs_eps_pruned,0.928
mix10S,47,ocs_eps_large_small,1.420
mix10S,47,ocs_eps_preset_greedy,1.251
mix10S,47,pure_ocs_3hop_preset,0.952
mix10S,48,ocs_eps_global_ksp,1.049
mix10S,48,pure_ocs_ksp,1.062
mix10S,48,eps_ecmp,0.487
mix10S,48,pure_ocs_ksp_greedy,1.300
mix10S,48,ocs_eps_preset_dynamic_greedy,1.000
mix10S,48,pure_ocs_pruned,1.064
mix10S,48,ocs_eps_pruned,0.867
mix10S,48,ocs_eps_large_small,1.627
mix10S,48,ocs_eps_preset_greedy,1.346
mix10S,48,pure_ocs_3hop_preset,1.064
mix10S,49,ocs_eps_global_ksp,1.130
mix10S,49,pure_ocs_ksp,1.241
mix10S,49,eps_ecmp,0.695
mix10S,49,pure_ocs_ksp_greedy,1.113
mix10S,49,ocs_eps_preset_dynamic_greedy,1.000
mix10S,49,pure_ocs_pruned,1.580
mix10S,49,ocs_eps_pruned,0.952
mix10S,49,ocs_eps_large_small,1.484
mix10S,49,ocs_eps_preset_greedy,1.390
mix10S,49,pure_ocs_3hop_preset,1.580
mix10S,50,ocs_eps_global_ksp,0.783
mix10S,50,pure_ocs_ksp,1.004
mix10S,50,eps_ecmp,0.504
mix10S,50,pure_ocs_ksp_greedy,0.913
mix10S,50,ocs_eps_preset_dynamic_greedy,1.000
mix10S,50,pure_ocs_pruned,0.873
mix10S,50,ocs_eps_pruned,0.578
mix10S,50,ocs_eps_large_small,1.186
mix10S,50,ocs_eps_preset_greedy,1.021
mix10S,50,pure_ocs_3hop_preset,0.873
mix10S,51,ocs_eps_global_ksp,1.084
mix10S,51,pure_ocs_ksp,1.098
mix10S,51,eps_ecmp,0.675
mix10S,51,pure_ocs_ksp_greedy,1.125
mix10S,51,ocs_eps_preset_dynamic_greedy,1.000
mix10S,51,pure_ocs_pruned,0.987
mix10S,51,ocs_eps_pruned,0.960
mix10S,51,ocs_eps_large_small,1.581
mix10S,51,ocs_eps_preset_greedy,1.315
mix10S,51,pure_ocs_3hop_preset,0.987
mix3L2M1S,42,ocs_eps_global_ksp,1.264
mix3L2M1S,42,pure_ocs_ksp,1.193
mix3L2M1S,42,eps_ecmp,0.779
mix3L2M1S,42,pure_ocs_ksp_greedy,1.082
mix3L2M1S,42,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,42,pure_ocs_pruned,1.106
mix3L2M1S,42,ocs_eps_pruned,0.792
mix3L2M1S,42,ocs_eps_large_small,1.431
mix3L2M1S,42,ocs_eps_preset_greedy,1.790
mix3L2M1S,42,pure_ocs_3hop_preset,1.106
mix3L2M1S,43,ocs_eps_global_ksp,1.528
mix3L2M1S,43,pure_ocs_ksp,1.791
mix3L2M1S,43,eps_ecmp,0.696
mix3L2M1S,43,pure_ocs_ksp_greedy,1.630
mix3L2M1S,43,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,43,pure_ocs_pruned,1.832
mix3L2M1S,43,ocs_eps_pruned,1.252
mix3L2M1S,43,ocs_eps_large_small,2.359
mix3L2M1S,43,ocs_eps_preset_greedy,1.735
mix3L2M1S,43,pure_ocs_3hop_preset,1.832
mix3L2M1S,44,ocs_eps_global_ksp,1.205
mix3L2M1S,44,pure_ocs_ksp,0.873
mix3L2M1S,44,eps_ecmp,0.510
mix3L2M1S,44,pure_ocs_ksp_greedy,1.124
mix3L2M1S,44,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,44,pure_ocs_pruned,0.947
mix3L2M1S,44,ocs_eps_pruned,0.909
mix3L2M1S,44,ocs_eps_large_small,1.293
mix3L2M1S,44,ocs_eps_preset_greedy,1.086
mix3L2M1S,44,pure_ocs_3hop_preset,0.947
mix3L2M1S,45,ocs_eps_global_ksp,1.028
mix3L2M1S,45,pure_ocs_ksp,1.269
mix3L2M1S,45,eps_ecmp,0.802
mix3L2M1S,45,pure_ocs_ksp_greedy,1.146
mix3L2M1S,45,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,45,pure_ocs_pruned,1.309
mix3L2M1S,45,ocs_eps_pruned,1.073
mix3L2M1S,45,ocs_eps_large_small,1.561
mix3L2M1S,45,ocs_eps_preset_greedy,1.421
mix3L2M1S,45,pure_ocs_3hop_preset,1.309
mix3L2M1S,46,ocs_eps_global_ksp,1.181
mix3L2M1S,46,pure_ocs_ksp,1.061
mix3L2M1S,46,eps_ecmp,0.616
mix3L2M1S,46,pure_ocs_ksp_greedy,1.189
mix3L2M1S,46,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,46,pure_ocs_pruned,1.113
mix3L2M1S,46,ocs_eps_pruned,0.983
mix3L2M1S,46,ocs_eps_large_small,1.564
mix3L2M1S,46,ocs_eps_preset_greedy,1.149
mix3L2M1S,46,pure_ocs_3hop_preset,1.113
mix3L2M1S,47,ocs_eps_global_ksp,1.115
mix3L2M1S,47,pure_ocs_ksp,1.485
mix3L2M1S,47,eps_ecmp,1.044
mix3L2M1S,47,pure_ocs_ksp_greedy,1.309
mix3L2M1S,47,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,47,pure_ocs_pruned,1.122
mix3L2M1S,47,ocs_eps_pruned,1.504
mix3L2M1S,47,ocs_eps_large_small,1.719
mix3L2M1S,47,ocs_eps_preset_greedy,1.296
mix3L2M1S,47,pure_ocs_3hop_preset,1.122
mix3L2M1S,48,ocs_eps_global_ksp,0.972
mix3L2M1S,48,pure_ocs_ksp,1.359
mix3L2M1S,48,eps_ecmp,0.916
mix3L2M1S,48,pure_ocs_ksp_greedy,1.382
mix3L2M1S,48,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,48,pure_ocs_pruned,1.084
mix3L2M1S,48,ocs_eps_pruned,1.302
mix3L2M1S,48,ocs_eps_large_small,1.956
mix3L2M1S,48,ocs_eps_preset_greedy,1.714
mix3L2M1S,48,pure_ocs_3hop_preset,1.084
mix3L2M1S,49,ocs_eps_global_ksp,1.430
mix3L2M1S,49,pure_ocs_ksp,1.350
mix3L2M1S,49,eps_ecmp,0.745
mix3L2M1S,49,pure_ocs_ksp_greedy,1.350
mix3L2M1S,49,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,49,pure_ocs_pruned,1.239
mix3L2M1S,49,ocs_eps_pruned,1.398
mix3L2M1S,49,ocs_eps_large_small,1.640
mix3L2M1S,49,ocs_eps_preset_greedy,1.389
mix3L2M1S,49,pure_ocs_3hop_preset,1.239
mix3L2M1S,50,ocs_eps_global_ksp,1.083
mix3L2M1S,50,pure_ocs_ksp,1.294
mix3L2M1S,50,eps_ecmp,0.625
mix3L2M1S,50,pure_ocs_ksp_greedy,1.353
mix3L2M1S,50,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,50,pure_ocs_pruned,1.192
mix3L2M1S,50,ocs_eps_pruned,0.918
mix3L2M1S,50,ocs_eps_large_small,1.596
mix3L2M1S,50,ocs_eps_preset_greedy,1.341
mix3L2M1S,50,pure_ocs_3hop_preset,1.192
mix3L2M1S,51,ocs_eps_global_ksp,1.299
mix3L2M1S,51,pure_ocs_ksp,1.218
mix3L2M1S,51,eps_ecmp,1.249
mix3L2M1S,51,pure_ocs_ksp_greedy,1.200
mix3L2M1S,51,ocs_eps_preset_dynamic_greedy,1.000
mix3L2M1S,51,pure_ocs_pruned,1.294
mix3L2M1S,51,ocs_eps_pruned,0.907
mix3L2M1S,51,ocs_eps_large_small,2.292
mix3L2M1S,51,ocs_eps_preset_greedy,1.408
mix3L2M1S,51,pure_ocs_3hop_preset,1.294
mix5L,42,ocs_eps_global_ksp,0.963
mix5L,42,pure_ocs_ksp,1.150
mix5L,42,eps_ecmp,0.579
mix5L,42,pure_ocs_ksp_greedy,0.872
mix5L,42,ocs_eps_preset_dynamic_greedy,1.000
mix5L,42,pure_ocs_pruned,1.025
mix5L,42,ocs_eps_pruned,0.815
mix5L,42,ocs_eps_large_small,1.526
mix5L,42,ocs_eps_preset_greedy,1.040
mix5L,42,pure_ocs_3hop_preset,1.025
mix5L,43,ocs_eps_global_ksp,0.963
mix5L,43,pure_ocs_ksp,1.120
mix5L,43,eps_ecmp,0.676
mix5L,43,pure_ocs_ksp_greedy,1.196
mix5L,43,ocs_eps_preset_dynamic_greedy,1.000
mix5L,43,pure_ocs_pruned,1.218
mix5L,43,ocs_eps_pruned,1.132
mix5L,43,ocs_eps_large_small,1.814
mix5L,43,ocs_eps_preset_greedy,1.561
mix5L,43,pure_ocs_3hop_preset,1.218
mix5L,44,ocs_eps_global_ksp,1.533
mix5L,44,pure_ocs_ksp,1.247
mix5L,44,eps_ecmp,0.510
mix5L,44,pure_ocs_ksp_greedy,1.006
mix5L,44,ocs_eps_preset_dynamic_greedy,1.000
mix5L,44,pure_ocs_pruned,1.045
mix5L,44,ocs_eps_pruned,1.102
mix5L,44,ocs_eps_large_small,1.616
mix5L,44,ocs_eps_preset_greedy,1.845
mix5L,44,pure_ocs_3hop_preset,1.045
mix5L,45,ocs_eps_global_ksp,1.199
mix5L,45,pure_ocs_ksp,1.205
mix5L,45,eps_ecmp,0.623
mix5L,45,pure_ocs_ksp_greedy,1.047
mix5L,45,ocs_eps_preset_dynamic_greedy,1.000
mix5L,45,pure_ocs_pruned,1.098
mix5L,45,ocs_eps_pruned,1.043
mix5L,45,ocs_eps_large_small,1.827
mix5L,45,ocs_eps_preset_greedy,1.356
mix5L,45,pure_ocs_3hop_preset,1.098
mix5L,46,ocs_eps_global_ksp,0.941
mix5L,46,pure_ocs_ksp,1.161
mix5L,46,eps_ecmp,0.664
mix5L,46,pure_ocs_ksp_greedy,0.990
mix5L,46,ocs_eps_preset_dynamic_greedy,1.000
mix5L,46,pure_ocs_pruned,0.983
mix5L,46,ocs_eps_pruned,0.824
mix5L,46,ocs_eps_large_small,1.292
mix5L,46,ocs_eps_preset_greedy,1.079
mix5L,46,pure_ocs_3hop_preset,0.983
mix5L,47,ocs_eps_global_ksp,1.094
mix5L,47,pure_ocs_ksp,1.600
mix5L,47,eps_ecmp,0.608
mix5L,47,pure_ocs_ksp_greedy,1.155
mix5L,47,ocs_eps_preset_dynamic_greedy,1.000
mix5L,47,pure_ocs_pruned,1.113
mix5L,47,ocs_eps_pruned,0.889
mix5L,47,ocs_eps_large_small,1.721
mix5L,47,ocs_eps_preset_greedy,1.255
mix5L,47,pure_ocs_3hop_preset,1.113
mix5L,48,ocs_eps_global_ksp,1.153
mix5L,48,pure_ocs_ksp,1.326
mix5L,48,eps_ecmp,0.735
mix5L,48,pure_ocs_ksp_greedy,1.309
mix5L,48,ocs_eps_preset_dynamic_greedy,1.000
mix5L,48,pure_ocs_pruned,0.905
mix5L,48,ocs_eps_pruned,0.763
mix5L,48,ocs_eps_large_small,1.841
mix5L,48,ocs_eps_preset_greedy,1.416
mix5L,48,pure_ocs_3hop_preset,0.905
mix5L,49,ocs_eps_global_ksp,1.174
mix5L,49,pure_ocs_ksp,1.271
mix5L,49,eps_ecmp,0.768
mix5L,49,pure_ocs_ksp_greedy,1.172
mix5L,49,ocs_eps_preset_dynamic_greedy,1.000
mix5L,49,pure_ocs_pruned,1.024
mix5L,49,ocs_eps_pruned,1.118
mix5L,49,ocs_eps_large_small,1.653
mix5L,49,ocs_eps_preset_greedy,1.345
mix5L,49,pure_ocs_3hop_preset,1.024
mix5L,50,ocs_eps_global_ksp,1.216
mix5L,50,pure_ocs_ksp,1.265
mix5L,50,eps_ecmp,0.740
mix5L,50,pure_ocs_ksp_greedy,1.077
mix5L,50,ocs_eps_preset_dynamic_greedy,1.000
mix5L,50,pure_ocs_pruned,1.073
mix5L,50,ocs_eps_pruned,1.098
mix5L,50,ocs_eps_large_small,1.897
mix5L,50,ocs_eps_preset_greedy,1.671
mix5L,50,pure_ocs_3hop_preset,1.073
mix5L,51,ocs_eps_global_ksp,1.023
mix5L,51,pure_ocs_ksp,1.014
mix5L,51,eps_ecmp,0.544
mix5L,51,pure_ocs_ksp_greedy,0.951
mix5L,51,ocs_eps_preset_dynamic_greedy,1.000
mix5L,51,pure_ocs_pruned,1.158
mix5L,51,ocs_eps_pruned,0.862
mix5L,51,ocs_eps_large_small,1.872
mix5L,51,ocs_eps_preset_greedy,1.139
mix5L,51,pure_ocs_3hop_preset,1.158
