case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
mix10S,ocs_eps_global_ksp,10,2.074,0.514
mix10S,pure_ocs_ksp,10,1.277,0.118
mix10S,eps_ecmp,10,0.625,0.055
mix10S,pure_ocs_ksp_greedy,10,1.438,0.268
mix10S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix10S,pure_ocs_pruned,10,1.809,0.435
mix10S,ocs_eps_pruned,10,2.160,1.691
mix10S,ocs_eps_large_small,10,1.782,0.391
mix10S,ocs_eps_preset_greedy,10,3.951,3.869
mix10S,pure_ocs_3hop_preset,10,1.809,0.435
mix3L2M1S,ocs_eps_global_ksp,10,2.306,0.991
mix3L2M1S,pure_ocs_ksp,10,1.368,0.239
mix3L2M1S,eps_ecmp,10,0.669,0.071
mix3L2M1S,pure_ocs_ksp_greedy,10,1.152,0.086
mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix3L2M1S,pure_ocs_pruned,10,1.118,0.129
mix3L2M1S,ocs_eps_pruned,10,1.028,0.184
mix3L2M1S,ocs_eps_large_small,10,5.646,8.769
mix3L2M1S,ocs_eps_preset_greedy,10,3.197,3.032
mix3L2M1S,pure_ocs_3hop_preset,10,1.118,0.129
mix5L,ocs_eps_global_ksp,10,2.182,0.445
mix5L,pure_ocs_ksp,10,1.445,0.231
mix5L,eps_ecmp,10,0.691,0.042
mix5L,pure_ocs_ksp_greedy,10,1.325,0.228
mix5L,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
mix5L,pure_ocs_pruned,10,1.306,0.286
mix5L,ocs_eps_pruned,10,2.154,3.294
mix5L,ocs_eps_large_small,10,9.628,13.790
mix5L,ocs_eps_preset_greedy,10,2.269,0.460
mix5L,pure_ocs_3hop_preset,10,1.306,0.286
