case_base,seed,scheduler,avg_solve_time_ms
mix10S,42,ocs_eps_global_ksp,0.000
mix10S,42,pure_ocs_ksp,0.000
mix10S,42,eps_ecmp,0.000
mix10S,42,pure_ocs_ksp_greedy,0.085
mix10S,42,ocs_eps_preset_dynamic_greedy,0.146
mix10S,42,pure_ocs_pruned,0.250
mix10S,42,ocs_eps_pruned,0.210
mix10S,42,ocs_eps_large_small,0.000
mix10S,42,ocs_eps_preset_greedy,0.394
mix10S,42,pure_ocs_3hop_preset,0.159
mix10S,43,ocs_eps_global_ksp,0.000
mix10S,43,pure_ocs_ksp,0.000
mix10S,43,eps_ecmp,0.000
mix10S,43,pure_ocs_ksp_greedy,0.090
mix10S,43,ocs_eps_preset_dynamic_greedy,0.292
mix10S,43,pure_ocs_pruned,0.165
mix10S,43,ocs_eps_pruned,0.226
mix10S,43,ocs_eps_large_small,0.000
mix10S,43,ocs_eps_preset_greedy,0.085
mix10S,43,pure_ocs_3hop_preset,0.167
mix10S,44,ocs_eps_global_ksp,0.000
mix10S,44,pure_ocs_ksp,0.000
mix10S,44,eps_ecmp,0.000
mix10S,44,pure_ocs_ksp_greedy,0.093
mix10S,44,ocs_eps_preset_dynamic_greedy,0.176
mix10S,44,pure_ocs_pruned,0.297
mix10S,44,ocs_eps_pruned,0.212
mix10S,44,ocs_eps_large_small,0.000
mix10S,44,ocs_eps_preset_greedy,0.099
mix10S,44,pure_ocs_3hop_preset,0.422
mix10S,45,ocs_eps_global_ksp,0.000
mix10S,45,pure_ocs_ksp,0.000
mix10S,45,eps_ecmp,0.000
mix10S,45,pure_ocs_ksp_greedy,0.095
mix10S,45,ocs_eps_preset_dynamic_greedy,0.251
mix10S,45,pure_ocs_pruned,0.127
mix10S,45,ocs_eps_pruned,0.195
mix10S,45,ocs_eps_large_small,0.000
mix10S,45,ocs_eps_preset_greedy,0.086
mix10S,45,pure_ocs_3hop_preset,0.182
mix10S,46,ocs_eps_global_ksp,0.000
mix10S,46,pure_ocs_ksp,0.000
mix10S,46,eps_ecmp,0.000
mix10S,46,pure_ocs_ksp_greedy,0.079
mix10S,46,ocs_eps_preset_dynamic_greedy,0.135
mix10S,46,pure_ocs_pruned,0.141
mix10S,46,ocs_eps_pruned,0.172
mix10S,46,ocs_eps_large_small,0.000
mix10S,46,ocs_eps_preset_greedy,0.069
mix10S,46,pure_ocs_3hop_preset,0.185
mix10S,47,ocs_eps_global_ksp,0.000
mix10S,47,pure_ocs_ksp,0.000
mix10S,47,eps_ecmp,0.000
mix10S,47,pure_ocs_ksp_greedy,0.062
mix10S,47,ocs_eps_preset_dynamic_greedy,0.119
mix10S,47,pure_ocs_pruned,0.142
mix10S,47,ocs_eps_pruned,0.151
mix10S,47,ocs_eps_large_small,0.000
mix10S,47,ocs_eps_preset_greedy,0.085
mix10S,47,pure_ocs_3hop_preset,0.122
mix10S,48,ocs_eps_global_ksp,0.000
mix10S,48,pure_ocs_ksp,0.000
mix10S,48,eps_ecmp,0.000
mix10S,48,pure_ocs_ksp_greedy,0.071
mix10S,48,ocs_eps_preset_dynamic_greedy,0.119
mix10S,48,pure_ocs_pruned,0.266
mix10S,48,ocs_eps_pruned,0.449
mix10S,48,ocs_eps_large_small,0.000
