case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
spread0ms,ocs_eps_global_ksp,10,1.052,0.101
spread0ms,pure_ocs_ksp,10,1.269,0.122
spread0ms,eps_ecmp,10,0.363,0.041
spread0ms,pure_ocs_ksp_greedy,10,1.168,0.081
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_pruned,10,1.150,0.180
spread0ms,ocs_eps_pruned,10,0.746,0.074
spread0ms,ocs_eps_large_small,10,1.766,0.198
spread0ms,ocs_eps_preset_greedy,10,1.498,0.056
spread0ms,pure_ocs_3hop_preset,10,1.150,0.180
spread100ms,ocs_eps_global_ksp,10,1.236,0.174
spread100ms,pure_ocs_ksp,10,1.312,0.239
spread100ms,eps_ecmp,10,0.720,0.123
spread100ms,pure_ocs_ksp_greedy,10,1.210,0.187
spread100ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread100ms,pure_ocs_pruned,10,1.191,0.185
spread100ms,ocs_eps_pruned,10,1.041,0.174
spread100ms,ocs_eps_large_small,10,1.655,0.256
spread100ms,ocs_eps_preset_greedy,10,1.416,0.230
spread100ms,pure_ocs_3hop_preset,10,1.191,0.185
spread25ms,ocs_eps_global_ksp,10,1.062,0.102
spread25ms,pure_ocs_ksp,10,1.312,0.168
spread25ms,eps_ecmp,10,0.439,0.055
spread25ms,pure_ocs_ksp_greedy,10,1.139,0.108
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_pruned,10,1.141,0.117
spread25ms,ocs_eps_pruned,10,0.759,0.101
spread25ms,ocs_eps_large_small,10,1.690,0.105
spread25ms,ocs_eps_preset_greedy,10,1.494,0.200
spread25ms,pure_ocs_3hop_preset,10,1.141,0.117
spread50ms,ocs_eps_global_ksp,10,1.083,0.138
spread50ms,pure_ocs_ksp,10,1.273,0.178
spread50ms,eps_ecmp,10,0.534,0.078
spread50ms,pure_ocs_ksp_greedy,10,1.198,0.098
spread50ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread50ms,pure_ocs_pruned,10,1.229,0.285
spread50ms,ocs_eps_pruned,10,0.865,0.084
spread50ms,ocs_eps_large_small,10,1.806,0.210
spread50ms,ocs_eps_preset_greedy,10,1.496,0.168
spread50ms,pure_ocs_3hop_preset,10,1.229,0.285
spread75ms,ocs_eps_global_ksp,10,1.033,0.111
spread75ms,pure_ocs_ksp,10,1.228,0.145
spread75ms,eps_ecmp,10,0.578,0.065
spread75ms,pure_ocs_ksp_greedy,10,1.222,0.190
spread75ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread75ms,pure_ocs_pruned,10,1.099,0.127
spread75ms,ocs_eps_pruned,10,0.880,0.129
spread75ms,ocs_eps_large_small,10,1.761,0.241
spread75ms,ocs_eps_preset_greedy,10,1.420,0.231
spread75ms,pure_ocs_3hop_preset,10,1.099,0.127
