case_base,seed,scheduler,avg_relative_cct_vs_dynamic
spread0ms,42,ocs_eps_global_ksp,0.880
spread0ms,42,pure_ocs_ksp,1.369
spread0ms,42,eps_ecmp,0.376
spread0ms,42,pure_ocs_ksp_greedy,1.302
spread0ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,42,pure_ocs_pruned,1.106
spread0ms,42,ocs_eps_pruned,0.920
spread0ms,42,ocs_eps_large_small,2.070
spread0ms,42,ocs_eps_preset_greedy,1.660
spread0ms,42,pure_ocs_3hop_preset,1.106
spread0ms,43,ocs_eps_global_ksp,1.016
spread0ms,43,pure_ocs_ksp,0.934
spread0ms,43,eps_ecmp,0.294
spread0ms,43,pure_ocs_ksp_greedy,1.126
spread0ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,43,pure_ocs_pruned,1.048
spread0ms,43,ocs_eps_pruned,0.502
spread0ms,43,ocs_eps_large_small,1.499
spread0ms,43,ocs_eps_preset_greedy,1.309
spread0ms,43,pure_ocs_3hop_preset,1.048
spread0ms,44,ocs_eps_global_ksp,1.132
spread0ms,44,pure_ocs_ksp,1.507
spread0ms,44,eps_ecmp,0.435
spread0ms,44,pure_ocs_ksp_greedy,1.245
spread0ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,44,pure_ocs_pruned,1.451
spread0ms,44,ocs_eps_pruned,0.888
spread0ms,44,ocs_eps_large_small,1.971
spread0ms,44,ocs_eps_preset_greedy,1.606
spread0ms,44,pure_ocs_3hop_preset,1.451
spread0ms,45,ocs_eps_global_ksp,1.263
spread0ms,45,pure_ocs_ksp,1.440
spread0ms,45,eps_ecmp,0.480
spread0ms,45,pure_ocs_ksp_greedy,1.488
spread0ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,45,pure_ocs_pruned,1.735
spread0ms,45,ocs_eps_pruned,1.183
spread0ms,45,ocs_eps_large_small,2.669
spread0ms,45,ocs_eps_preset_greedy,1.670
spread0ms,45,pure_ocs_3hop_preset,1.735
spread0ms,46,ocs_eps_global_ksp,1.183
spread0ms,46,pure_ocs_ksp,1.304
spread0ms,46,eps_ecmp,0.324
spread0ms,46,pure_ocs_ksp_greedy,1.293
spread0ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,46,pure_ocs_pruned,1.378
spread0ms,46,ocs_eps_pruned,0.746
spread0ms,46,ocs_eps_large_small,1.736
spread0ms,46,ocs_eps_preset_greedy,1.564
