case_base,seed,scheduler,avg_solve_time_ms
spread0ms,42,ocs_eps_global_ksp,0.000
spread0ms,42,pure_ocs_ksp,0.000
spread0ms,42,eps_ecmp,0.000
spread0ms,42,pure_ocs_ksp_greedy,0.149
spread0ms,42,ocs_eps_preset_dynamic_greedy,0.238
spread0ms,42,pure_ocs_pruned,0.281
spread0ms,42,ocs_eps_pruned,0.357
spread0ms,42,ocs_eps_large_small,0.000
spread0ms,42,ocs_eps_preset_greedy,0.145
spread0ms,42,pure_ocs_3hop_preset,0.330
spread0ms,43,ocs_eps_global_ksp,0.000
spread0ms,43,pure_ocs_ksp,0.000
spread0ms,43,eps_ecmp,0.000
spread0ms,43,pure_ocs_ksp_greedy,0.158
spread0ms,43,ocs_eps_preset_dynamic_greedy,0.701
spread0ms,43,pure_ocs_pruned,0.280
spread0ms,43,ocs_eps_pruned,0.401
spread0ms,43,ocs_eps_large_small,0.000
spread0ms,43,ocs_eps_preset_greedy,0.166
spread0ms,43,pure_ocs_3hop_preset,0.267
spread0ms,44,ocs_eps_global_ksp,0.000
spread0ms,44,pure_ocs_ksp,0.000
spread0ms,44,eps_ecmp,0.000
spread0ms,44,pure_ocs_ksp_greedy,0.171
spread0ms,44,ocs_eps_preset_dynamic_greedy,0.252
spread0ms,44,pure_ocs_pruned,0.353
spread0ms,44,ocs_eps_pruned,0.342
spread0ms,44,ocs_eps_large_small,0.000
spread0ms,44,ocs_eps_preset_greedy,0.164
spread0ms,44,pure_ocs_3hop_preset,0.715
spread0ms,45,ocs_eps_global_ksp,0.000
spread0ms,45,pure_ocs_ksp,0.000
spread0ms,45,eps_ecmp,0.000
spread0ms,45,pure_ocs_ksp_greedy,0.161
spread0ms,45,ocs_eps_preset_dynamic_greedy,0.272
spread0ms,45,pure_ocs_pruned,0.399
spread0ms,45,ocs_eps_pruned,0.738
spread0ms,45,ocs_eps_large_small,0.000
spread0ms,45,ocs_eps_preset_greedy,0.151
spread0ms,45,pure_ocs_3hop_preset,0.677
spread0ms,46,ocs_eps_global_ksp,0.000
spread0ms,46,pure_ocs_ksp,0.000
spread0ms,46,eps_ecmp,0.000
spread0ms,46,pure_ocs_ksp_greedy,0.149
spread0ms,46,ocs_eps_preset_dynamic_greedy,0.249
spread0ms,46,pure_ocs_pruned,0.624
spread0ms,46,ocs_eps_pruned,0.373
spread0ms,46,ocs_eps_large_small,0.000
spread0ms,46,ocs_eps_preset_greedy,0.172
spread0ms,46,pure_ocs_3hop_preset,0.258
spread0ms,47,ocs_eps_global_ksp,0.000
spread0ms,47,pure_ocs_ksp,0.000
spread0ms,47,eps_ecmp,0.000
spread0ms,47,pure_ocs_ksp_greedy,0.114
spread0ms,47,ocs_eps_preset_dynamic_greedy,0.275
spread0ms,47,pure_ocs_pruned,0.279
spread0ms,47,ocs_eps_pruned,0.300
spread0ms,47,ocs_eps_large_small,0.000
spread0ms,47,ocs_eps_preset_greedy,0.129
spread0ms,47,pure_ocs_3hop_preset,0.275
spread0ms,48,ocs_eps_global_ksp,0.000
spread0ms,48,pure_ocs_ksp,0.000
spread0ms,48,eps_ecmp,0.000
spread0ms,48,pure_ocs_ksp_greedy,0.127
spread0ms,48,ocs_eps_preset_dynamic_greedy,0.229
spread0ms,48,pure_ocs_pruned,0.254
spread0ms,48,ocs_eps_pruned,0.387
spread0ms,48,ocs_eps_large_small,0.000
spread0ms,48,ocs_eps_preset_greedy,0.147
spread0ms,48,pure_ocs_3hop_preset,0.266
spread0ms,49,ocs_eps_global_ksp,0.000
spread0ms,49,pure_ocs_ksp,0.000
spread0ms,49,eps_ecmp,0.000
spread0ms,49,pure_ocs_ksp_greedy,0.145
spread0ms,49,ocs_eps_preset_dynamic_greedy,0.293
spread0ms,49,pure_ocs_pruned,0.309
spread0ms,49,ocs_eps_pruned,0.366
spread0ms,49,ocs_eps_large_small,0.000
spread0ms,49,ocs_eps_preset_greedy,0.155
spread0ms,49,pure_ocs_3hop_preset,0.237
spread0ms,50,ocs_eps_global_ksp,0.000
spread0ms,50,pure_ocs_ksp,0.000
spread0ms,50,eps_ecmp,0.000
spread0ms,50,pure_ocs_ksp_greedy,0.181
spread0ms,50,ocs_eps_preset_dynamic_greedy,0.433
spread0ms,50,pure_ocs_pruned,0.287
spread0ms,50,ocs_eps_pruned,0.350
spread0ms,50,ocs_eps_large_small,0.000
spread0ms,50,ocs_eps_preset_greedy,0.157
spread0ms,50,pure_ocs_3hop_preset,0.708
spread0ms,51,ocs_eps_global_ksp,0.000
spread0ms,51,pure_ocs_ksp,0.000
spread0ms,51,eps_ecmp,0.000
spread0ms,51,pure_ocs_ksp_greedy,0.181
spread0ms,51,ocs_eps_preset_dynamic_greedy,0.288
spread0ms,51,pure_ocs_pruned,0.314
spread0ms,51,ocs_eps_pruned,0.361
spread0ms,51,ocs_eps_large_small,0.000
spread0ms,51,ocs_eps_preset_greedy,0.130
spread0ms,51,pure_ocs_3hop_preset,0.543
spread100ms,42,ocs_eps_global_ksp,0.000
spread100ms,42,pure_ocs_ksp,0.000
spread100ms,42,eps_ecmp,0.000
spread100ms,42,pure_ocs_ksp_greedy,0.135
spread100ms,42,ocs_eps_preset_dynamic_greedy,0.211
spread100ms,42,pure_ocs_pruned,0.272
spread100ms,42,ocs_eps_pruned,0.250
spread100ms,42,ocs_eps_large_small,0.000
spread100ms,42,ocs_eps_preset_greedy,0.195
spread100ms,42,pure_ocs_3hop_preset,0.240
spread100ms,43,ocs_eps_global_ksp,0.000
spread100ms,43,pure_ocs_ksp,0.000
spread100ms,43,eps_ecmp,0.000
spread100ms,43,pure_ocs_ksp_greedy,0.127
spread100ms,43,ocs_eps_preset_dynamic_greedy,0.196
spread100ms,43,pure_ocs_pruned,0.262
spread100ms,43,ocs_eps_pruned,0.547
spread100ms,43,ocs_eps_large_small,0.000
spread100ms,43,ocs_eps_preset_greedy,0.129
spread100ms,43,pure_ocs_3hop_preset,0.244
spread100ms,44,ocs_eps_global_ksp,0.000
spread100ms,44,pure_ocs_ksp,0.000
spread100ms,44,eps_ecmp,0.000
spread100ms,44,pure_ocs_ksp_greedy,0.182
spread100ms,44,ocs_eps_preset_dynamic_greedy,0.215
spread100ms,44,pure_ocs_pruned,0.287
spread100ms,44,ocs_eps_pruned,0.218
spread100ms,44,ocs_eps_large_small,0.000
spread100ms,44,ocs_eps_preset_greedy,0.131
spread100ms,44,pure_ocs_3hop_preset,0.290
spread100ms,45,ocs_eps_global_ksp,0.000
spread100ms,45,pure_ocs_ksp,0.000
spread100ms,45,eps_ecmp,0.000
spread100ms,45,pure_ocs_ksp_greedy,0.104
spread100ms,45,ocs_eps_preset_dynamic_greedy,0.184
spread100ms,45,pure_ocs_pruned,0.265
spread100ms,45,ocs_eps_pruned,0.289
spread100ms,45,ocs_eps_large_small,0.000
spread100ms,45,ocs_eps_preset_greedy,0.129
spread100ms,45,pure_ocs_3hop_preset,0.211
spread100ms,46,ocs_eps_global_ksp,0.000
spread100ms,46,pure_ocs_ksp,0.000
spread100ms,46,eps_ecmp,0.000
spread100ms,46,pure_ocs_ksp_greedy,0.128
spread100ms,46,ocs_eps_preset_dynamic_greedy,0.384
spread100ms,46,pure_ocs_pruned,0.294
spread100ms,46,ocs_eps_pruned,0.305
spread100ms,46,ocs_eps_large_small,0.000
spread100ms,46,ocs_eps_preset_greedy,0.112
spread100ms,46,pure_ocs_3hop_preset,0.297
spread100ms,47,ocs_eps_global_ksp,0.000
spread100ms,47,pure_ocs_ksp,0.000
spread100ms,47,eps_ecmp,0.000
spread100ms,47,pure_ocs_ksp_greedy,0.148
spread100ms,47,ocs_eps_preset_dynamic_greedy,0.242
spread100ms,47,pure_ocs_pruned,0.405
spread100ms,47,ocs_eps_pruned,0.231
spread100ms,47,ocs_eps_large_small,0.000
spread100ms,47,ocs_eps_preset_greedy,0.129
spread100ms,47,pure_ocs_3hop_preset,0.175
spread100ms,48,ocs_eps_global_ksp,0.000
spread100ms,48,pure_ocs_ksp,0.000
spread100ms,48,eps_ecmp,0.000
spread100ms,48,pure_ocs_ksp_greedy,0.131
spread100ms,48,ocs_eps_preset_dynamic_greedy,0.170
spread100ms,48,pure_ocs_pruned,0.214
spread100ms,48,ocs_eps_pruned,0.311
spread100ms,48,ocs_eps_large_small,0.000
spread100ms,48,ocs_eps_preset_greedy,0.130
spread100ms,48,pure_ocs_3hop_preset,0.278
spread100ms,49,ocs_eps_global_ksp,0.000
spread100ms,49,pure_ocs_ksp,0.000
spread100ms,49,eps_ecmp,0.000
spread100ms,49,pure_ocs_ksp_greedy,0.133
spread100ms,49,ocs_eps_preset_dynamic_greedy,0.184
spread100ms,49,pure_ocs_pruned,0.222
spread100ms,49,ocs_eps_pruned,0.344
spread100ms,49,ocs_eps_large_small,0.000
spread100ms,49,ocs_eps_preset_greedy,0.155
spread100ms,49,pure_ocs_3hop_preset,0.178
spread100ms,50,ocs_eps_global_ksp,0.000
spread100ms,50,pure_ocs_ksp,0.000
spread100ms,50,eps_ecmp,0.000
spread100ms,50,pure_ocs_ksp_greedy,0.086
spread100ms,50,ocs_eps_preset_dynamic_greedy,0.133
spread100ms,50,pure_ocs_pruned,0.201
spread100ms,50,ocs_eps_pruned,0.325
spread100ms,50,ocs_eps_large_small,0.000
spread100ms,50,ocs_eps_preset_greedy,0.086
spread100ms,50,pure_ocs_3hop_preset,0.159
spread100ms,51,ocs_eps_global_ksp,0.000
spread100ms,51,pure_ocs_ksp,0.000
spread100ms,51,eps_ecmp,0.000
spread100ms,51,pure_ocs_ksp_greedy,0.090
spread100ms,51,ocs_eps_preset_dynamic_greedy,0.137
spread100ms,51,pure_ocs_pruned,0.170
spread100ms,51,ocs_eps_pruned,0.222
spread100ms,51,ocs_eps_large_small,0.000
spread100ms,51,ocs_eps_preset_greedy,0.088
spread100ms,51,pure_ocs_3hop_preset,0.144
spread25ms,42,ocs_eps_global_ksp,0.000
spread25ms,42,pure_ocs_ksp,0.000
spread25ms,42,eps_ecmp,0.000
spread25ms,42,pure_ocs_ksp_greedy,0.143
spread25ms,42,ocs_eps_preset_dynamic_greedy,0.238
spread25ms,42,pure_ocs_pruned,0.725
spread25ms,42,ocs_eps_pruned,0.427
spread25ms,42,ocs_eps_large_small,0.000
spread25ms,42,ocs_eps_preset_greedy,0.158
spread25ms,42,pure_ocs_3hop_preset,0.246
spread25ms,43,ocs_eps_global_ksp,0.000
spread25ms,43,pure_ocs_ksp,0.000
spread25ms,43,eps_ecmp,0.000
spread25ms,43,pure_ocs_ksp_greedy,0.170
spread25ms,43,ocs_eps_preset_dynamic_greedy,0.218
spread25ms,43,pure_ocs_pruned,0.541
spread25ms,43,ocs_eps_pruned,0.349
spread25ms,43,ocs_eps_large_small,0.000
spread25ms,43,ocs_eps_preset_greedy,0.165
spread25ms,43,pure_ocs_3hop_preset,0.497
spread25ms,44,ocs_eps_global_ksp,0.000
spread25ms,44,pure_ocs_ksp,0.000
spread25ms,44,eps_ecmp,0.000
spread25ms,44,pure_ocs_ksp_greedy,0.176
spread25ms,44,ocs_eps_preset_dynamic_greedy,0.285
spread25ms,44,pure_ocs_pruned,0.273
spread25ms,44,ocs_eps_pruned,0.272
spread25ms,44,ocs_eps_large_small,0.000
spread25ms,44,ocs_eps_preset_greedy,0.152
spread25ms,44,pure_ocs_3hop_preset,1.271
spread25ms,45,ocs_eps_global_ksp,0.000
spread25ms,45,pure_ocs_ksp,0.000
spread25ms,45,eps_ecmp,0.000
spread25ms,45,pure_ocs_ksp_greedy,0.155
spread25ms,45,ocs_eps_preset_dynamic_greedy,0.242
spread25ms,45,pure_ocs_pruned,0.272
spread25ms,45,ocs_eps_pruned,0.364
spread25ms,45,ocs_eps_large_small,0.000
spread25ms,45,ocs_eps_preset_greedy,0.178
spread25ms,45,pure_ocs_3hop_preset,0.203
spread25ms,46,ocs_eps_global_ksp,0.000
spread25ms,46,pure_ocs_ksp,0.000
spread25ms,46,eps_ecmp,0.000
spread25ms,46,pure_ocs_ksp_greedy,0.173
spread25ms,46,ocs_eps_preset_dynamic_greedy,0.253
spread25ms,46,pure_ocs_pruned,0.679
spread25ms,46,ocs_eps_pruned,0.363
spread25ms,46,ocs_eps_large_small,0.000
spread25ms,46,ocs_eps_preset_greedy,0.152
spread25ms,46,pure_ocs_3hop_preset,0.293
spread25ms,47,ocs_eps_global_ksp,0.000
spread25ms,47,pure_ocs_ksp,0.000
spread25ms,47,eps_ecmp,0.000
spread25ms,47,pure_ocs_ksp_greedy,0.158
spread25ms,47,ocs_eps_preset_dynamic_greedy,0.217
spread25ms,47,pure_ocs_pruned,0.260
spread25ms,47,ocs_eps_pruned,0.307
spread25ms,47,ocs_eps_large_small,0.000
spread25ms,47,ocs_eps_preset_greedy,0.688
spread25ms,47,pure_ocs_3hop_preset,0.325
spread25ms,48,ocs_eps_global_ksp,0.000
spread25ms,48,pure_ocs_ksp,0.000
spread25ms,48,eps_ecmp,0.000
spread25ms,48,pure_ocs_ksp_greedy,0.150
spread25ms,48,ocs_eps_preset_dynamic_greedy,0.232
spread25ms,48,pure_ocs_pruned,2.112
spread25ms,48,ocs_eps_pruned,0.340
spread25ms,48,ocs_eps_large_small,0.000
spread25ms,48,ocs_eps_preset_greedy,0.194
spread25ms,48,pure_ocs_3hop_preset,0.262
spread25ms,49,ocs_eps_global_ksp,0.000
spread25ms,49,pure_ocs_ksp,0.000
spread25ms,49,eps_ecmp,0.000
