case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
spread0ms,ocs_eps_global_ksp,10,0.000,0.000
spread0ms,pure_ocs_ksp,10,0.000,0.000
spread0ms,eps_ecmp,10,0.000,0.000
spread0ms,pure_ocs_ksp_greedy,10,0.154,0.021
spread0ms,ocs_eps_preset_dynamic_greedy,10,0.323,0.137
spread0ms,pure_ocs_pruned,10,0.338,0.103
spread0ms,ocs_eps_pruned,10,0.398,0.116
spread0ms,ocs_eps_large_small,10,0.000,0.000
spread0ms,ocs_eps_preset_greedy,10,0.152,0.014
spread0ms,pure_ocs_3hop_preset,10,0.428,0.196
spread100ms,ocs_eps_global_ksp,10,0.000,0.000
spread100ms,pure_ocs_ksp,10,0.000,0.000
spread100ms,eps_ecmp,10,0.000,0.000
spread100ms,pure_ocs_ksp_greedy,10,0.126,0.027
spread100ms,ocs_eps_preset_dynamic_greedy,10,0.205,0.068
spread100ms,pure_ocs_pruned,10,0.259,0.062
spread100ms,ocs_eps_pruned,10,0.304,0.091
spread100ms,ocs_eps_large_small,10,0.000,0.000
spread100ms,ocs_eps_preset_greedy,10,0.128,0.030
spread100ms,pure_ocs_3hop_preset,10,0.222,0.053
spread25ms,ocs_eps_global_ksp,10,0.000,0.000
spread25ms,pure_ocs_ksp,10,0.000,0.000
spread25ms,eps_ecmp,10,0.000,0.000
spread25ms,pure_ocs_ksp_greedy,10,0.155,0.013
spread25ms,ocs_eps_preset_dynamic_greedy,10,0.282,0.091
spread25ms,pure_ocs_pruned,10,0.596,0.531
spread25ms,ocs_eps_pruned,10,0.344,0.039
spread25ms,ocs_eps_large_small,10,0.000,0.000
spread25ms,ocs_eps_preset_greedy,10,0.217,0.157
spread25ms,pure_ocs_3hop_preset,10,0.392,0.302
spread50ms,ocs_eps_global_ksp,10,0.000,0.000
spread50ms,pure_ocs_ksp,10,0.000,0.000
spread50ms,eps_ecmp,10,0.000,0.000
spread50ms,pure_ocs_ksp_greedy,10,0.143,0.025
spread50ms,ocs_eps_preset_dynamic_greedy,10,0.225,0.027
spread50ms,pure_ocs_pruned,10,0.669,0.742
spread50ms,ocs_eps_pruned,10,0.331,0.070
spread50ms,ocs_eps_large_small,10,0.000,0.000
spread50ms,ocs_eps_preset_greedy,10,0.145,0.010
spread50ms,pure_ocs_3hop_preset,10,0.337,0.146
spread75ms,ocs_eps_global_ksp,10,0.000,0.000
spread75ms,pure_ocs_ksp,10,0.000,0.000
spread75ms,eps_ecmp,10,0.000,0.000
spread75ms,pure_ocs_ksp_greedy,10,0.139,0.022
spread75ms,ocs_eps_preset_dynamic_greedy,10,0.222,0.032
spread75ms,pure_ocs_pruned,10,0.375,0.154
spread75ms,ocs_eps_pruned,10,0.344,0.113
spread75ms,ocs_eps_large_small,10,0.000,0.000
spread75ms,ocs_eps_preset_greedy,10,0.137,0.013
spread75ms,pure_ocs_3hop_preset,10,0.384,0.187
