seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,0.881
42,pure_ocs_ksp,1.384
42,eps_ecmp,0.375
42,pure_ocs_ksp_greedy,1.274
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.193
42,ocs_eps_pruned,0.970
42,ocs_eps_large_small,2.400
42,ocs_eps_preset_greedy,1.767
42,pure_ocs_3hop_preset,1.193
43,ocs_eps_global_ksp,1.026
43,pure_ocs_ksp,0.937
43,eps_ecmp,0.329
43,pure_ocs_ksp_greedy,1.163
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.038
43,ocs_eps_pruned,0.522
43,ocs_eps_large_small,1.661
43,ocs_eps_preset_greedy,1.470
43,pure_ocs_3hop_preset,1.038
44,ocs_eps_global_ksp,1.186
44,pure_ocs_ksp,1.598
44,eps_ecmp,0.436
44,pure_ocs_ksp_greedy,1.262
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.469
44,ocs_eps_pruned,0.936
44,ocs_eps_large_small,2.194
44,ocs_eps_preset_greedy,1.675
44,pure_ocs_3hop_preset,1.469
45,ocs_eps_global_ksp,1.228
45,pure_ocs_ksp,1.472
45,eps_ecmp,0.476
45,pure_ocs_ksp_greedy,1.692
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.695
45,ocs_eps_pruned,1.514
45,ocs_eps_large_small,2.607
45,ocs_eps_preset_greedy,1.731
45,pure_ocs_3hop_preset,1.695
46,ocs_eps_global_ksp,1.313
46,pure_ocs_ksp,1.369
46,eps_ecmp,0.334
46,pure_ocs_ksp_greedy,1.303
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.383
46,ocs_eps_pruned,0.759
46,ocs_eps_large_small,1.818
46,ocs_eps_preset_greedy,1.651
46,pure_ocs_3hop_preset,1.383
47,ocs_eps_global_ksp,1.051
47,pure_ocs_ksp,1.262
47,eps_ecmp,0.333
47,pure_ocs_ksp_greedy,0.973
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,0.952
47,ocs_eps_pruned,0.966
47,ocs_eps_large_small,1.839
47,ocs_eps_preset_greedy,1.206
47,pure_ocs_3hop_preset,0.952
48,ocs_eps_global_ksp,1.158
48,pure_ocs_ksp,1.453
48,eps_ecmp,0.457
48,pure_ocs_ksp_greedy,1.122
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.159
48,ocs_eps_pruned,0.734
48,ocs_eps_large_small,2.258
48,ocs_eps_preset_greedy,1.577
48,pure_ocs_3hop_preset,1.159
49,ocs_eps_global_ksp,1.137
49,pure_ocs_ksp,1.285
49,eps_ecmp,0.343
49,pure_ocs_ksp_greedy,1.282
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,0.936
49,ocs_eps_pruned,0.822
49,ocs_eps_large_small,1.652
49,ocs_eps_preset_greedy,1.650
49,pure_ocs_3hop_preset,0.936
50,ocs_eps_global_ksp,1.239
50,pure_ocs_ksp,1.696
50,eps_ecmp,0.396
50,pure_ocs_ksp_greedy,1.394
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,0.976
50,ocs_eps_pruned,0.839
50,ocs_eps_large_small,1.548
50,ocs_eps_preset_greedy,1.699
50,pure_ocs_3hop_preset,0.976
51,ocs_eps_global_ksp,1.162
51,pure_ocs_ksp,1.198
51,eps_ecmp,0.298
51,pure_ocs_ksp_greedy,0.908
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.102
51,ocs_eps_pruned,0.830
51,ocs_eps_large_small,1.551
51,ocs_eps_preset_greedy,1.487
51,pure_ocs_3hop_preset,1.102
