seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.149
42,ocs_eps_preset_dynamic_greedy,0.238
42,pure_ocs_pruned,0.281
42,ocs_eps_pruned,0.357
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.145
42,pure_ocs_3hop_preset,0.330
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.158
43,ocs_eps_preset_dynamic_greedy,0.701
43,pure_ocs_pruned,0.280
43,ocs_eps_pruned,0.401
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.166
43,pure_ocs_3hop_preset,0.267
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.171
44,ocs_eps_preset_dynamic_greedy,0.252
44,pure_ocs_pruned,0.353
44,ocs_eps_pruned,0.342
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.164
44,pure_ocs_3hop_preset,0.715
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.161
45,ocs_eps_preset_dynamic_greedy,0.272
45,pure_ocs_pruned,0.399
45,ocs_eps_pruned,0.738
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.151
45,pure_ocs_3hop_preset,0.677
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.149
46,ocs_eps_preset_dynamic_greedy,0.249
46,pure_ocs_pruned,0.624
46,ocs_eps_pruned,0.373
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.172
46,pure_ocs_3hop_preset,0.258
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.114
47,ocs_eps_preset_dynamic_greedy,0.275
47,pure_ocs_pruned,0.279
47,ocs_eps_pruned,0.300
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.129
47,pure_ocs_3hop_preset,0.275
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.127
48,ocs_eps_preset_dynamic_greedy,0.229
48,pure_ocs_pruned,0.254
48,ocs_eps_pruned,0.387
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.147
48,pure_ocs_3hop_preset,0.266
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.145
49,ocs_eps_preset_dynamic_greedy,0.293
49,pure_ocs_pruned,0.309
49,ocs_eps_pruned,0.366
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.155
49,pure_ocs_3hop_preset,0.237
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.181
50,ocs_eps_preset_dynamic_greedy,0.433
50,pure_ocs_pruned,0.287
50,ocs_eps_pruned,0.350
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.157
50,pure_ocs_3hop_preset,0.708
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.181
51,ocs_eps_preset_dynamic_greedy,0.288
51,pure_ocs_pruned,0.314
51,ocs_eps_pruned,0.361
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.130
51,pure_ocs_3hop_preset,0.543
