seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.071
42,pure_ocs_ksp,1.366
42,eps_ecmp,0.483
42,pure_ocs_ksp_greedy,1.202
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.180
42,ocs_eps_pruned,0.767
42,ocs_eps_large_small,1.705
42,ocs_eps_preset_greedy,1.609
42,pure_ocs_3hop_preset,1.180
43,ocs_eps_global_ksp,1.056
43,pure_ocs_ksp,1.308
43,eps_ecmp,0.506
43,pure_ocs_ksp_greedy,1.112
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.130
43,ocs_eps_pruned,0.792
43,ocs_eps_large_small,1.659
43,ocs_eps_preset_greedy,1.509
43,pure_ocs_3hop_preset,1.130
44,ocs_eps_global_ksp,1.157
44,pure_ocs_ksp,1.380
44,eps_ecmp,0.505
44,pure_ocs_ksp_greedy,1.254
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.094
44,ocs_eps_pruned,0.904
44,ocs_eps_large_small,1.756
44,ocs_eps_preset_greedy,1.637
44,pure_ocs_3hop_preset,1.094
45,ocs_eps_global_ksp,1.190
45,pure_ocs_ksp,1.402
45,eps_ecmp,0.655
45,pure_ocs_ksp_greedy,1.383
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.310
45,ocs_eps_pruned,0.948
45,ocs_eps_large_small,2.012
45,ocs_eps_preset_greedy,1.778
45,pure_ocs_3hop_preset,1.310
46,ocs_eps_global_ksp,1.028
46,pure_ocs_ksp,1.257
46,eps_ecmp,0.560
46,pure_ocs_ksp_greedy,1.177
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.099
46,ocs_eps_pruned,0.907
46,ocs_eps_large_small,1.641
46,ocs_eps_preset_greedy,1.258
46,pure_ocs_3hop_preset,1.099
47,ocs_eps_global_ksp,1.176
47,pure_ocs_ksp,1.274
47,eps_ecmp,0.599
47,pure_ocs_ksp_greedy,1.090
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.026
47,ocs_eps_pruned,0.984
47,ocs_eps_large_small,1.786
47,ocs_eps_preset_greedy,1.398
47,pure_ocs_3hop_preset,1.026
48,ocs_eps_global_ksp,1.045
48,pure_ocs_ksp,1.192
48,eps_ecmp,0.466
48,pure_ocs_ksp_greedy,1.148
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.159
48,ocs_eps_pruned,0.796
48,ocs_eps_large_small,1.802
48,ocs_eps_preset_greedy,1.479
48,pure_ocs_3hop_preset,1.159
49,ocs_eps_global_ksp,1.003
49,pure_ocs_ksp,1.161
49,eps_ecmp,0.515
49,pure_ocs_ksp_greedy,1.179
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.069
49,ocs_eps_pruned,0.823
49,ocs_eps_large_small,1.488
49,ocs_eps_preset_greedy,1.374
49,pure_ocs_3hop_preset,1.069
50,ocs_eps_global_ksp,1.099
50,pure_ocs_ksp,1.207
50,eps_ecmp,0.449
50,pure_ocs_ksp_greedy,1.203
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.162
50,ocs_eps_pruned,0.875
50,ocs_eps_large_small,1.983
50,ocs_eps_preset_greedy,1.456
50,pure_ocs_3hop_preset,1.162
51,ocs_eps_global_ksp,1.127
51,pure_ocs_ksp,1.360
51,eps_ecmp,0.485
51,pure_ocs_ksp_greedy,1.190
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.051
51,ocs_eps_pruned,0.848
51,ocs_eps_large_small,1.725
51,ocs_eps_preset_greedy,1.646
51,pure_ocs_3hop_preset,1.051
