scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007985,48
eps_ecmp,1000.000000,0.004273,24
eps_ecmp,20000.000000,0.149408,64
eps_ecmp,100000.000000,0.661015,136
eps_ecmp,200000.000000,1.472611,224
eps_ecmp,300000.000000,2.164260,232
eps_ecmp,400000.000000,3.062204,368
eps_ecmp,800000.000000,21.066927,800
eps_ecmp,1000000.000000,25.992356,408
eps_ecmp,2000000.000000,38.968918,1336
eps_ecmp,3000000.000000,48.004598,1000
eps_ecmp,10000000.000000,82.944359,1648
eps_ecmp,20000000.000000,100.309658,1384
eps_ecmp,30000000.000000,119.206126,720
eps_ecmp,100000000.000000,197.163555,288
ocs_eps_global_ksp,100.000000,0.022474,48
ocs_eps_global_ksp,1000.000000,0.011364,24
ocs_eps_global_ksp,20000.000000,0.237796,64
ocs_eps_global_ksp,100000.000000,0.800512,136
ocs_eps_global_ksp,200000.000000,1.957977,224
ocs_eps_global_ksp,300000.000000,3.561248,232
ocs_eps_global_ksp,400000.000000,27.201521,368
ocs_eps_global_ksp,800000.000000,28.253350,800
ocs_eps_global_ksp,1000000.000000,30.702627,408
ocs_eps_global_ksp,2000000.000000,63.875233,1336
ocs_eps_global_ksp,3000000.000000,72.649498,1000
ocs_eps_global_ksp,10000000.000000,149.960235,1648
ocs_eps_global_ksp,20000000.000000,207.053350,1384
ocs_eps_global_ksp,30000000.000000,250.518346,720
ocs_eps_global_ksp,100000000.000000,425.955617,288
ocs_eps_large_small,100.000000,0.014807,48
ocs_eps_large_small,1000.000000,0.009107,24
ocs_eps_large_small,20000.000000,0.254173,64
ocs_eps_large_small,100000.000000,0.793473,136
ocs_eps_large_small,200000.000000,2.286846,224
ocs_eps_large_small,300000.000000,3.042723,232
ocs_eps_large_small,400000.000000,27.879452,368
ocs_eps_large_small,800000.000000,26.677374,800
ocs_eps_large_small,1000000.000000,28.877975,408
ocs_eps_large_small,2000000.000000,55.378802,1336
ocs_eps_large_small,3000000.000000,66.854218,1000
ocs_eps_large_small,10000000.000000,99.960563,1648
ocs_eps_large_small,20000000.000000,339.901362,1384
ocs_eps_large_small,30000000.000000,478.959898,720
ocs_eps_large_small,100000000.000000,800.333695,288
ocs_eps_preset_dynamic_greedy,100.000000,0.016316,48
ocs_eps_preset_dynamic_greedy,1000.000000,0.034319,24
ocs_eps_preset_dynamic_greedy,20000.000000,0.186393,64
ocs_eps_preset_dynamic_greedy,100000.000000,0.937391,136
ocs_eps_preset_dynamic_greedy,200000.000000,1.769121,224
ocs_eps_preset_dynamic_greedy,300000.000000,4.299073,232
ocs_eps_preset_dynamic_greedy,400000.000000,18.002155,368
ocs_eps_preset_dynamic_greedy,800000.000000,24.506375,800
ocs_eps_preset_dynamic_greedy,1000000.000000,28.294229,408
ocs_eps_preset_dynamic_greedy,2000000.000000,56.119695,1336
ocs_eps_preset_dynamic_greedy,3000000.000000,75.437915,1000
ocs_eps_preset_dynamic_greedy,10000000.000000,147.486873,1648
ocs_eps_preset_dynamic_greedy,20000000.000000,192.825515,1384
ocs_eps_preset_dynamic_greedy,30000000.000000,240.998582,720
ocs_eps_preset_dynamic_greedy,100000000.000000,420.135987,288
ocs_eps_preset_greedy,100.000000,0.020860,48
ocs_eps_preset_greedy,1000.000000,0.041928,24
ocs_eps_preset_greedy,20000.000000,0.203922,64
ocs_eps_preset_greedy,100000.000000,1.192181,136
ocs_eps_preset_greedy,200000.000000,11.515303,224
ocs_eps_preset_greedy,300000.000000,4.824787,232
ocs_eps_preset_greedy,400000.000000,28.218243,368
ocs_eps_preset_greedy,800000.000000,34.488179,800
ocs_eps_preset_greedy,1000000.000000,44.692158,408
ocs_eps_preset_greedy,2000000.000000,70.959556,1336
ocs_eps_preset_greedy,3000000.000000,91.216001,1000
ocs_eps_preset_greedy,10000000.000000,205.089342,1648
ocs_eps_preset_greedy,20000000.000000,250.879193,1384
ocs_eps_preset_greedy,30000000.000000,311.853738,720
ocs_eps_preset_greedy,100000000.000000,476.221321,288
ocs_eps_pruned,100.000000,0.020061,48
ocs_eps_pruned,1000.000000,0.009331,24
ocs_eps_pruned,20000.000000,0.163162,64
ocs_eps_pruned,100000.000000,0.836911,136
ocs_eps_pruned,200000.000000,2.130316,224
ocs_eps_pruned,300000.000000,2.656370,232
ocs_eps_pruned,400000.000000,17.114313,368
ocs_eps_pruned,800000.000000,27.314302,800
ocs_eps_pruned,1000000.000000,29.104936,408
ocs_eps_pruned,2000000.000000,48.244791,1336
ocs_eps_pruned,3000000.000000,68.458808,1000
ocs_eps_pruned,10000000.000000,113.017112,1648
ocs_eps_pruned,20000000.000000,170.660997,1384
ocs_eps_pruned,30000000.000000,209.934793,720
ocs_eps_pruned,100000000.000000,306.933067,288
pure_ocs_3hop_preset,100.000000,0.013807,48
pure_ocs_3hop_preset,1000.000000,0.021275,24
pure_ocs_3hop_preset,20000.000000,0.218206,64
pure_ocs_3hop_preset,100000.000000,0.803629,136
pure_ocs_3hop_preset,200000.000000,1.574575,224
pure_ocs_3hop_preset,300000.000000,2.358244,232
pure_ocs_3hop_preset,400000.000000,16.551824,368
pure_ocs_3hop_preset,800000.000000,28.625706,800
pure_ocs_3hop_preset,1000000.000000,30.566029,408
pure_ocs_3hop_preset,2000000.000000,67.417904,1336
pure_ocs_3hop_preset,3000000.000000,77.727267,1000
pure_ocs_3hop_preset,10000000.000000,137.094133,1648
pure_ocs_3hop_preset,20000000.000000,197.469612,1384
pure_ocs_3hop_preset,30000000.000000,228.475182,720
pure_ocs_3hop_preset,100000000.000000,415.915917,288
pure_ocs_ksp,100.000000,0.019202,48
pure_ocs_ksp,1000.000000,0.024758,24
pure_ocs_ksp,20000.000000,0.202570,64
pure_ocs_ksp,100000.000000,1.004431,136
pure_ocs_ksp,200000.000000,2.497712,224
pure_ocs_ksp,300000.000000,4.372027,232
pure_ocs_ksp,400000.000000,18.429446,368
pure_ocs_ksp,800000.000000,27.411307,800
pure_ocs_ksp,1000000.000000,31.457238,408
pure_ocs_ksp,2000000.000000,68.224322,1336
pure_ocs_ksp,3000000.000000,80.699660,1000
pure_ocs_ksp,10000000.000000,171.675192,1648
pure_ocs_ksp,20000000.000000,247.699113,1384
pure_ocs_ksp,30000000.000000,315.187791,720
pure_ocs_ksp,100000000.000000,485.630941,288
pure_ocs_ksp_greedy,100.000000,0.012311,48
pure_ocs_ksp_greedy,1000.000000,0.025693,24
pure_ocs_ksp_greedy,20000.000000,0.216447,64
pure_ocs_ksp_greedy,100000.000000,0.854370,136
pure_ocs_ksp_greedy,200000.000000,2.401053,224
pure_ocs_ksp_greedy,300000.000000,3.292058,232
pure_ocs_ksp_greedy,400000.000000,15.068607,368
pure_ocs_ksp_greedy,800000.000000,26.169502,800
pure_ocs_ksp_greedy,1000000.000000,43.666775,408
pure_ocs_ksp_greedy,2000000.000000,60.791619,1336
pure_ocs_ksp_greedy,3000000.000000,76.056356,1000
pure_ocs_ksp_greedy,10000000.000000,176.968337,1648
pure_ocs_ksp_greedy,20000000.000000,206.870274,1384
pure_ocs_ksp_greedy,30000000.000000,246.572011,720
pure_ocs_ksp_greedy,100000000.000000,435.401269,288
pure_ocs_pruned,100.000000,0.013807,48
pure_ocs_pruned,1000.000000,0.021275,24
pure_ocs_pruned,20000.000000,0.218206,64
pure_ocs_pruned,100000.000000,0.803629,136
pure_ocs_pruned,200000.000000,1.574575,224
pure_ocs_pruned,300000.000000,2.358244,232
pure_ocs_pruned,400000.000000,16.551824,368
pure_ocs_pruned,800000.000000,28.625706,800
pure_ocs_pruned,1000000.000000,30.566029,408
pure_ocs_pruned,2000000.000000,67.417904,1336
pure_ocs_pruned,3000000.000000,77.727267,1000
pure_ocs_pruned,10000000.000000,137.094133,1648
