scheduler,avg_solve_time_ms,solve_time_ms,num_solve_calls,topo_file,traffic_in,traffic_out,log_file
ocs_eps_global_ksp,0.000000,0.000000,24,/home/xuheng/hyacinth/experiments/topology/n20_k3_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.ocs_eps_global_ksp.txt,ocs_eps_global_ksp.log
pure_ocs_ksp,0.000000,0.000000,24,/home/xuheng/hyacinth/experiments/topology/n20_k4_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.pure_ocs_ksp.txt,pure_ocs_ksp.log
eps_ecmp,0.000000,0.000000,24,/home/xuheng/hyacinth/experiments/topology/n20_k0_c8_eps4.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.eps_ecmp.txt,eps_ecmp.log
ocs_eps_large_small,0.000000,0.000000,24,/home/xuheng/hyacinth/experiments/topology/n20_k3_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.ocs_eps_large_small.txt,ocs_eps_large_small.log
pure_ocs_ksp_greedy,0.095167,2.284010,24,/home/xuheng/hyacinth/experiments/topology/n20_k4_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.pure_ocs_ksp_greedy.txt,pure_ocs_ksp_greedy.log
ocs_eps_preset_greedy,0.111832,2.683960,24,/home/xuheng/hyacinth/experiments/topology/n20_k3_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.ocs_eps_preset_greedy.txt,ocs_eps_preset_greedy.log
ocs_eps_preset_dynamic_greedy,0.219943,5.278640,24,/home/xuheng/hyacinth/experiments/topology/n20_k3_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.ocs_eps_preset_dynamic_greedy.txt,ocs_eps_preset_dynamic_greedy.log
pure_ocs_3hop_preset,0.382474,9.179380,24,/home/xuheng/hyacinth/experiments/topology/n20_k4_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.pure_ocs_3hop_preset.txt,pure_ocs_3hop_preset.log
pure_ocs_pruned,0.328963,7.895120,24,/home/xuheng/hyacinth/experiments/topology/n20_k4_c8_eps0.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.pure_ocs_pruned.txt,pure_ocs_pruned.log
ocs_eps_pruned,0.384140,9.219350,24,/home/xuheng/hyacinth/experiments/topology/n20_k3_c8_eps1.txt,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/native_traffic/infer_n20_mix1L1M1S_seed49_20racks.htsim,/home/xuheng/hyacinth/experiments/expe_logs_10round_40tor/topo/batch_20260510_155035_topo/n20_mix1L1M1S/seed_49/transformed_traffic/traffic_routed.ocs_eps_pruned.txt,ocs_eps_pruned.log
