seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,0.975
42,pure_ocs_ksp,1.006
42,eps_ecmp,0.619
42,pure_ocs_ksp_greedy,1.034
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.919
42,ocs_eps_pruned,0.841
42,ocs_eps_large_small,1.432
42,ocs_eps_preset_greedy,1.246
42,pure_ocs_3hop_preset,0.919
43,ocs_eps_global_ksp,0.990
43,pure_ocs_ksp,1.014
43,eps_ecmp,0.570
43,pure_ocs_ksp_greedy,0.928
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.961
43,ocs_eps_pruned,0.846
43,ocs_eps_large_small,1.503
43,ocs_eps_preset_greedy,1.236
43,pure_ocs_3hop_preset,0.961
44,ocs_eps_global_ksp,1.098
44,pure_ocs_ksp,1.007
44,eps_ecmp,0.613
44,pure_ocs_ksp_greedy,1.152
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,0.960
44,ocs_eps_pruned,0.811
44,ocs_eps_large_small,1.821
44,ocs_eps_preset_greedy,1.466
44,pure_ocs_3hop_preset,0.960
45,ocs_eps_global_ksp,1.108
45,pure_ocs_ksp,1.370
45,eps_ecmp,0.567
45,pure_ocs_ksp_greedy,1.119
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.042
45,ocs_eps_pruned,1.079
45,ocs_eps_large_small,2.127
45,ocs_eps_preset_greedy,1.395
45,pure_ocs_3hop_preset,1.042
46,ocs_eps_global_ksp,1.219
46,pure_ocs_ksp,1.095
46,eps_ecmp,0.637
46,pure_ocs_ksp_greedy,1.073
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.851
46,ocs_eps_pruned,0.814
46,ocs_eps_large_small,1.607
46,ocs_eps_preset_greedy,1.226
46,pure_ocs_3hop_preset,0.851
47,ocs_eps_global_ksp,1.100
47,pure_ocs_ksp,1.262
47,eps_ecmp,0.568
47,pure_ocs_ksp_greedy,1.048
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,0.971
47,ocs_eps_pruned,0.841
47,ocs_eps_large_small,1.531
47,ocs_eps_preset_greedy,1.301
47,pure_ocs_3hop_preset,0.971
48,ocs_eps_global_ksp,1.122
48,pure_ocs_ksp,1.241
48,eps_ecmp,0.675
48,pure_ocs_ksp_greedy,1.074
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.075
48,ocs_eps_pruned,1.019
48,ocs_eps_large_small,1.752
48,ocs_eps_preset_greedy,1.201
48,pure_ocs_3hop_preset,1.075
49,ocs_eps_global_ksp,1.253
49,pure_ocs_ksp,1.223
49,eps_ecmp,0.637
49,pure_ocs_ksp_greedy,1.028
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.087
49,ocs_eps_pruned,0.940
49,ocs_eps_large_small,1.868
49,ocs_eps_preset_greedy,1.334
49,pure_ocs_3hop_preset,1.087
50,ocs_eps_global_ksp,1.203
50,pure_ocs_ksp,1.036
50,eps_ecmp,0.536
50,pure_ocs_ksp_greedy,1.015
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,0.900
50,ocs_eps_pruned,0.765
50,ocs_eps_large_small,1.747
50,ocs_eps_preset_greedy,1.378
50,pure_ocs_3hop_preset,0.900
51,ocs_eps_global_ksp,1.010
51,pure_ocs_ksp,1.045
51,eps_ecmp,0.664
51,pure_ocs_ksp_greedy,1.061
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.958
51,ocs_eps_pruned,0.878
51,ocs_eps_large_small,1.574
51,ocs_eps_preset_greedy,1.283
51,pure_ocs_3hop_preset,0.958
