seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.838
42,pure_ocs_ksp,1.122
42,eps_ecmp,0.819
42,pure_ocs_ksp_greedy,1.151
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.213
42,ocs_eps_pruned,0.950
42,ocs_eps_large_small,1.697
42,ocs_eps_preset_greedy,1.378
42,pure_ocs_3hop_preset,1.213
43,ocs_eps_global_ksp,1.047
43,pure_ocs_ksp,1.039
43,eps_ecmp,0.638
43,pure_ocs_ksp_greedy,0.949
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.994
43,ocs_eps_pruned,0.883
43,ocs_eps_large_small,1.556
43,ocs_eps_preset_greedy,1.235
43,pure_ocs_3hop_preset,0.994
44,ocs_eps_global_ksp,1.226
44,pure_ocs_ksp,1.120
44,eps_ecmp,0.642
44,pure_ocs_ksp_greedy,1.001
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,9.662
44,ocs_eps_pruned,0.861
44,ocs_eps_large_small,3.650
44,ocs_eps_preset_greedy,2.309
44,pure_ocs_3hop_preset,9.662
45,ocs_eps_global_ksp,1.051
45,pure_ocs_ksp,1.129
45,eps_ecmp,0.585
45,pure_ocs_ksp_greedy,1.038
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,0.948
45,ocs_eps_pruned,0.880
45,ocs_eps_large_small,1.150
45,ocs_eps_preset_greedy,1.643
45,pure_ocs_3hop_preset,0.948
46,ocs_eps_global_ksp,1.366
46,pure_ocs_ksp,1.410
46,eps_ecmp,0.741
46,pure_ocs_ksp_greedy,1.327
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.992
46,ocs_eps_pruned,1.002
46,ocs_eps_large_small,1.456
46,ocs_eps_preset_greedy,1.621
46,pure_ocs_3hop_preset,0.992
47,ocs_eps_global_ksp,1.099
47,pure_ocs_ksp,1.840
47,eps_ecmp,0.704
47,pure_ocs_ksp_greedy,1.511
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.112
47,ocs_eps_pruned,1.192
47,ocs_eps_large_small,2.023
47,ocs_eps_preset_greedy,2.666
47,pure_ocs_3hop_preset,1.112
48,ocs_eps_global_ksp,1.696
48,pure_ocs_ksp,1.182
48,eps_ecmp,0.690
48,pure_ocs_ksp_greedy,1.105
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.025
48,ocs_eps_pruned,0.931
48,ocs_eps_large_small,2.463
48,ocs_eps_preset_greedy,1.494
48,pure_ocs_3hop_preset,1.025
49,ocs_eps_global_ksp,1.245
49,pure_ocs_ksp,1.162
49,eps_ecmp,0.703
49,pure_ocs_ksp_greedy,1.091
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.048
49,ocs_eps_pruned,0.887
49,ocs_eps_large_small,1.305
49,ocs_eps_preset_greedy,1.362
49,pure_ocs_3hop_preset,1.048
50,ocs_eps_global_ksp,1.650
50,pure_ocs_ksp,1.706
50,eps_ecmp,0.713
50,pure_ocs_ksp_greedy,1.692
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.542
50,ocs_eps_pruned,1.333
50,ocs_eps_large_small,2.306
50,ocs_eps_preset_greedy,2.949
50,pure_ocs_3hop_preset,1.542
51,ocs_eps_global_ksp,1.769
51,pure_ocs_ksp,1.121
51,eps_ecmp,0.704
51,pure_ocs_ksp_greedy,0.904
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.912
51,ocs_eps_pruned,0.894
51,ocs_eps_large_small,1.223
51,ocs_eps_preset_greedy,1.857
51,pure_ocs_3hop_preset,0.912
