seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.171
42,ocs_eps_preset_dynamic_greedy,0.323
42,pure_ocs_pruned,0.261
42,ocs_eps_pruned,0.370
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.169
42,pure_ocs_3hop_preset,0.283
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.169
43,ocs_eps_preset_dynamic_greedy,0.275
43,pure_ocs_pruned,0.311
43,ocs_eps_pruned,0.298
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.156
43,pure_ocs_3hop_preset,0.276
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.153
44,ocs_eps_preset_dynamic_greedy,1.029
44,pure_ocs_pruned,0.530
44,ocs_eps_pruned,0.364
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.169
44,pure_ocs_3hop_preset,1.056
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.164
45,ocs_eps_preset_dynamic_greedy,0.283
45,pure_ocs_pruned,0.299
45,ocs_eps_pruned,0.391
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.135
45,pure_ocs_3hop_preset,0.299
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.149
46,ocs_eps_preset_dynamic_greedy,0.335
46,pure_ocs_pruned,0.403
46,ocs_eps_pruned,0.354
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.171
46,pure_ocs_3hop_preset,0.264
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.195
47,ocs_eps_preset_dynamic_greedy,0.226
47,pure_ocs_pruned,0.259
47,ocs_eps_pruned,0.342
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.171
47,pure_ocs_3hop_preset,0.292
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.155
48,ocs_eps_preset_dynamic_greedy,0.294
48,pure_ocs_pruned,1.424
48,ocs_eps_pruned,0.346
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.172
48,pure_ocs_3hop_preset,0.299
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.135
49,ocs_eps_preset_dynamic_greedy,0.395
49,pure_ocs_pruned,0.278
49,ocs_eps_pruned,0.364
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.168
49,pure_ocs_3hop_preset,1.398
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.173
50,ocs_eps_preset_dynamic_greedy,0.291
50,pure_ocs_pruned,0.264
50,ocs_eps_pruned,0.322
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.170
50,pure_ocs_3hop_preset,0.706
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.138
51,ocs_eps_preset_dynamic_greedy,0.253
51,pure_ocs_pruned,0.555
51,ocs_eps_pruned,0.355
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.158
51,pure_ocs_3hop_preset,0.282
