model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[4,5,7,10,12,17,21,24,28,30,31,32,33,35,36,39,41,42,43,44,45,47,48,50,52,53,54,58,59,63,67,70,73,76,78,79]","[253,103,543,471,270,423,252,511]|[391,198,567,39,38,366,631,351]|[47,46,630,367,287,295,247,614]|[142,271,319,269,63,175,263,350]|[254,102,407,439,639,199,438,143]|[479,268,87,638,541,230,335,255]|[431,383,101,286,478,343,359,591]|[590,629,542,390,430,566,615,231]"
L2,L,64,8,64,36,0.500000,"[0,1,3,4,8,9,10,13,16,19,20,21,22,23,24,25,26,27,29,31,32,33,34,36,40,42,45,48,51,53,56,58,59,63,65,77]","[326,238,622,205,340,37,470,327]|[135,79,165,223,364,389,109,71]|[262,526,191,362,215,183,278,388]|[207,509,206,86,415,174,279,477]|[266,455,182,36,250,341,342,429]|[85,293,237,111,190,267,294,166]|[14,196,167,239,623,197,15,110]|[251,510,365,159,31,363,527,7]"
L3,L,64,8,64,36,0.500000,"[1,3,6,7,10,11,14,22,24,26,27,28,29,33,36,37,38,40,41,42,44,48,50,51,53,54,57,59,61,64,69,72,75,76,77,79]","[62,311,461,30,325,357,621,476]|[84,118,583,13,636,55,290,428]|[463,303,119,181,495,222,61,519]|[60,613,302,437,310,333,332,229]|[28,637,220,405,291,214,27,462]|[581,582,475,339,612,607,195,331]|[358,236,414,265,29,494,387,292]|[289,559,221,406,95,620,334,606]"
L4,L,64,8,64,36,0.500000,"[0,1,2,6,7,10,14,16,18,20,22,23,28,32,37,42,44,45,47,49,51,52,53,56,58,60,61,67,68,70,71,75,76,77,78,79]","[164,54,23,574,150,382,58,492]|[134,117,180,469,565,627,228,539]|[5,260,188,380,619,10,338,261]|[491,301,468,427,413,189,12,399]|[420,11,635,148,149,604,551,628]|[573,611,151,398,618,83,421,540]|[57,116,493,356,550,575,605,381]|[6,487,361,422,610,454,626,59]"
M1,M,40,5,40,22,0.485714,"[5,7,9,11,14,21,23,24,31,32,33,34,37,42,52,55,56,58,60,63,66,70]","[485,45,453,507,187]|[452,264,508,44,534]|[94,484,564,77,277]|[417,535,186,115,249]|[56,419,172,258,173]|[259,467,300,483,194]|[171,337,78,416,447]|[276,93,486,92,418]"
M2,M,40,6,40,23,0.500000,"[4,8,18,30,31,32,34,36,39,41,42,44,45,49,51,53,54,55,57,60,62,73,75]","[318,147,316,256,426]|[355,70,317,425,603]|[436,35,460,589,482]|[444,360,503,601,354]|[502,434,397,275,435]|[248,445,446,257,336]|[34,315,396,330,395]|[288,246,412,69,602]"
M3,M,40,6,40,23,0.500000,"[16,18,22,23,24,26,30,35,37,43,44,50,51,56,61,62,65,67,69,71,75,76,78]","[299,177,349,403,193]|[213,404,242,179,525]|[211,572,178,490,133]|[243,558,285,410,245]|[500,411,609,538,185]|[283,244,353,409,600]|[284,501,146,212,241]|[348,347,625,451,557]"
S1,S,32,5,32,18,0.481481,"[0,4,12,14,18,26,34,35,37,39,40,48,59,62,63,65,70,74]","[474,4,210,313]|[597,2,473,522]|[3,145,282,114]|[562,314,33,563]|[472,100,324,599]|[499,99,298,596]|[523,506,323,505]|[274,386,598,524]"
S2,S,32,5,32,18,0.481481,"[11,14,19,25,35,37,39,43,49,53,54,55,58,61,65,70,72,79]","[156,345,394,91]|[281,432,561,296]|[113,580,346,579]|[312,157,297,466]|[443,578,280,424]|[633,442,489,204]|[433,634,440,112]|[158,521,441,488]"
S3,S,32,5,32,18,0.481481,"[1,2,5,11,13,15,18,22,28,34,40,43,48,57,64,68,77,79]","[126,21,227,344]|[548,272,225,273]|[549,125,108,90]|[518,516,144,226]|[176,517,515,42]|[107,127,43,632]|[22,459,9,617]|[458,457,385,322]"
