case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.133,0.224
n20_mix1L1M1S,pure_ocs_ksp,10,1.023,0.315
n20_mix1L1M1S,eps_ecmp,10,0.679,0.141
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.070,0.373
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_pruned,10,0.961,0.207
n20_mix1L1M1S,ocs_eps_pruned,10,0.830,0.253
n20_mix1L1M1S,ocs_eps_large_small,10,1.689,0.459
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.246,0.305
n20_mix1L1M1S,pure_ocs_3hop_preset,10,0.961,0.207
n40_mix3L2M1S,ocs_eps_global_ksp,10,1.202,0.160
n40_mix3L2M1S,pure_ocs_ksp,10,1.289,0.197
n40_mix3L2M1S,eps_ecmp,10,0.855,0.284
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.292,0.150
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_pruned,10,1.219,0.193
n40_mix3L2M1S,ocs_eps_pruned,10,1.152,0.271
n40_mix3L2M1S,ocs_eps_large_small,10,1.767,0.384
n40_mix3L2M1S,ocs_eps_preset_greedy,10,1.430,0.293
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.219,0.193
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.584,0.325
n80_mix4L3M3S,pure_ocs_ksp,10,1.110,0.288
n80_mix4L3M3S,eps_ecmp,10,1.140,0.237
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.037,0.200
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_pruned,10,1.078,0.266
n80_mix4L3M3S,ocs_eps_pruned,10,1.042,0.170
n80_mix4L3M3S,ocs_eps_large_small,10,1.051,0.251
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.044,0.259
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.078,0.266
