case_base,seed,scheduler,avg_solve_time_ms
n20_mix1L1M1S,42,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,42,pure_ocs_ksp,0.000
n20_mix1L1M1S,42,eps_ecmp,0.000
n20_mix1L1M1S,42,pure_ocs_ksp_greedy,0.067
n20_mix1L1M1S,42,ocs_eps_preset_dynamic_greedy,0.209
n20_mix1L1M1S,42,pure_ocs_pruned,0.370
n20_mix1L1M1S,42,ocs_eps_pruned,0.315
n20_mix1L1M1S,42,ocs_eps_large_small,0.000
n20_mix1L1M1S,42,ocs_eps_preset_greedy,0.109
n20_mix1L1M1S,42,pure_ocs_3hop_preset,0.318
n20_mix1L1M1S,43,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,43,pure_ocs_ksp,0.000
n20_mix1L1M1S,43,eps_ecmp,0.000
n20_mix1L1M1S,43,pure_ocs_ksp_greedy,0.095
n20_mix1L1M1S,43,ocs_eps_preset_dynamic_greedy,0.214
n20_mix1L1M1S,43,pure_ocs_pruned,0.383
n20_mix1L1M1S,43,ocs_eps_pruned,0.690
n20_mix1L1M1S,43,ocs_eps_large_small,0.000
n20_mix1L1M1S,43,ocs_eps_preset_greedy,0.117
n20_mix1L1M1S,43,pure_ocs_3hop_preset,0.400
n20_mix1L1M1S,44,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,44,pure_ocs_ksp,0.000
n20_mix1L1M1S,44,eps_ecmp,0.000
n20_mix1L1M1S,44,pure_ocs_ksp_greedy,0.098
n20_mix1L1M1S,44,ocs_eps_preset_dynamic_greedy,0.230
n20_mix1L1M1S,44,pure_ocs_pruned,0.524
n20_mix1L1M1S,44,ocs_eps_pruned,0.544
n20_mix1L1M1S,44,ocs_eps_large_small,0.000
n20_mix1L1M1S,44,ocs_eps_preset_greedy,0.133
n20_mix1L1M1S,44,pure_ocs_3hop_preset,0.381
n20_mix1L1M1S,45,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,45,pure_ocs_ksp,0.000
n20_mix1L1M1S,45,eps_ecmp,0.000
n20_mix1L1M1S,45,pure_ocs_ksp_greedy,0.072
n20_mix1L1M1S,45,ocs_eps_preset_dynamic_greedy,0.242
n20_mix1L1M1S,45,pure_ocs_pruned,0.413
n20_mix1L1M1S,45,ocs_eps_pruned,0.267
n20_mix1L1M1S,45,ocs_eps_large_small,0.000
n20_mix1L1M1S,45,ocs_eps_preset_greedy,0.117
n20_mix1L1M1S,45,pure_ocs_3hop_preset,0.343
n20_mix1L1M1S,46,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,46,pure_ocs_ksp,0.000
n20_mix1L1M1S,46,eps_ecmp,0.000
n20_mix1L1M1S,46,pure_ocs_ksp_greedy,0.092
n20_mix1L1M1S,46,ocs_eps_preset_dynamic_greedy,0.231
n20_mix1L1M1S,46,pure_ocs_pruned,0.242
n20_mix1L1M1S,46,ocs_eps_pruned,1.838
n20_mix1L1M1S,46,ocs_eps_large_small,0.000
n20_mix1L1M1S,46,ocs_eps_preset_greedy,0.111
n20_mix1L1M1S,46,pure_ocs_3hop_preset,0.349
n20_mix1L1M1S,47,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,47,pure_ocs_ksp,0.000
n20_mix1L1M1S,47,eps_ecmp,0.000
n20_mix1L1M1S,47,pure_ocs_ksp_greedy,0.100
n20_mix1L1M1S,47,ocs_eps_preset_dynamic_greedy,0.149
n20_mix1L1M1S,47,pure_ocs_pruned,0.502
n20_mix1L1M1S,47,ocs_eps_pruned,0.362
n20_mix1L1M1S,47,ocs_eps_large_small,0.000
n20_mix1L1M1S,47,ocs_eps_preset_greedy,0.112
n20_mix1L1M1S,47,pure_ocs_3hop_preset,0.327
n20_mix1L1M1S,48,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,48,pure_ocs_ksp,0.000
n20_mix1L1M1S,48,eps_ecmp,0.000
n20_mix1L1M1S,48,pure_ocs_ksp_greedy,0.092
n20_mix1L1M1S,48,ocs_eps_preset_dynamic_greedy,0.227
n20_mix1L1M1S,48,pure_ocs_pruned,0.422
n20_mix1L1M1S,48,ocs_eps_pruned,0.499
n20_mix1L1M1S,48,ocs_eps_large_small,0.000
n20_mix1L1M1S,48,ocs_eps_preset_greedy,0.117
n20_mix1L1M1S,48,pure_ocs_3hop_preset,0.203
n20_mix1L1M1S,49,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,49,pure_ocs_ksp,0.000
n20_mix1L1M1S,49,eps_ecmp,0.000
n20_mix1L1M1S,49,pure_ocs_ksp_greedy,0.095
n20_mix1L1M1S,49,ocs_eps_preset_dynamic_greedy,0.220
n20_mix1L1M1S,49,pure_ocs_pruned,0.329
n20_mix1L1M1S,49,ocs_eps_pruned,0.384
n20_mix1L1M1S,49,ocs_eps_large_small,0.000
n20_mix1L1M1S,49,ocs_eps_preset_greedy,0.112
n20_mix1L1M1S,49,pure_ocs_3hop_preset,0.382
n20_mix1L1M1S,50,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,50,pure_ocs_ksp,0.000
n20_mix1L1M1S,50,eps_ecmp,0.000
n20_mix1L1M1S,50,pure_ocs_ksp_greedy,0.099
n20_mix1L1M1S,50,ocs_eps_preset_dynamic_greedy,0.163
n20_mix1L1M1S,50,pure_ocs_pruned,0.391
n20_mix1L1M1S,50,ocs_eps_pruned,0.697
n20_mix1L1M1S,50,ocs_eps_large_small,0.000
n20_mix1L1M1S,50,ocs_eps_preset_greedy,0.126
n20_mix1L1M1S,50,pure_ocs_3hop_preset,0.385
n20_mix1L1M1S,51,ocs_eps_global_ksp,0.000
n20_mix1L1M1S,51,pure_ocs_ksp,0.000
n20_mix1L1M1S,51,eps_ecmp,0.000
n20_mix1L1M1S,51,pure_ocs_ksp_greedy,0.098
n20_mix1L1M1S,51,ocs_eps_preset_dynamic_greedy,0.242
n20_mix1L1M1S,51,pure_ocs_pruned,0.456
n20_mix1L1M1S,51,ocs_eps_pruned,0.333
n20_mix1L1M1S,51,ocs_eps_large_small,0.000
n20_mix1L1M1S,51,ocs_eps_preset_greedy,0.126
n20_mix1L1M1S,51,pure_ocs_3hop_preset,0.380
