gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
3,0.004094696,4094696,M1,1,320,5,5
9,0.007981412,7981412,M1,2,320,5,5
4,0.008481927,8481927,M2,1,320,5,5
15,0.010429910,10429910,M1,3,320,5,5
5,0.010928229,10928229,S1,1,256,4,4
10,0.011259236,11259236,M2,2,320,5,5
11,0.014304757,14304757,S1,2,256,4,4
16,0.015269535,15269535,M2,3,320,5,5
21,0.015357611,15357611,M1,4,320,5,5
27,0.017682479,17682479,M1,5,320,5,5
17,0.017871048,17871048,S1,3,256,4,4
22,0.019893043,19893043,M2,4,320,5,5
23,0.021739652,21739652,S1,4,256,4,4
33,0.022572063,22572063,M1,6,320,5,5
28,0.024005959,24005959,M2,5,320,5,5
34,0.024190812,24190812,M2,6,320,5,5
39,0.024629943,24629943,M1,7,320,5,5
40,0.026054324,26054324,M2,7,320,5,5
29,0.026066934,26066934,S1,5,256,4,4
46,0.026297816,26297816,M2,8,320,5,5
0,0.027802211,27802211,L1,1,512,8,8
45,0.028598354,28598354,M1,8,320,5,5
35,0.029764092,29764092,S1,6,256,4,4
6,0.031317378,31317378,L1,2,512,8,8
41,0.033768450,33768450,S1,7,256,4,4
47,0.034013268,34013268,S1,8,256,4,4
12,0.034486227,34486227,L1,3,512,8,8
18,0.039395257,39395257,L1,4,512,8,8
24,0.042497045,42497045,L1,5,512,8,8
30,0.044884575,44884575,L1,6,512,8,8
36,0.048691737,48691737,L1,7,512,8,8
42,0.053208377,53208377,L1,8,512,8,8
2,0.065410241,65410241,L3,1,512,8,8
8,0.070259317,70259317,L3,2,512,8,8
1,0.072069595,72069595,L2,1,512,8,8
14,0.075182207,75182207,L3,3,512,8,8
20,0.076623348,76623348,L3,4,512,8,8
7,0.076885651,76885651,L2,2,512,8,8
26,0.080292116,80292116,L3,5,512,8,8
13,0.080795677,80795677,L2,3,512,8,8
32,0.084042033,84042033,L3,6,512,8,8
19,0.085129684,85129684,L2,4,512,8,8
25,0.085700204,85700204,L2,5,512,8,8
38,0.085774498,85774498,L3,7,512,8,8
44,0.086393847,86393847,L3,8,512,8,8
31,0.089362272,89362272,L2,6,512,8,8
37,0.091562715,91562715,L2,7,512,8,8
43,0.094328234,94328234,L2,8,512,8,8
