seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.195
42,ocs_eps_preset_dynamic_greedy,0.278
42,pure_ocs_pruned,0.631
42,ocs_eps_pruned,0.356
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.744
42,pure_ocs_3hop_preset,0.306
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.164
43,ocs_eps_preset_dynamic_greedy,0.276
43,pure_ocs_pruned,0.590
43,ocs_eps_pruned,0.290
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.171
43,pure_ocs_3hop_preset,0.914
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.164
44,ocs_eps_preset_dynamic_greedy,0.291
44,pure_ocs_pruned,0.326
44,ocs_eps_pruned,0.340
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.174
44,pure_ocs_3hop_preset,0.586
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.149
45,ocs_eps_preset_dynamic_greedy,0.268
45,pure_ocs_pruned,0.417
45,ocs_eps_pruned,0.367
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.172
45,pure_ocs_3hop_preset,0.460
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.141
46,ocs_eps_preset_dynamic_greedy,0.265
46,pure_ocs_pruned,0.389
46,ocs_eps_pruned,0.359
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,2.201
46,pure_ocs_3hop_preset,0.334
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.155
47,ocs_eps_preset_dynamic_greedy,0.307
47,pure_ocs_pruned,0.417
47,ocs_eps_pruned,0.348
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.162
47,pure_ocs_3hop_preset,0.361
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.149
48,ocs_eps_preset_dynamic_greedy,0.244
48,pure_ocs_pruned,0.294
48,ocs_eps_pruned,0.228
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.153
48,pure_ocs_3hop_preset,0.275
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.152
49,ocs_eps_preset_dynamic_greedy,0.229
49,pure_ocs_pruned,0.464
49,ocs_eps_pruned,0.363
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.156
49,pure_ocs_3hop_preset,0.300
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.152
50,ocs_eps_preset_dynamic_greedy,0.266
50,pure_ocs_pruned,0.810
50,ocs_eps_pruned,0.344
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.137
50,pure_ocs_3hop_preset,0.553
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.117
51,ocs_eps_preset_dynamic_greedy,0.293
51,pure_ocs_pruned,0.599
51,ocs_eps_pruned,0.348
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.124
51,pure_ocs_3hop_preset,0.799
