scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,1024.000000,0.008899,144
eps_ecmp,30720.000000,0.228121,296
eps_ecmp,49152.000000,0.343147,224
eps_ecmp,71680.000000,0.440883,72
eps_ecmp,228352.000000,1.429364,48
eps_ecmp,342016.000000,2.529862,288
eps_ecmp,480256.000000,21.016141,328
eps_ecmp,569344.000000,23.402393,1232
eps_ecmp,856064.000000,32.847523,1504
eps_ecmp,1286144.000000,42.179286,1512
eps_ecmp,1472512.000000,46.666092,1008
eps_ecmp,1867776.000000,47.510817,520
eps_ecmp,2368512.000000,64.235917,512
eps_ecmp,3003392.000000,62.657862,1056
eps_ecmp,3559424.000000,66.593828,2320
eps_ecmp,4997120.000000,92.447090,800
eps_ecmp,6336512.000000,79.750999,472
eps_ecmp,7768064.000000,102.700311,1040
eps_ecmp,9522176.000000,108.414490,2168
eps_ecmp,14307328.000000,120.815893,280
eps_ecmp,18143232.000000,133.774406,344
eps_ecmp,25474048.000000,127.637388,64
eps_ecmp,32303104.000000,132.785485,96
eps_ecmp,36919680.000000,153.546772,1264
eps_ecmp,43677440.000000,167.528327,1864
ocs_eps_global_ksp,1024.000000,0.019097,144
ocs_eps_global_ksp,30720.000000,0.347936,296
ocs_eps_global_ksp,49152.000000,0.499063,224
ocs_eps_global_ksp,71680.000000,0.849460,72
ocs_eps_global_ksp,228352.000000,1.551513,48
ocs_eps_global_ksp,342016.000000,3.344241,288
ocs_eps_global_ksp,480256.000000,28.059563,328
ocs_eps_global_ksp,569344.000000,41.439700,1232
ocs_eps_global_ksp,856064.000000,54.800216,1504
ocs_eps_global_ksp,1286144.000000,64.870245,1512
ocs_eps_global_ksp,1472512.000000,88.590054,1008
ocs_eps_global_ksp,1867776.000000,96.899890,520
ocs_eps_global_ksp,2368512.000000,104.041347,512
ocs_eps_global_ksp,3003392.000000,108.327279,1056
ocs_eps_global_ksp,3559424.000000,123.193596,2320
ocs_eps_global_ksp,4997120.000000,155.996480,800
ocs_eps_global_ksp,6336512.000000,145.754190,472
ocs_eps_global_ksp,7768064.000000,182.663878,1040
ocs_eps_global_ksp,9522176.000000,228.413928,2168
ocs_eps_global_ksp,14307328.000000,286.370151,280
ocs_eps_global_ksp,18143232.000000,327.963924,344
ocs_eps_global_ksp,25474048.000000,350.798925,64
ocs_eps_global_ksp,32303104.000000,365.971218,96
ocs_eps_global_ksp,36919680.000000,383.392716,1264
ocs_eps_global_ksp,43677440.000000,401.006365,1864
ocs_eps_large_small,1024.000000,0.011391,144
ocs_eps_large_small,30720.000000,0.263927,296
ocs_eps_large_small,49152.000000,0.481391,224
ocs_eps_large_small,71680.000000,0.516719,72
ocs_eps_large_small,228352.000000,1.134078,48
ocs_eps_large_small,342016.000000,15.992963,288
ocs_eps_large_small,480256.000000,36.740747,328
ocs_eps_large_small,569344.000000,38.425418,1232
ocs_eps_large_small,856064.000000,48.311828,1504
ocs_eps_large_small,1286144.000000,48.517402,1512
ocs_eps_large_small,1472512.000000,55.402544,1008
ocs_eps_large_small,1867776.000000,69.386741,520
ocs_eps_large_small,2368512.000000,95.360512,512
ocs_eps_large_small,3003392.000000,86.331758,1056
ocs_eps_large_small,3559424.000000,98.486418,2320
ocs_eps_large_small,4997120.000000,104.205529,800
ocs_eps_large_small,6336512.000000,100.936284,472
ocs_eps_large_small,7768064.000000,116.955555,1040
ocs_eps_large_small,9522176.000000,194.012999,2168
ocs_eps_large_small,14307328.000000,329.878796,280
ocs_eps_large_small,18143232.000000,439.486367,344
ocs_eps_large_small,25474048.000000,529.956408,64
ocs_eps_large_small,32303104.000000,649.085981,96
ocs_eps_large_small,36919680.000000,702.606024,1264
ocs_eps_large_small,43677440.000000,712.292380,1864
ocs_eps_preset_dynamic_greedy,1024.000000,0.024224,144
ocs_eps_preset_dynamic_greedy,30720.000000,0.353920,296
ocs_eps_preset_dynamic_greedy,49152.000000,0.425893,224
ocs_eps_preset_dynamic_greedy,71680.000000,0.582504,72
ocs_eps_preset_dynamic_greedy,228352.000000,1.930422,48
ocs_eps_preset_dynamic_greedy,342016.000000,15.287411,288
ocs_eps_preset_dynamic_greedy,480256.000000,18.166804,328
ocs_eps_preset_dynamic_greedy,569344.000000,27.568766,1232
ocs_eps_preset_dynamic_greedy,856064.000000,41.370352,1504
ocs_eps_preset_dynamic_greedy,1286144.000000,46.255541,1512
ocs_eps_preset_dynamic_greedy,1472512.000000,54.014140,1008
ocs_eps_preset_dynamic_greedy,1867776.000000,60.162660,520
ocs_eps_preset_dynamic_greedy,2368512.000000,97.909220,512
ocs_eps_preset_dynamic_greedy,3003392.000000,98.082635,1056
ocs_eps_preset_dynamic_greedy,3559424.000000,111.632892,2320
ocs_eps_preset_dynamic_greedy,4997120.000000,118.615029,800
ocs_eps_preset_dynamic_greedy,6336512.000000,127.254577,472
ocs_eps_preset_dynamic_greedy,7768064.000000,172.137875,1040
ocs_eps_preset_dynamic_greedy,9522176.000000,184.360302,2168
ocs_eps_preset_dynamic_greedy,14307328.000000,218.625862,280
ocs_eps_preset_dynamic_greedy,18143232.000000,291.344421,344
ocs_eps_preset_dynamic_greedy,25474048.000000,307.064747,64
ocs_eps_preset_dynamic_greedy,32303104.000000,369.547645,96
ocs_eps_preset_dynamic_greedy,36919680.000000,350.468704,1264
ocs_eps_preset_dynamic_greedy,43677440.000000,352.691292,1864
ocs_eps_preset_greedy,1024.000000,0.032844,144
ocs_eps_preset_greedy,30720.000000,0.404203,296
ocs_eps_preset_greedy,49152.000000,0.616821,224
ocs_eps_preset_greedy,71680.000000,0.706456,72
ocs_eps_preset_greedy,228352.000000,1.728217,48
ocs_eps_preset_greedy,342016.000000,10.343387,288
ocs_eps_preset_greedy,480256.000000,29.313986,328
ocs_eps_preset_greedy,569344.000000,37.945090,1232
ocs_eps_preset_greedy,856064.000000,50.827893,1504
ocs_eps_preset_greedy,1286144.000000,81.585705,1512
ocs_eps_preset_greedy,1472512.000000,95.656005,1008
ocs_eps_preset_greedy,1867776.000000,103.817010,520
ocs_eps_preset_greedy,2368512.000000,138.132179,512
ocs_eps_preset_greedy,3003392.000000,130.087913,1056
ocs_eps_preset_greedy,3559424.000000,156.158341,2320
ocs_eps_preset_greedy,4997120.000000,216.639066,800
ocs_eps_preset_greedy,6336512.000000,220.308520,472
ocs_eps_preset_greedy,7768064.000000,270.574414,1040
ocs_eps_preset_greedy,9522176.000000,291.850210,2168
ocs_eps_preset_greedy,14307328.000000,345.111399,280
ocs_eps_preset_greedy,18143232.000000,394.288457,344
ocs_eps_preset_greedy,25474048.000000,299.894234,64
ocs_eps_preset_greedy,32303104.000000,602.808106,96
ocs_eps_preset_greedy,36919680.000000,546.241842,1264
ocs_eps_preset_greedy,43677440.000000,496.263731,1864
ocs_eps_pruned,1024.000000,0.009716,144
ocs_eps_pruned,30720.000000,0.252548,296
ocs_eps_pruned,49152.000000,0.468346,224
ocs_eps_pruned,71680.000000,0.553972,72
ocs_eps_pruned,228352.000000,1.325833,48
ocs_eps_pruned,342016.000000,2.972645,288
ocs_eps_pruned,480256.000000,28.960831,328
ocs_eps_pruned,569344.000000,27.931838,1232
ocs_eps_pruned,856064.000000,42.051761,1504
ocs_eps_pruned,1286144.000000,45.418331,1512
ocs_eps_pruned,1472512.000000,55.924063,1008
ocs_eps_pruned,1867776.000000,62.343793,520
ocs_eps_pruned,2368512.000000,92.755516,512
ocs_eps_pruned,3003392.000000,87.683414,1056
ocs_eps_pruned,3559424.000000,102.521991,2320
ocs_eps_pruned,4997120.000000,118.777068,800
ocs_eps_pruned,6336512.000000,105.715610,472
ocs_eps_pruned,7768064.000000,128.782093,1040
ocs_eps_pruned,9522176.000000,145.911176,2168
ocs_eps_pruned,14307328.000000,167.446284,280
ocs_eps_pruned,18143232.000000,229.433121,344
ocs_eps_pruned,25474048.000000,286.419666,64
ocs_eps_pruned,32303104.000000,318.431267,96
ocs_eps_pruned,36919680.000000,293.977007,1264
ocs_eps_pruned,43677440.000000,303.488225,1864
pure_ocs_3hop_preset,1024.000000,0.017425,144
pure_ocs_3hop_preset,30720.000000,0.288809,296
pure_ocs_3hop_preset,49152.000000,0.493696,224
pure_ocs_3hop_preset,71680.000000,0.656486,72
pure_ocs_3hop_preset,228352.000000,1.409757,48
pure_ocs_3hop_preset,342016.000000,3.250731,288
pure_ocs_3hop_preset,480256.000000,46.269171,328
pure_ocs_3hop_preset,569344.000000,31.173960,1232
pure_ocs_3hop_preset,856064.000000,45.812322,1504
pure_ocs_3hop_preset,1286144.000000,58.921602,1512
pure_ocs_3hop_preset,1472512.000000,68.723202,1008
pure_ocs_3hop_preset,1867776.000000,81.654857,520
pure_ocs_3hop_preset,2368512.000000,95.902950,512
pure_ocs_3hop_preset,3003392.000000,106.136961,1056
pure_ocs_3hop_preset,3559424.000000,118.167654,2320
pure_ocs_3hop_preset,4997120.000000,147.983051,800
pure_ocs_3hop_preset,6336512.000000,132.415223,472
pure_ocs_3hop_preset,7768064.000000,166.723977,1040
pure_ocs_3hop_preset,9522176.000000,216.555673,2168
pure_ocs_3hop_preset,14307328.000000,271.234290,280
pure_ocs_3hop_preset,18143232.000000,292.783011,344
pure_ocs_3hop_preset,25474048.000000,320.960595,64
pure_ocs_3hop_preset,32303104.000000,375.083531,96
pure_ocs_3hop_preset,36919680.000000,384.245722,1264
pure_ocs_3hop_preset,43677440.000000,396.829118,1864
pure_ocs_ksp,1024.000000,0.027460,144
pure_ocs_ksp,30720.000000,0.342872,296
pure_ocs_ksp,49152.000000,0.475615,224
pure_ocs_ksp,71680.000000,0.643694,72
pure_ocs_ksp,228352.000000,1.726246,48
pure_ocs_ksp,342016.000000,2.686239,288
pure_ocs_ksp,480256.000000,33.549339,328
pure_ocs_ksp,569344.000000,30.298573,1232
pure_ocs_ksp,856064.000000,44.993551,1504
pure_ocs_ksp,1286144.000000,58.691378,1512
pure_ocs_ksp,1472512.000000,72.323017,1008
pure_ocs_ksp,1867776.000000,97.484293,520
pure_ocs_ksp,2368512.000000,102.254149,512
pure_ocs_ksp,3003392.000000,112.212024,1056
pure_ocs_ksp,3559424.000000,121.245287,2320
pure_ocs_ksp,4997120.000000,173.930107,800
pure_ocs_ksp,6336512.000000,149.504482,472
pure_ocs_ksp,7768064.000000,240.875155,1040
pure_ocs_ksp,9522176.000000,272.251083,2168
pure_ocs_ksp,14307328.000000,321.840868,280
pure_ocs_ksp,18143232.000000,338.021238,344
pure_ocs_ksp,25474048.000000,367.905686,64
pure_ocs_ksp,32303104.000000,526.176171,96
pure_ocs_ksp,36919680.000000,500.660774,1264
pure_ocs_ksp,43677440.000000,537.239501,1864
pure_ocs_ksp_greedy,1024.000000,0.025026,144
pure_ocs_ksp_greedy,30720.000000,0.298442,296
pure_ocs_ksp_greedy,49152.000000,0.459501,224
pure_ocs_ksp_greedy,71680.000000,0.555802,72
pure_ocs_ksp_greedy,228352.000000,1.674176,48
pure_ocs_ksp_greedy,342016.000000,3.019125,288
pure_ocs_ksp_greedy,480256.000000,28.792594,328
pure_ocs_ksp_greedy,569344.000000,33.537896,1232
pure_ocs_ksp_greedy,856064.000000,42.966489,1504
pure_ocs_ksp_greedy,1286144.000000,51.833738,1512
pure_ocs_ksp_greedy,1472512.000000,67.658853,1008
pure_ocs_ksp_greedy,1867776.000000,91.536850,520
pure_ocs_ksp_greedy,2368512.000000,103.298846,512
pure_ocs_ksp_greedy,3003392.000000,109.116618,1056
pure_ocs_ksp_greedy,3559424.000000,120.260568,2320
pure_ocs_ksp_greedy,4997120.000000,158.857337,800
pure_ocs_ksp_greedy,6336512.000000,154.576559,472
