seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.069
42,pure_ocs_ksp,1.144
42,eps_ecmp,0.514
42,pure_ocs_ksp_greedy,1.141
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.046
42,ocs_eps_pruned,0.840
42,ocs_eps_large_small,1.588
42,ocs_eps_preset_greedy,1.399
42,pure_ocs_3hop_preset,1.046
43,ocs_eps_global_ksp,1.262
43,pure_ocs_ksp,1.255
43,eps_ecmp,0.571
43,pure_ocs_ksp_greedy,1.194
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.081
43,ocs_eps_pruned,0.941
43,ocs_eps_large_small,1.720
43,ocs_eps_preset_greedy,1.389
43,pure_ocs_3hop_preset,1.081
44,ocs_eps_global_ksp,1.080
44,pure_ocs_ksp,1.270
44,eps_ecmp,0.519
44,pure_ocs_ksp_greedy,1.185
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.149
44,ocs_eps_pruned,0.906
44,ocs_eps_large_small,1.722
44,ocs_eps_preset_greedy,1.437
44,pure_ocs_3hop_preset,1.149
45,ocs_eps_global_ksp,1.227
45,pure_ocs_ksp,1.297
45,eps_ecmp,0.617
45,pure_ocs_ksp_greedy,1.230
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.204
45,ocs_eps_pruned,0.901
45,ocs_eps_large_small,1.717
45,ocs_eps_preset_greedy,1.408
45,pure_ocs_3hop_preset,1.204
46,ocs_eps_global_ksp,1.136
46,pure_ocs_ksp,1.332
46,eps_ecmp,0.740
46,pure_ocs_ksp_greedy,1.074
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.196
46,ocs_eps_pruned,0.917
46,ocs_eps_large_small,1.699
46,ocs_eps_preset_greedy,1.408
46,pure_ocs_3hop_preset,1.196
47,ocs_eps_global_ksp,1.195
47,pure_ocs_ksp,1.228
47,eps_ecmp,0.797
47,pure_ocs_ksp_greedy,1.159
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.150
47,ocs_eps_pruned,1.095
47,ocs_eps_large_small,1.750
47,ocs_eps_preset_greedy,1.388
47,pure_ocs_3hop_preset,1.150
48,ocs_eps_global_ksp,1.137
48,pure_ocs_ksp,1.301
48,eps_ecmp,0.587
48,pure_ocs_ksp_greedy,1.124
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.107
48,ocs_eps_pruned,0.890
48,ocs_eps_large_small,1.706
48,ocs_eps_preset_greedy,1.601
48,pure_ocs_3hop_preset,1.107
49,ocs_eps_global_ksp,1.128
49,pure_ocs_ksp,1.220
49,eps_ecmp,0.587
49,pure_ocs_ksp_greedy,1.190
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.138
49,ocs_eps_pruned,0.842
49,ocs_eps_large_small,1.572
49,ocs_eps_preset_greedy,1.450
49,pure_ocs_3hop_preset,1.138
50,ocs_eps_global_ksp,1.126
50,pure_ocs_ksp,1.339
50,eps_ecmp,0.558
50,pure_ocs_ksp_greedy,1.196
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.160
50,ocs_eps_pruned,0.898
50,ocs_eps_large_small,1.812
50,ocs_eps_preset_greedy,1.518
50,pure_ocs_3hop_preset,1.160
51,ocs_eps_global_ksp,1.080
51,pure_ocs_ksp,1.349
51,eps_ecmp,0.533
51,pure_ocs_ksp_greedy,1.222
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.060
51,ocs_eps_pruned,0.923
51,ocs_eps_large_small,1.615
51,ocs_eps_preset_greedy,1.425
51,pure_ocs_3hop_preset,1.060
