seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.146
42,pure_ocs_ksp,1.106
42,eps_ecmp,0.693
42,pure_ocs_ksp_greedy,1.201
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.077
42,ocs_eps_pruned,0.776
42,ocs_eps_large_small,1.496
42,ocs_eps_preset_greedy,1.375
42,pure_ocs_3hop_preset,1.077
43,ocs_eps_global_ksp,1.639
43,pure_ocs_ksp,1.232
43,eps_ecmp,0.802
43,pure_ocs_ksp_greedy,1.238
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.072
43,ocs_eps_pruned,1.326
43,ocs_eps_large_small,1.664
43,ocs_eps_preset_greedy,1.677
43,pure_ocs_3hop_preset,1.072
44,ocs_eps_global_ksp,1.128
44,pure_ocs_ksp,1.666
44,eps_ecmp,0.707
44,pure_ocs_ksp_greedy,1.420
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.274
44,ocs_eps_pruned,1.037
44,ocs_eps_large_small,1.920
44,ocs_eps_preset_greedy,1.711
44,pure_ocs_3hop_preset,1.274
45,ocs_eps_global_ksp,1.303
45,pure_ocs_ksp,1.391
45,eps_ecmp,0.741
45,pure_ocs_ksp_greedy,1.338
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.333
45,ocs_eps_pruned,0.867
45,ocs_eps_large_small,1.673
45,ocs_eps_preset_greedy,1.354
45,pure_ocs_3hop_preset,1.333
46,ocs_eps_global_ksp,1.142
46,pure_ocs_ksp,1.205
46,eps_ecmp,0.770
46,pure_ocs_ksp_greedy,1.104
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.187
46,ocs_eps_pruned,0.784
46,ocs_eps_large_small,1.423
46,ocs_eps_preset_greedy,1.254
46,pure_ocs_3hop_preset,1.187
47,ocs_eps_global_ksp,1.087
47,pure_ocs_ksp,1.065
47,eps_ecmp,0.739
47,pure_ocs_ksp_greedy,1.089
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.068
47,ocs_eps_pruned,1.138
47,ocs_eps_large_small,1.482
47,ocs_eps_preset_greedy,1.199
47,pure_ocs_3hop_preset,1.068
48,ocs_eps_global_ksp,1.465
48,pure_ocs_ksp,1.464
48,eps_ecmp,0.891
48,pure_ocs_ksp_greedy,1.386
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.165
48,ocs_eps_pruned,0.931
48,ocs_eps_large_small,1.739
48,ocs_eps_preset_greedy,1.475
48,pure_ocs_3hop_preset,1.165
49,ocs_eps_global_ksp,1.044
49,pure_ocs_ksp,1.050
49,eps_ecmp,0.632
49,pure_ocs_ksp_greedy,0.990
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.065
49,ocs_eps_pruned,0.808
49,ocs_eps_large_small,1.290
49,ocs_eps_preset_greedy,1.237
49,pure_ocs_3hop_preset,1.065
50,ocs_eps_global_ksp,1.013
50,pure_ocs_ksp,1.269
50,eps_ecmp,0.550
50,pure_ocs_ksp_greedy,1.155
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.093
50,ocs_eps_pruned,0.943
50,ocs_eps_large_small,1.878
50,ocs_eps_preset_greedy,1.277
50,pure_ocs_3hop_preset,1.093
51,ocs_eps_global_ksp,1.014
51,pure_ocs_ksp,1.459
51,eps_ecmp,0.869
51,pure_ocs_ksp_greedy,1.101
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.031
51,ocs_eps_pruned,1.073
51,ocs_eps_large_small,1.597
51,ocs_eps_preset_greedy,1.704
51,pure_ocs_3hop_preset,1.031
