seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.161
42,ocs_eps_preset_dynamic_greedy,0.316
42,pure_ocs_pruned,0.273
42,ocs_eps_pruned,0.367
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.151
42,pure_ocs_3hop_preset,0.675
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.129
43,ocs_eps_preset_dynamic_greedy,0.762
43,pure_ocs_pruned,0.398
43,ocs_eps_pruned,0.344
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.175
43,pure_ocs_3hop_preset,0.375
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.159
44,ocs_eps_preset_dynamic_greedy,0.230
44,pure_ocs_pruned,0.753
44,ocs_eps_pruned,0.355
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.170
44,pure_ocs_3hop_preset,0.690
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.166
45,ocs_eps_preset_dynamic_greedy,0.275
45,pure_ocs_pruned,0.631
45,ocs_eps_pruned,0.359
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.154
45,pure_ocs_3hop_preset,1.001
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.108
46,ocs_eps_preset_dynamic_greedy,0.255
46,pure_ocs_pruned,0.422
46,ocs_eps_pruned,2.121
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.132
46,pure_ocs_3hop_preset,0.257
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.142
47,ocs_eps_preset_dynamic_greedy,0.213
47,pure_ocs_pruned,0.309
47,ocs_eps_pruned,0.608
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.149
47,pure_ocs_3hop_preset,0.273
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.141
48,ocs_eps_preset_dynamic_greedy,0.250
48,pure_ocs_pruned,0.271
48,ocs_eps_pruned,0.296
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.198
48,pure_ocs_3hop_preset,0.413
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.370
49,ocs_eps_preset_dynamic_greedy,0.245
49,pure_ocs_pruned,0.301
49,ocs_eps_pruned,0.287
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.184
49,pure_ocs_3hop_preset,0.287
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.149
50,ocs_eps_preset_dynamic_greedy,0.202
50,pure_ocs_pruned,0.263
50,ocs_eps_pruned,0.278
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.128
50,pure_ocs_3hop_preset,0.246
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.155
51,ocs_eps_preset_dynamic_greedy,0.283
51,pure_ocs_pruned,0.264
51,ocs_eps_pruned,0.461
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.149
51,pure_ocs_3hop_preset,0.317
