scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.0,2466.453,1.442,2466.453,1.442,48,0
pure_ocs_ksp,100.0,2182.702,1.276,2182.702,1.276,48,0
eps_ecmp,100.0,2777.726,1.624,2777.726,1.624,48,0
ocs_eps_large_small,100.0,3410.834,1.994,3410.834,1.994,48,0
pure_ocs_ksp_greedy,100.0,2201.269,1.287,2201.269,1.287,48,0
ocs_eps_preset_greedy,100.0,1855.603,1.085,1855.603,1.085,48,0
ocs_eps_preset_dynamic_greedy,100.0,1710.585,1.000,1710.585,1.000,48,0
pure_ocs_3hop_preset,100.0,2285.723,1.336,2285.723,1.336,48,0
pure_ocs_pruned,100.0,2285.723,1.336,2285.723,1.336,48,0
ocs_eps_pruned,100.0,1628.728,0.952,1628.728,0.952,48,0
