seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.610
42,pure_ocs_ksp,1.438
42,eps_ecmp,1.408
42,pure_ocs_ksp_greedy,1.432
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.308
42,ocs_eps_pruned,1.187
42,ocs_eps_large_small,1.940
42,ocs_eps_preset_greedy,1.699
42,pure_ocs_3hop_preset,1.308
43,ocs_eps_global_ksp,1.375
43,pure_ocs_ksp,1.328
43,eps_ecmp,0.967
43,pure_ocs_ksp_greedy,1.202
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.302
43,ocs_eps_pruned,1.226
43,ocs_eps_large_small,1.693
43,ocs_eps_preset_greedy,1.359
43,pure_ocs_3hop_preset,1.302
44,ocs_eps_global_ksp,1.599
44,pure_ocs_ksp,1.605
44,eps_ecmp,1.433
44,pure_ocs_ksp_greedy,1.508
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.511
44,ocs_eps_pruned,1.565
44,ocs_eps_large_small,1.702
44,ocs_eps_preset_greedy,1.581
44,pure_ocs_3hop_preset,1.511
45,ocs_eps_global_ksp,1.360
45,pure_ocs_ksp,1.188
45,eps_ecmp,1.215
45,pure_ocs_ksp_greedy,1.419
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.270
45,ocs_eps_pruned,1.030
45,ocs_eps_large_small,2.099
45,ocs_eps_preset_greedy,1.184
45,pure_ocs_3hop_preset,1.270
46,ocs_eps_global_ksp,1.343
46,pure_ocs_ksp,1.204
46,eps_ecmp,1.049
46,pure_ocs_ksp_greedy,1.283
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.209
46,ocs_eps_pruned,1.136
46,ocs_eps_large_small,1.452
46,ocs_eps_preset_greedy,1.460
46,pure_ocs_3hop_preset,1.209
47,ocs_eps_global_ksp,1.396
47,pure_ocs_ksp,1.085
47,eps_ecmp,1.591
47,pure_ocs_ksp_greedy,1.091
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.618
47,ocs_eps_pruned,1.189
47,ocs_eps_large_small,1.355
47,ocs_eps_preset_greedy,1.317
47,pure_ocs_3hop_preset,1.618
48,ocs_eps_global_ksp,1.129
48,pure_ocs_ksp,1.028
48,eps_ecmp,0.844
48,pure_ocs_ksp_greedy,0.994
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.020
48,ocs_eps_pruned,0.943
48,ocs_eps_large_small,1.331
48,ocs_eps_preset_greedy,1.051
48,pure_ocs_3hop_preset,1.020
49,ocs_eps_global_ksp,1.396
49,pure_ocs_ksp,1.301
49,eps_ecmp,0.991
49,pure_ocs_ksp_greedy,1.100
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.023
49,ocs_eps_pruned,1.301
49,ocs_eps_large_small,1.719
49,ocs_eps_preset_greedy,1.305
49,pure_ocs_3hop_preset,1.023
50,ocs_eps_global_ksp,1.172
50,pure_ocs_ksp,1.738
50,eps_ecmp,0.876
50,pure_ocs_ksp_greedy,1.178
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.002
50,ocs_eps_pruned,1.344
50,ocs_eps_large_small,1.916
50,ocs_eps_preset_greedy,1.389
50,pure_ocs_3hop_preset,1.002
51,ocs_eps_global_ksp,1.533
51,pure_ocs_ksp,1.678
51,eps_ecmp,1.057
51,pure_ocs_ksp_greedy,1.101
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.736
51,ocs_eps_pruned,1.376
51,ocs_eps_large_small,1.822
51,ocs_eps_preset_greedy,1.579
51,pure_ocs_3hop_preset,1.736
