seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.111
42,ocs_eps_preset_dynamic_greedy,0.365
42,pure_ocs_pruned,0.340
42,ocs_eps_pruned,0.315
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.350
42,pure_ocs_3hop_preset,0.347
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.138
43,ocs_eps_preset_dynamic_greedy,0.339
43,pure_ocs_pruned,0.340
43,ocs_eps_pruned,0.379
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.164
43,pure_ocs_3hop_preset,0.357
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.139
44,ocs_eps_preset_dynamic_greedy,3.402
44,pure_ocs_pruned,0.309
44,ocs_eps_pruned,0.344
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.170
44,pure_ocs_3hop_preset,0.338
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.156
45,ocs_eps_preset_dynamic_greedy,0.240
45,pure_ocs_pruned,0.336
45,ocs_eps_pruned,0.319
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.159
45,pure_ocs_3hop_preset,0.313
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.166
46,ocs_eps_preset_dynamic_greedy,0.431
46,pure_ocs_pruned,0.346
46,ocs_eps_pruned,0.350
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.206
46,pure_ocs_3hop_preset,0.213
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.160
47,ocs_eps_preset_dynamic_greedy,0.304
47,pure_ocs_pruned,0.388
47,ocs_eps_pruned,0.285
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.161
47,pure_ocs_3hop_preset,0.314
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.131
48,ocs_eps_preset_dynamic_greedy,0.340
48,pure_ocs_pruned,0.354
48,ocs_eps_pruned,0.363
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.161
48,pure_ocs_3hop_preset,0.428
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.157
49,ocs_eps_preset_dynamic_greedy,0.309
49,pure_ocs_pruned,0.386
49,ocs_eps_pruned,0.363
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.188
49,pure_ocs_3hop_preset,0.277
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.157
50,ocs_eps_preset_dynamic_greedy,0.313
50,pure_ocs_pruned,0.384
50,ocs_eps_pruned,0.339
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.152
50,pure_ocs_3hop_preset,0.682
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.150
51,ocs_eps_preset_dynamic_greedy,0.224
51,pure_ocs_pruned,0.327
51,ocs_eps_pruned,0.371
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.165
51,pure_ocs_3hop_preset,0.399
